subject.id,institution,equipment,acclimation,diet,subject.mass,vo2,vco2,ee,rer,room.temp,total_mass,lean_mass,fat_mass,phase
D1,UC Davis,Columbus,FALSE,LF,21.87,101.828745,100.70892,0.51269115,0.98946701,22,22.23,17.81754,2.85246,1
D1,UC Davis,Columbus,TRUE,LF,21.87,95.6049075,86.2417125,0.472162274,0.898198723,22,22.23,17.81754,2.85246,1
D10,UC Davis,Columbus,FALSE,LF,19.01,90.05070946,84.77543446,0.448651477,0.938801428,22,19.225,15.303152,2.536848,1
D10,UC Davis,Columbus,TRUE,LF,19.01,86.22453549,76.65012019,0.424585927,0.883195439,22,19.225,15.303152,2.536848,1
D11,UC Davis,Columbus,FALSE,LF,21.18,97.98927,95.14131643,0.491402009,0.970725759,22,21.69,17.420256,2.739744,1
D11,UC Davis,Columbus,TRUE,LF,21.18,96.70202341,86.91910977,0.47723521,0.895944209,22,21.69,17.420256,2.739744,1
D12,UC Davis,Columbus,FALSE,LF,20.3,100.1728875,98.322325,0.503525841,0.979628905,22,20.63,16.202277,2.767723,1
D12,UC Davis,Columbus,TRUE,LF,20.3,91.20528561,85.68399318,0.454206527,0.936768666,22,20.63,16.202277,2.767723,1
D13,UC Davis,Columbus,FALSE,LF,19.77,87.54191304,79.52694321,0.432959478,0.909222386,22,20.39,16.03063,3.06937,1
D13,UC Davis,Columbus,TRUE,LF,19.77,87.61996602,78.91397693,0.432589145,0.89486457,22,20.39,16.03063,3.06937,1
D14,UC Davis,Columbus,FALSE,LF,21.09,103.7989543,101.0052825,0.520783521,0.971591928,22,21.13,16.24935,2.98065,1
D14,UC Davis,Columbus,TRUE,LF,21.09,97.58606625,85.29411125,0.478921974,0.869550823,22,21.13,16.24935,2.98065,1
D15,UC Davis,Columbus,FALSE,LF,20.08,106.2927629,99.99553143,0.529494836,0.942045157,22,20.085,15.430464,2.629536,1
D15,UC Davis,Columbus,TRUE,LF,20.08,98.41443788,85.60689667,0.482532527,0.863834381,22,20.085,15.430464,2.629536,1
D16,UC Davis,Columbus,FALSE,LF,20.85,103.4059473,96.83894196,0.514626708,0.934620227,22,21.05,16.420883,2.769117,1
D16,UC Davis,Columbus,TRUE,LF,20.85,98.47312841,88.89705511,0.486402742,0.896302746,22,21.05,16.420883,2.769117,1
D17,UC Davis,Columbus,FALSE,LF,19.33,98.4621875,95.74356107,0.493931859,0.973275011,22,19.88,16.0012,2.3488,1
D17,UC Davis,Columbus,TRUE,LF,19.33,92.07127947,81.71091201,0.453225181,0.87930052,22,19.88,16.0012,2.3488,1
D2,UC Davis,Columbus,FALSE,LF,20.67,92.79413722,94.11012722,0.469787496,1.016790403,22,22.055,18.03108,3.58892,1
D2,UC Davis,Columbus,TRUE,LF,20.67,93.80093847,88.38214486,0.467420151,0.941411706,22,22.055,18.03108,3.58892,1
D3,UC Davis,Columbus,FALSE,LF,22.95,107.632525,104.870025,0.540166029,0.97672802,22,23.38,18.50625,2.64375,1
D3,UC Davis,Columbus,TRUE,LF,22.95,100.2881,93.10400625,0.498208433,0.924399109,22,23.38,18.50625,2.64375,1
D4,UC Davis,Columbus,FALSE,LF,20.81,96.714475,94.15137667,0.485283169,0.975497044,22,21.25,16.852148,2.627852,1
D4,UC Davis,Columbus,TRUE,LF,20.81,96.54520106,87.72050861,0.47750352,0.905776033,22,21.25,16.852148,2.627852,1
D5,UC Davis,Columbus,FALSE,LF,21.76,113.1209719,109.9895467,0.567458189,0.973386669,22,22.06,17.445273,2.544727,1
D5,UC Davis,Columbus,TRUE,LF,21.76,107.9407822,96.97988741,0.532654378,0.895362575,22,22.06,17.445273,2.544727,1
D7,UC Davis,Columbus,FALSE,LF,20.99,103.3699194,102.9753852,0.521271629,0.997191563,22,21.675,17.224,2.776,1
D7,UC Davis,Columbus,TRUE,LF,20.99,102.7356038,92.76222972,0.507476041,0.900550296,22,21.675,17.224,2.776,1
