,Subject ID,Total.Mass,Lean.Mass,Fat.Mass,Time of Day,Group,Hourly Food Intake,Hourly Water Intake,Cumulative Food Intake,Cumulative Water Intake,Oxygen Consumption,Carbon Dioxide Production,Energy Expenditure,Respiratory Exchange Ratio,Locomotor Activity,Ambulatory Activity,Pedestrian Locomotion,Total Distance (includes fine movement),Energy Balance
1,D1,22.59,17.82,2.85,Full day,UC Davis,0.552691139,0,43.2806,NA,95.76804996,88.11312455,0.474874995,0.916274499,700.4220532,343.1178707,NA,NA,0.077816145
2,D1,22.59,17.82,2.85,Dark,UC Davis,0.678308108,0,43.2806,NA,105.4593838,99.34288778,0.525488658,0.941198591,1071.146341,567.6097561,NA,NA,0.15281945
3,D1,22.59,17.82,2.85,Light,UC Davis,0.442028571,0,42.9368,NA,87.66886386,78.728251,0.432576433,0.895445079,374.7142857,145.8857143,NA,NA,0.009452139
4,D10,19.44,15.3,2.54,Full day,UC Davis,0.446488172,0,41.5616,NA,86.66062272,78.03426524,0.427835409,0.895052105,703.9064516,303.9709677,NA,NA,0.018652763
5,D10,19.44,15.3,2.54,Dark,UC Davis,0.552308333,0,40.7976,NA,94.69741862,88.4115634,0.470985715,0.932574475,969.0875,455.48125,NA,NA,0.081322618
6,D10,19.44,15.3,2.54,Light,UC Davis,0.333613333,0,41.5616,NA,78.14161907,67.0343292,0.382096085,0.855278391,421.0466667,142.36,NA,NA,-0.048482752
7,D11,22.2,17.42,2.74,Dark,UC Davis,0.610404167,0,45.1906,NA,103.5591308,97.09472439,0.515513303,0.936783654,923.91875,434.55625,NA,NA,0.094890864
8,D11,22.2,17.42,2.74,Light,UC Davis,0.394733333,0,47.0624,NA,88.92747787,78.71998893,0.437527493,0.885509578,346.0866667,104.6666667,NA,NA,-0.04279416
9,D11,22.2,17.42,2.74,Full day,UC Davis,0.506047312,0,47.0624,NA,96.36323593,88.05796925,0.477159626,0.911566895,644.3225806,274.9322581,NA,NA,0.028887686
10,D12,20.96,16.2,2.77,Full day,UC Davis,0.572178495,0,52.5632,NA,92.64710452,88.04705903,0.462502285,0.947030466,720.3612903,382.1258065,NA,NA,0.109676209
11,D12,20.96,16.2,2.77,Dark,UC Davis,0.710679167,0,51.1116,NA,100.0583194,98.12525188,0.502856363,0.980839891,988.89375,551.2375,NA,NA,0.207822804
12,D12,20.96,16.2,2.77,Light,UC Davis,0.424444444,0,52.5632,NA,84.74180867,77.29698667,0.419457935,0.910967079,433.9266667,201.74,NA,NA,0.004986509
13,D13,21.01,16.03,3.07,Full day,UC Davis,0.451897872,0,42.3256,NA,87.46000129,79.18075662,0.432253783,0.900204336,696.2861736,293.0578778,NA,NA,0.01964409
14,D13,21.01,16.03,3.07,Light,UC Davis,0.332173913,0,42.3256,NA,81.5292543,70.84743126,0.399664052,0.866111105,398.7615894,115.0066225,NA,NA,-0.067490139
15,D13,21.01,16.03,3.07,Dark,UC Davis,0.566633333,0,40.7594,NA,93.05714375,87.04533244,0.463010341,0.932379823,977.075,461.09375,NA,NA,0.103622993
16,D14,21.17,16.25,2.98,Dark,UC Davis,0.5348,0,41.7526,NA,103.6088172,94.35963192,0.512684099,0.906771297,707.46875,325.8875,NA,NA,0.022115901
17,D14,21.17,16.25,2.98,Full day,UC Davis,0.445802128,0,41.9436,NA,98.10415401,87.51745326,0.483422776,0.887164604,546.0096463,230.5980707,NA,NA,-0.037620648
18,D14,21.17,16.25,2.98,Light,UC Davis,0.352934783,0,41.9436,NA,92.41721722,80.44871238,0.453192534,0.866908683,374.9271523,129.6291391,NA,NA,-0.100257751
19,D15,20.09,15.43,2.63,Full day,UC Davis,0.410446809,0,38.2,NA,98.82506091,87.4636398,0.486204352,0.878916056,625.4855305,298.0482315,NA,NA,-0.075757543
20,D15,20.09,15.43,2.63,Dark,UC Davis,0.498191667,0,37.0922,NA,105.1881792,96.30548269,0.521060476,0.912655801,843.875,424.33125,NA,NA,-0.022868809
21,D15,20.09,15.43,2.63,Light,UC Davis,0.318886957,0,38.2,NA,92.25124331,78.32902066,0.450194052,0.844059101,394.0794702,164.2384106,NA,NA,-0.131307095
22,D16,21.25,16.42,2.77,Dark,UC Davis,0.655766667,0,47.8646,NA,105.350642,100.5273423,0.526370111,0.951901184,761.8,357.9,NA,NA,0.129396556
23,D16,21.25,16.42,2.77,Light,UC Davis,0.379508696,0,48.7432,NA,91.83451833,79.19080167,0.44950487,0.858718636,397.7483444,158.9271523,NA,NA,-0.069996174
24,D16,21.25,16.42,2.77,Full day,UC Davis,0.520576596,0,48.7432,NA,98.72509118,90.06825376,0.488691071,0.906223464,585.0418006,261.2926045,NA,NA,0.031885525
25,D17,20.43,16,2.35,Full day,UC Davis,0.422638298,0,39.4988,NA,92.72482448,83.83358813,0.458148483,0.896132289,563.7974277,214.807074,NA,NA,-0.035510185
26,D17,20.43,16,2.35,Dark,UC Davis,0.5348,0,38.391,NA,100.6215233,94.58862214,0.501164442,0.93701897,738.1375,300.8,NA,NA,0.033635558
27,D17,20.43,16,2.35,Light,UC Davis,0.3056,0,39.4988,NA,84.40975755,72.50875099,0.412853534,0.853079426,379.0662252,123.6887417,NA,NA,-0.107253534
28,D2,23.44,18.03,3.59,Full day,UC Davis,0.629574684,0,49.2398,NA,93.60665068,89.60869407,0.468011022,0.957020443,543.4486692,223.9277567,NA,NA,0.161563662
29,D2,23.44,18.03,3.59,Light,UC Davis,0.549352381,0,48.8578,NA,86.81946379,81.61224736,0.432418649,0.941042137,345.6071429,117.9,NA,NA,0.116933732
30,D2,23.44,18.03,3.59,Dark,UC Davis,0.720637838,0,49.2398,NA,101.3319041,98.71034073,0.508522665,0.975207133,768.6341463,344.6097561,NA,NA,0.212115173
31,D3,23.81,18.51,2.64,Full day,UC Davis,0.600078481,0,47.3298,NA,99.86573968,93.67079028,0.497170778,0.934632733,970.7490494,564.7642586,NA,NA,0.102907703
32,D3,23.81,18.51,2.64,Dark,UC Davis,0.755740541,0,47.3298,NA,106.9951518,104.0333759,0.53672881,0.97211057,1425.772358,865.7073171,NA,NA,0.219011731
33,D3,23.81,18.51,2.64,Light,UC Davis,0.462947619,0,46.5658,NA,94.16221,85.38072179,0.465524352,0.904650463,570.9785714,300.3642857,NA,NA,-0.002576733
34,D4,21.69,16.85,2.63,Light,UC Davis,0.46567619,0,42.2492,NA,88.45825529,79.49107864,0.436531119,0.898569326,495.9428571,175.0714286,NA,NA,0.029145072
35,D4,21.69,16.85,2.63,Dark,UC Davis,0.633913514,0,42.975,NA,104.9756182,99.17874017,0.523400587,0.944638264,1256.650407,677.2357724,NA,NA,0.110512927
36,D4,21.69,16.85,2.63,Full day,UC Davis,0.544470886,0,42.975,NA,96.11573004,88.6183087,0.476803937,0.919926957,851.7110266,409.9239544,NA,NA,0.067666949
37,D5,22.36,17.45,2.54,Dark,UC Davis,0.667983784,0,44.0446,NA,110.5236866,104.4767309,0.561606317,0.957955025,1185.512195,667.5772358,NA,NA,0.106377467
38,D5,22.36,17.45,2.54,Light,UC Davis,0.47022381,0,43.6626,NA,102.2026207,90.22389681,0.522356445,0.999136335,421.3642857,187.5785714,NA,NA,-0.052132635
39,D5,22.36,17.45,2.54,Full day,UC Davis,0.56284557,0,44.0446,NA,105.7589269,96.31535701,0.537075147,0.983693344,778.7414449,412.0646388,NA,NA,0.025770423
40,D7,22.36,17.22,2.78,Dark,UC Davis,0.679340541,0,43.7008,NA,108.1137009,102.925007,NA,NA,1321.016393,777.4016393,NA,NA,NA
41,D7,22.36,17.22,2.78,Light,UC Davis,0.452942857,0,43.5098,NA,96.92297264,86.920643,NA,NA,402.4,161.65,NA,NA,NA
42,D7,22.36,17.22,2.78,Full day,UC Davis,0.558977215,0,43.7008,NA,101.9937714,94.17262043,NA,NA,830.1526718,448.3740458,NA,NA,NA
43,D8,21.15,16.6,2.31,Light,UC Davis,0.40837619,0,44.6558,NA,97.50328714,84.38307914,NA,NA,309.3928571,98.10714286,NA,NA,NA
44,D8,21.15,16.6,2.31,Full day,UC Davis,0.573967089,0,45.1142,NA,102.8585446,93.49856323,NA,NA,591.9236641,259.4236641,NA,NA,NA
45,D8,21.15,16.6,2.31,Dark,UC Davis,0.761935135,0,45.1142,NA,109.800545,105.3149315,NA,NA,916.1393443,444.5409836,NA,NA,NA
46,D9,23.2,18.03,2.98,Dark,UC Davis,0.527572973,0,42.4402,NA,113.5850264,102.6562415,NA,NA,998.4590164,541.352459,NA,NA,NA
47,D9,23.2,18.03,2.98,Light,UC Davis,0.556628571,0,42.4402,NA,101.8199314,92.50524,NA,NA,381.35,171.5285714,NA,NA,NA
48,D9,23.2,18.03,2.98,Full day,UC Davis,0.543020253,0,42.4402,NA,106.8894439,96.87924878,NA,NA,668.7061069,343.7366412,NA,NA,NA
49,M1,17.45,15.81,0.805,Dark,Umass,0.549125,0,34.8002,NA,91.58333333,90.97916667,0.461552875,0.988381946,2579,3019.695652,NA,NA,0.087572125
50,M1,17.45,15.81,0.805,Light,Umass,0.208930612,0,36.5956,NA,79.75510204,66.89795918,0.388304,0.834102388,1744.35,1467.333333,NA,NA,-0.179373388
51,M1,17.45,15.81,0.805,Full day,Umass,0.377274227,0,36.5956,NA,85.60824742,78.81443299,0.424550866,0.910446912,1936.961538,1992.397059,NA,NA,-0.047276639
52,M10,19,17,1.02,Light,Umass,0.105244898,0,34.8766,NA,85.93877551,71.59183673,0.417865286,0.829553703,1237.538462,1431.645833,NA,NA,-0.312620388
53,M10,19,17,1.02,Full day,Umass,0.359552577,0,34.8766,NA,91.34020619,85.67010309,0.454722887,0.929350817,1541.581818,1800.506849,NA,NA,-0.095170309
54,M10,19,17,1.02,Dark,Umass,0.619158333,0,34.6474,NA,96.85416667,100.0416667,0.492348354,1.031227038,2282.6875,2508.72,NA,NA,0.126809979
55,M11,20.6,18.755,1.17,Full day,Umass,0.475727835,0,46.1456,NA,95.4742268,88.87628866,0.474561103,0.916707928,1520.072727,1689.5,NA,NA,0.001166732
56,M11,20.6,18.755,1.17,Light,Umass,0.122395918,0,46.1456,NA,85.24489796,69.12244898,0.412399571,0.807482114,1089.404762,1073.770833,NA,NA,-0.290003653
57,M11,20.6,18.755,1.17,Dark,Umass,0.836420833,0,45.4962,NA,105.9166667,109.0416667,0.538017667,1.028209281,2911.461538,2920.958333,NA,NA,0.298403167
58,M12,19.45,17.745,0.995,Full day,Umass,0.402478351,0,39.0404,NA,89.17525773,83.77319588,0.444092845,0.930227461,1577.875,1741.175,NA,NA,-0.041614495
59,M12,19.45,17.745,0.995,Dark,Umass,0.619158333,0,38.8112,NA,95.75,98.1875,0.485946125,1.023968667,2068.9,2468.225806,NA,NA,0.133212208
60,M12,19.45,17.745,0.995,Light,Umass,0.190220408,0,39.0404,NA,82.73469388,69.65306122,0.403093714,0.838399341,1354.681818,1281.204082,NA,NA,-0.212873306
61,M13,16.7,15.385,0.755,Full day,Umass,0.369397938,0,35.8316,NA,89.2371134,83.54639175,0.444085773,0.925138854,1831.509804,1922.123077,NA,NA,-0.074687835
62,M13,16.7,15.385,0.755,Dark,Umass,0.5515125,0,35.6024,NA,96.54166667,96.64583333,0.487361,0.997867991,2444.375,2373.142857,NA,NA,0.0641515
63,M13,16.7,15.385,0.755,Light,Umass,0.191,0,35.8316,NA,82.08163265,70.71428571,0.401693714,0.853893984,1551.342857,1706.863636,NA,NA,-0.210693714
64,M2,20.2,18.16,1.255,Light,Umass,0.244012245,0,41.829,NA,85.67346939,74.55102041,0.420092571,0.864481142,1551.45,1451.108696,NA,NA,-0.176080327
65,M2,20.2,18.16,1.255,Full day,Umass,0.431226804,0,41.829,NA,92.49484536,85.82474227,0.459444351,0.919495103,1937.258621,1975.96,NA,NA,-0.028217546
66,M2,20.2,18.16,1.255,Dark,Umass,0.622341667,0,40.683,NA,99.45833333,97.33333333,0.499615958,0.975655188,2794.611111,2808.482759,NA,NA,0.122725708
67,M3,19.25,17.315,1.24,Dark,Umass,0.663725,0,36.9776,NA,103.5,108.7083333,0.528124917,1.049263883,2282.555556,2647.483871,NA,NA,0.135600083
68,M3,19.25,17.315,1.24,Full day,Umass,0.387513402,0,37.5888,NA,96.69072165,92.18556701,0.483015371,0.943689935,1773.822581,1758.727273,NA,NA,-0.095501969
69,M3,19.25,17.315,1.24,Light,Umass,0.116938776,0,37.5888,NA,90.02040816,76,0.438826429,0.840270558,1565.704545,1159.782609,NA,NA,-0.321887653
70,M4,18.9,16.805,1.27,Light,Umass,0.13175102,0,29.796,NA,81.95918367,69.57142857,0.399947143,0.845638038,1878.170732,1437.644444,NA,NA,-0.268196122
71,M4,18.9,16.805,1.27,Full day,Umass,0.307175258,0,29.796,NA,90.02061856,83.32989691,0.446934124,0.91594808,2066.78,1926.507937,NA,NA,-0.139758866
72,M4,18.9,16.805,1.27,Dark,Umass,0.486254167,0,29.2994,NA,98.25,97.375,0.4949,0.987722915,2926,3148.666667,NA,NA,-0.008645833
73,M5,20.15,18.14,1.025,Light,Umass,0.155918367,0,44.5412,NA,90.93877551,78.34693878,0.445041429,0.859599176,1520.102564,1472.413043,NA,NA,-0.289123061
74,M5,20.15,18.14,1.025,Dark,Umass,0.768775,0,43.5862,NA,105.0833333,106.6875,0.532129792,1.013329274,2446.928571,2560.333333,NA,NA,0.236645208
75,M5,20.15,18.14,1.025,Full day,Umass,0.459187629,0,44.5412,NA,97.93814433,92.37113402,0.488136701,0.935671802,1764.924528,1813.402985,NA,NA,-0.028949072
76,M6,20.05,18.2,1.07,Dark,Umass,0.689191667,0,41.256,NA,105.8541667,106.9583333,0.535467188,1.007769173,2296.315789,2584.935484,NA,NA,0.153724479
77,M6,20.05,18.2,1.07,Full day,Umass,0.447373196,0,43.3952,NA,98.24742268,92.1443299,0.489104722,0.927091378,1736.983051,1811.026667,NA,NA,-0.041731526
78,M6,20.05,18.2,1.07,Light,Umass,0.210489796,0,43.3952,NA,90.79591837,77.63265306,0.443688429,0.848060069,1471.3,1265.772727,NA,NA,-0.233198633
79,M7,19.9,18.355,0.96,Light,Umass,0.104465306,0,38.3146,NA,88.30612245,72.55102041,0.428255857,0.819154752,1313.973684,1229.906977,NA,NA,-0.323790551
80,M7,19.9,18.355,0.96,Dark,Umass,0.691579167,0,38.009,NA,100.6875,103.1875,0.510934813,1.022351548,1429.153846,2914.758621,NA,NA,0.180644354
81,M7,19.9,18.355,0.96,Full day,Umass,0.394995876,0,38.3146,NA,94.43298969,87.71134021,0.469169155,0.919705743,1343.333333,1908.527778,NA,NA,-0.074173278
82,M8,18.4,16.93,0.87,Full day,Umass,0.430439175,0,41.7526,NA,95.30927835,88.63917526,0.473648794,0.922859897,2141.16,2064.030303,NA,NA,-0.043209619
83,M8,18.4,16.93,0.87,Dark,Umass,0.6876,0,41.2942,NA,101.6666667,101.4375,0.512858208,0.996267834,3305.416667,3210.727273,NA,NA,0.174741792
84,M8,18.4,16.93,0.87,Light,Umass,0.178526531,0,41.7526,NA,89.08163265,76.10204082,0.435239571,0.850950082,1773.5,1490.681818,NA,NA,-0.256713041
85,V1,20.175,14.51665,1.38258,Full day,Vanderbilt,0.411475242,0.036628472,38.67867274,7.20301,68.69487186,65.89679035,0.343608339,0.946288279,182.7674727,NA,0.7248952,0.903836536,0.067866903
86,V1,20.175,14.51665,1.38258,Dark,Vanderbilt,0.564493043,0.059497435,38.12374134,7.019208,76.44646085,77.66196568,0.387169635,1.010405847,250.3846007,NA,1.167631975,1.411437637,0.177323408
87,V1,20.175,14.51665,1.38258,Light,Vanderbilt,0.251804493,0.012765207,38.67867274,7.20301,60.44179375,53.37046689,0.297228844,0.878022624,110.775854,NA,0.260880872,0.371840558,-0.045424351
88,V10,19.16,13.6533,1.61944,Dark,Vanderbilt,0.462550764,0.0856211,26.26835988,7.452758,77.11320746,72.63530108,0.384237794,0.933949482,199.6135417,NA,1.059251789,1.262862456,0.07831297
89,V10,19.16,13.6533,1.61944,Full day,Vanderbilt,0.284279808,0.052767326,26.72230194,7.805935,69.80939861,62.30481927,0.344027971,0.878833802,143.7123841,NA,0.654899631,0.811619262,-0.059748163
90,V10,19.16,13.6533,1.61944,Light,Vanderbilt,0.09825794,0.018485126,26.72230194,7.805935,62.04657035,51.32510201,0.301291097,0.820254291,84.19470055,NA,0.228872403,0.336187431,-0.203033157
91,V11,19.68,13.59575,1.186955,Light,Vanderbilt,0.252642036,0.026949746,33.42668156,7.400505,62.77359747,54.54368344,0.307716063,0.862841886,8.757362292,NA,0.147473327,0.158911091,-0.055074027
92,V11,19.68,13.59575,1.186955,Full day,Vanderbilt,0.355602995,0.049365021,33.42668156,7.400505,70.84874683,65.45504988,0.351608198,0.911592298,22.97493286,NA,0.323586303,0.353322829,0.003994797
93,V11,19.68,13.59575,1.186955,Dark,Vanderbilt,0.454273915,0.070846327,32.43861182,7.123037,78.43321872,75.70339927,0.392833277,0.957380445,36.32858854,NA,0.488997969,0.535921354,0.061440637
94,V12,19.14,13.5901,1.47194,Full day,Vanderbilt,0.498740826,0.03860603,46.8816376,8.284643,72.67420165,65.71708893,0.359092129,0.892735145,195.1099973,NA,0.738575533,0.917914846,0.139648697
95,V12,19.14,13.5901,1.47194,Light,Vanderbilt,0.330513625,0.011903176,46.8816376,8.284643,64.45300124,54.75040878,0.314563231,0.842356965,113.4499094,NA,0.260838091,0.377832538,0.015950393
96,V12,19.14,13.5901,1.47194,Dark,Vanderbilt,0.65995856,0.064196265,45.87629,8.203478,80.39584995,76.01739094,0.400915277,0.94005215,271.8081007,NA,1.211063114,1.451073022,0.259043283
97,V13,18.86,13.4804,1.393305,Full day,Vanderbilt,0.214555542,0.040086814,20.16822098,8.18972,69.97996037,63.2670193,0.345764347,0.892884584,112.1892569,NA,0.695472471,0.818290189,-0.131208805
98,V13,18.86,13.4804,1.393305,Light,Vanderbilt,0.090305522,0.015292263,20.16822098,8.18972,62.70814283,54.59607288,0.307516048,0.862070602,62.12410351,NA,0.313105453,0.386270018,-0.217210525
99,V13,18.86,13.4804,1.393305,Dark,Vanderbilt,0.333628478,0.063848258,20.16522228,8.097284,76.80991399,71.4110853,0.381688532,0.92182619,159.2122569,NA,1.059663592,1.22977419,-0.048060054
100,V14,19.015,13.43955,1.24546,Light,Vanderbilt,0.239343844,0.025642215,31.7748937,6.935593,68.73816778,58.16880512,0.335231819,0.838933183,121.2114658,NA,0.228951429,0.362928604,-0.095887975
101,V14,19.015,13.43955,1.24546,Dark,Vanderbilt,0.432605768,0.089879581,31.76279958,6.716609,83.44909375,78.45701635,0.415646335,0.933557925,234.5564757,NA,1.209610964,1.414887286,0.016959433
102,V14,19.015,13.43955,1.24546,Full day,Vanderbilt,0.338030784,0.058444274,31.7748937,6.935593,76.32410633,68.63076543,0.376698928,0.887728036,179.6597431,NA,0.728650555,0.898471205,-0.038668144
103,V15,18.805,13.18985,1.619665,Dark,Vanderbilt,0.57248395,0.09077269,36.29996065,9.44572,81.21329918,77.25054955,0.405500719,0.943102848,239.1204861,NA,1.37377418,1.622880109,0.166983231
104,V15,18.805,13.18985,1.619665,Light,Vanderbilt,0.205356714,0.033317326,36.92563845,9.726071,62.41144399,53.51335872,0.305149276,0.851108945,94.9349353,NA,0.347565028,0.455391648,-0.099792561
105,V15,18.805,13.18985,1.619665,Full day,Vanderbilt,0.392825941,0.062656235,36.92563845,9.726071,72.1069396,65.75384388,0.3568972,0.898547162,169.2866607,NA,0.862566479,1.04555065,0.035928741
106,V16,16.7,11.25405,2.094025,Full day,Vanderbilt,0.319387396,0.040839718,30.02241522,7.594207,64.51355838,60.44729521,0.321102642,0.929521138,154.4755533,NA,0.595811682,0.738632205,-0.001715246
107,V16,16.7,11.25405,2.094025,Dark,Vanderbilt,0.521274025,0.055841054,29.25119542,7.308372,69.34958356,66.91860922,0.347318691,0.958913394,212.0628646,NA,0.874303706,1.067895122,0.173955334
108,V16,16.7,11.25405,2.094025,Light,Vanderbilt,0.108723088,0.02518615,30.02241522,7.594207,59.36466651,53.55731948,0.293190545,0.89822735,93.16263031,NA,0.301361704,0.390502096,-0.184467458
109,V2,20.285,14.6791,1.349935,Full day,Vanderbilt,0.339802492,0.032550529,31.94143424,8.310786,74.95624829,67.8777855,0.370475408,0.890465651,167.252462,NA,0.830932106,0.993819578,-0.030672916
110,V2,20.285,14.6791,1.349935,Dark,Vanderbilt,0.50807524,0.05419889,31.69282482,8.072781,85.73371948,82.31592066,0.428918001,0.955765244,249.1225694,NA,1.364174764,1.605339246,0.079157239
111,V2,20.285,14.6791,1.349935,Light,Vanderbilt,0.164213537,0.009960935,31.94143424,8.310786,63.50144989,52.53226292,0.308359897,0.821062201,80.0857671,NA,0.283813243,0.361878104,-0.14414636
