site.type	site.abbr	sample.date	year	month	day	genus	species	genus.species
O	RIV3	14/04/2002	2002	4	14	Agapostemon	texanus	Agapostemon texanus
O	RIV3	07/08/2002	2002	8	7	Agapostemon	texanus	Agapostemon texanus
O	TER1	01/04/2002	2002	4	1	Agapostemon	texanus	Agapostemon texanus
O	TER1	01/05/2002	2002	5	1	Agapostemon	texanus	Agapostemon texanus
O	FUL2	15/07/2002	2002	7	15	Agapostemon	texanus	Agapostemon texanus
O	TER1	01/08/2002	2002	8	1	Agapostemon	texanus	Agapostemon texanus
O	RIV3	17/07/2002	2002	7	17	Agapostemon	texanus	Agapostemon texanus
O	RIV3	17/07/2002	2002	7	17	Agapostemon	texanus	Agapostemon texanus
O	TER1	27/06/2002	2002	6	27	Agapostemon	texanus	Agapostemon texanus
N	BAL	16/07/2002	2002	7	16	Agapostemon	texanus	Agapostemon texanus
C	LEE	31/03/2002	2002	3	31	Andrena	angustitarsata	Andrena angustitarsata
C	PIL	04/04/2002	2002	4	4	Andrena	angustitarsata	Andrena angustitarsata
O	FUL2	11/04/2002	2002	4	11	Andrena	angustitarsata	Andrena angustitarsata
O	FUL2	11/04/2002	2002	4	11	Andrena	angustitarsata	Andrena angustitarsata
O	RIV4	12/04/2002	2002	4	12	Andrena	angustitarsata	Andrena angustitarsata
O	FUL2	03/04/2002	2002	4	3	Andrena	angustitarsata	Andrena angustitarsata
C	PIL	13/04/2002	2002	4	13	Andrena	anisochlora	Andrena anisochlora
N	NIC	13/04/2002	2002	4	13	Andrena	anisochlora	Andrena anisochlora
O	FUL4	12/04/2002	2002	4	12	Andrena	atypica	Andrena atypica
O	FUL2	03/04/2002	2002	4	3	Andrena	auricoma	Andrena auricoma
N	BAL	31/03/2002	2002	3	31	Andrena	auricoma	Andrena auricoma
N	NIC	13/04/2002	2002	4	13	Andrena	auricoma	Andrena auricoma
N	BAL	31/03/2002	2002	3	31	Andrena	auricoma	Andrena auricoma
C	HOL	21/04/2002	2002	4	21	Andrena	candida	Andrena candida
O	FUL2	11/04/2002	2002	4	11	Andrena	candida	Andrena candida
O	FUL2	11/04/2002	2002	4	11	Andrena	candida	Andrena candida
O	FUL2	11/04/2002	2002	4	11	Andrena	candida	Andrena candida
O	FUL4	31/03/2002	2002	3	31	Andrena	candida	Andrena candida
O	RIV3	03/04/2002	2002	4	3	Andrena	candida	Andrena candida
O	RIV3	03/04/2002	2002	4	3	Andrena	candida	Andrena candida
O	RIV3	03/04/2002	2002	4	3	Andrena	candida	Andrena candida
O	RIV3	23/05/2002	2002	5	23	Andrena	candida	Andrena candida
O	TER1	10/04/2002	2002	4	10	Andrena	candida	Andrena candida
O	TER1	10/04/2002	2002	4	10	Andrena	candida	Andrena candida
O	FUL2	03/04/2002	2002	4	3	Andrena	candida	Andrena candida
N	NIC	15/05/2002	2002	5	15	Andrena	candida	Andrena candida
C	TUR	15/05/2002	2002	5	15	Andrena	cerasifolii	Andrena cerasifolii
O	RIV3	03/04/2002	2002	4	3	Andrena	cerasifolii	Andrena cerasifolii
O	RIV3	23/05/2002	2002	5	23	Andrena	cerasifolii	Andrena cerasifolii
C	TUR	01/04/2002	2002	4	1	Andrena	cercocarpi	Andrena cercocarpi
O	FUL2	23/04/2002	2002	4	23	Andrena	cercocarpi	Andrena cercocarpi
O	TER1	01/04/2002	2002	4	1	Andrena	cercocarpi	Andrena cercocarpi
O	RIV4	02/04/2002	2002	4	2	Andrena	cercocarpi	Andrena cercocarpi
O	TER1	10/04/2002	2002	4	10	Andrena	chalybioides	Andrena chalybioides
O	TER1	10/04/2002	2002	4	10	Andrena	chalybioides	Andrena chalybioides
O	TER1	10/04/2002	2002	4	10	Andrena	chalybioides	Andrena chalybioides
O	TER1	10/04/2002	2002	4	10	Andrena	chalybioides	Andrena chalybioides
O	TER1	10/04/2002	2002	4	10	Andrena	chalybioides	Andrena chalybioides
O	TER1	01/05/2002	2002	5	1	Andrena	chalybioides	Andrena chalybioides
O	TER1	01/05/2002	2002	5	1	Andrena	chalybioides	Andrena chalybioides
O	TER1	01/05/2002	2002	5	1	Andrena	chalybioides	Andrena chalybioides
C	LEE	31/03/2002	2002	3	31	Andrena	chlorogaster	Andrena chlorogaster
C	LEE	31/03/2002	2002	3	31	Andrena	chlorogaster	Andrena chlorogaster
C	LEE	31/03/2002	2002	3	31	Andrena	chlorogaster	Andrena chlorogaster
C	LEE	31/03/2002	2002	3	31	Andrena	chlorogaster	Andrena chlorogaster
C	LEE	31/03/2002	2002	3	31	Andrena	chlorogaster	Andrena chlorogaster
C	LEE	31/03/2002	2002	3	31	Andrena	chlorogaster	Andrena chlorogaster
C	PIL	13/04/2002	2002	4	13	Andrena	chlorogaster	Andrena chlorogaster
C	PIL	13/04/2002	2002	4	13	Andrena	chlorogaster	Andrena chlorogaster
C	PIL	13/04/2002	2002	4	13	Andrena	chlorogaster	Andrena chlorogaster
O	FUL2	23/04/2002	2002	4	23	Andrena	chlorogaster	Andrena chlorogaster
O	RIV3	03/04/2002	2002	4	3	Andrena	chlorogaster	Andrena chlorogaster
O	RIV3	03/04/2002	2002	4	3	Andrena	chlorogaster	Andrena chlorogaster
O	RIV3	03/04/2002	2002	4	3	Andrena	chlorogaster	Andrena chlorogaster
O	RIV3	03/04/2002	2002	4	3	Andrena	chlorogaster	Andrena chlorogaster
