site.abbr	site.type	sample.date	year	month	day	quadrat	wood	soil	rock	veg	thatch	stems	tilled	holes	slope
BAL	N	28/03/2014	2014	3	28	11	0	0	0	70	30	0		0	3
BAL	N	28/03/2014	2014	3	28	12	5	0	0	45	50	0		0	15
BAL	N	28/03/2014	2014	3	28	13	1	0	0	60	39	0		0	20
BAL	N	28/03/2014	2014	3	28	14	5	5	0	50	40	0		0	25
BAL	N	28/03/2014	2014	3	28	15	5	0	0	60	25	0		0	25
BAL	N	28/03/2014	2014	3	28	21	1	0	0	69	30	0		0	3
BAL	N	28/03/2014	2014	3	28	22	0	0	0	10	90	1		0	5
BAL	N	28/03/2014	2014	3	28	23	5	35	0	20	40	0		0	30
BAL	N	28/03/2014	2014	3	28	24	0	20	0	15	65	0		0	25
BAL	N	28/03/2014	2014	3	28	25	30	15	0	5	50	0		0	25
BAL	N	28/03/2014	2014	3	28	31	15	0	0	45	30	0		0	0
BAL	N	28/03/2014	2014	3	28	32	0	10	0	50	40	1		0	20
BAL	N	28/03/2014	2014	3	28	33	10	20	0	30	40	0		0	30
BAL	N	28/03/2014	2014	3	28	34	15	15	0	20	50	0		0	30
BAL	N	28/03/2014	2014	3	28	35	30	15	0	35	20	0		1	30
FUL2	O	20/02/2014	2014	2	20	11	0	60	0	35	5	0	Y	0	0
FUL2	O	20/02/2014	2014	2	20	12	0	70	0	45	15	0	Y	0	0
FUL2	O	20/02/2014	2014	2	20	13	0	70	0	15	15	0	Y	0	0
FUL2	O	20/02/2014	2014	2	20	14	0	5	0	50			Y	0	0
FUL2	O	20/02/2014	2014	2	20	15	0	90	0	1	10	0		0	0
FUL2	O	20/02/2014	2014	2	20	21	0	45	0	55	0	0	Y	0	0
FUL2	O	20/02/2014	2014	2	20	22	0	25	0	70	5	0	Y	0	0
FUL2	O	20/02/2014	2014	2	20	23	2	65	0	15	20	0	Y	0	0
FUL2	O	20/02/2014	2014	2	20	24	0	80	0	20	0	0	Y	0	0
FUL2	O	20/02/2014	2014	2	20	25	0	90	0	10	0	0	Y	0	0
FUL2	O	20/02/2014	2014	2	20	31	0	10	0	80	10	0	Y	0	0
FUL2	O	20/02/2014	2014	2	20	32	0	50	0	40	10	0	Y	0	0
FUL2	O	20/02/2014	2014	2	20	33	0	0	0	0	100	0		0	0
FUL2	O	20/02/2014	2014	2	20	34	0	60	0	40	0	0	Y	0	0
FUL2	O	20/02/2014	2014	2	20	35	0	60	0	40	0	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	11	0	92	0	8	0	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	12	0	90	0	10	0	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	13	0	94	0	6	0	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	14	0	94	0	6	0	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	15	0	93	0	7	0	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	21	0	90	0	10	0	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	22	0	90	0	10	0	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	23	0	94	0	6	0	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	24	0	94	0	5	1	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	25	0	92	0	8	0	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	31	0	89	0	11	0	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	32	0	76	0	20	4	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	33	0	86	0	14	0	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	34	0	69	0	30	1	0	Y	0	0
FUL4	O	20/02/2014	2014	2	20	35	0	85	0	15	0	0	Y	0	0
HOL	C	28/03/2014	2014	3	28	11	1	38	0	1	60	0		1	0
HOL	C	28/03/2014	2014	3	28	12	0	84	0	15	1	0	Y	0	0
HOL	C	28/03/2014	2014	3	28	13	0	89	0	10	1	0	Y	0	0
HOL	C	28/03/2014	2014	3	28	14	0	86	0	11	3	0	Y	0	0
HOL	C	28/03/2014	2014	3	28	15	0	85	0	13	2	0	Y	0	0
HOL	C	28/03/2014	2014	3	28	21	2	34	0	4	60	0		2	1
HOL	C	28/03/2014	2014	3	28	22	0	80	0	20	0	0	Y	0	0
HOL	C	28/03/2014	2014	3	28	23	0	90	0	10	0	0	Y	0	0
HOL	C	28/03/2014	2014	3	28	24	0	81	0	18	1	0	Y	0	0
HOL	C	28/03/2014	2014	3	28	25	0	88	0	11	1	0	Y	0	0
HOL	C	28/03/2014	2014	3	28	31	5	34	1	0	60	0		0	0
HOL	C	28/03/2014	2014	3	28	32	0	90	0	8	2	0	Y	0	0
HOL	C	28/03/2014	2014	3	28	33	0	85	0	14	1	0	Y	0	0
HOL	C	28/03/2014	2014	3	28	34	0	90	0	8	2	0	Y	0	0
HOL	C	28/03/2014	2014	3	28	35	0	92	0	6	2	0	Y	0	0
LEE	C	27/03/2014	2014	3	27	11	0	50	0	45	5	0		0	0
LEE	C	27/03/2014	2014	3	27	12	0	50	0	43	2	0		0	0
LEE	C	27/03/2014	2014	3	27	13	0	50	0	40	10	0		0	0
LEE	C	27/03/2014	2014	3	27	14	0	30	0	50	20	0		0	0
LEE	C	27/03/2014	2014	3	27	15	0	30	0	50	20	0		0	0
LEE	C	27/03/2014	2014	3	27	21	0	30	0	60	10	0		0	0
LEE	C	27/03/2014	2014	3	27	22	0	30	0	65	5	0		0	0
LEE	C	27/03/2014	2014	3	27	23	0	15	0	80	5	0		0	0
LEE	C	27/03/2014	2014	3	27	24	0	45	0	50	5	0		0	0
LEE	C	27/03/2014	2014	3	27	25	0	39	0	60	1	0		0	0
LEE	C	27/03/2014	2014	3	27	31	0	20	0	70	10	0		0	0
LEE	C	27/03/2014	2014	3	27	32	0	25	0	65	10	0		0	0
LEE	C	27/03/2014	2014	3	27	33	0	5	0	75	20	0		0	0
LEE	C	27/03/2014	2014	3	27	34	0	39	0	60	1	0		0	0
LEE	C	27/03/2014	2014	3	27	35	0	5	0	94	1	0		0	0
LOW	N	20/02/2014	2014	2	20	11	1	2	3	20	70	1			0
LOW	N	20/02/2014	2014	2	20	12	15	0	0	60	25	0		2	0
LOW	N	20/02/2014	2014	2	20	13	0	45	20	10	20	0		0	15
LOW	N	20/02/2014	2014	2	20	14	5	0	15	15	35	0		0	5
LOW	N	20/02/2014	2014	2	20	15	0	0	15	10	10	0		2	0
LOW	N	20/02/2014	2014	2	20	21	0	70	20	1	5	0		0	0
LOW	N	20/02/2014	2014	2	20	22	4	70	15	1	10	0		0	20
LOW	N	20/02/2014	2014	2	20	23	40	5	0	1	45	0		0	0
LOW	N	20/02/2014	2014	2	20	24	20	30	0	20	30	0		0	25
LOW	N	20/02/2014	2014	2	20	25	2	10	95	0	0	0		0	45
LOW	N	20/02/2014	2014	2	20	31	0	30	70	0	0	0		0	20
LOW	N	20/02/2014	2014	2	20	32	0	30	10	5	60	0		0	10
LOW	N	20/02/2014	2014	2	20	33	0	15	30	5	50	0		0	10
LOW	N	20/02/2014	2014	2	20	34	2	20	30	10	35	0		0	20
LOW	N	20/02/2014	2014	2	20	35	0	45	15	5	35	0		0	5
MUR63	N	25/04/2014	2014	4	25	11	0	40	3	55	2	0		0	2
MUR63	N	25/04/2014	2014	4	25	12	0	30	0	50	20	0		0	2
MUR63	N	25/04/2014	2014	4	25	13	0	15	0	70	10	0		0	5
MUR63	N	25/04/2014	2014	4	25	14	0	20	0	60	20	0		0	15
MUR63	N	25/04/2014	2014	4	25	15	5	30	0	50	15	0		0	35
MUR63	N	25/04/2014	2014	4	25	21	30	0	0	20	50	0		0	15
MUR63	N	25/04/2014	2014	4	25	22	0	40	0	45	15	0		0	10
MUR63	N	25/04/2014	2014	4	25	23	2	5	0	30	50	0		0	10
MUR63	N	25/04/2014	2014	4	25	24	5	28	0	70	2	0		0	20
MUR63	N	25/04/2014	2014	4	25	25	0	40	0	50	5	0		0	15
MUR63	N	25/04/2014	2014	4	25	31	0	40	0	40	10	0		0	5
MUR63	N	25/04/2014	2014	4	25	32	0	25	2	68	5	0		0	10
MUR63	N	25/04/2014	2014	4	25	33	0	15	0	80	5	0		0	15
MUR63	N	25/04/2014	2014	4	25	34	0	5	0	90	5	0		0	15
MUR63	N	25/04/2014	2014	4	25	35	0	40	0	65	5	0		0	10
MUR70	N	25/04/2014	2014	4	25	11	3	0	0	60	37	0		0	0
MUR70	N	25/04/2014	2014	4	25	12	0	20	0	60	20	0		0	0
MUR70	N	25/04/2014	2014	4	25	13	2	0	0	48	50	0		0	0
MUR70	N	25/04/2014	2014	4	25	14	0	5	0	70	25	0		0	20
MUR70	N	25/04/2014	2014	4	25	15	0	10	0	85	5	0		0	15
MUR70	N	25/04/2014	2014	4	25	21	0	25	0	75	0	0		0	15
MUR70	N	25/04/2014	2014	4	25	22	0	30	0	65	5	0		0	15
MUR70	N	25/04/2014	2014	4	25	23	2	3	0	90	5	0		0	2
MUR70	N	25/04/2014	2014	4	25	24	10	0	0	80	10	0		0	2
MUR70	N	25/04/2014	2014	4	25	25	0	80	0	20	0	0		0	80
MUR70	N	25/04/2014	2014	4	25	31	10	40	0	30	0	0		0	60
MUR70	N	25/04/2014	2014	4	25	32	2	0	0	80	18	0		0	0
MUR70	N	25/04/2014	2014	4	25	33	0	40	0	60	0	0		0	2
MUR70	N	25/04/2014	2014	4	25	34	0	30	0	70	0	0		0	5
