site.abbr	site.type	sample.date	year	month	day	transect	trees	shrubs
PIL	C	25/04/2014	2014	4	25	1	0	0
PIL	C	25/04/2014	2014	4	25	2	0	0
PIL	C	25/04/2014	2014	4	25	3	0	0
HOL	C	28/03/2014	2014	3	28	1	1	0
HOL	C	28/03/2014	2014	3	28	2	0	0
HOL	C	28/03/2014	2014	3	28	3	1	0
TUR	C	28/03/2014	2014	3	28	1	0	0
TUR	C	28/03/2014	2014	3	28	2	0	1
TUR	C	28/03/2014	2014	3	28	3	0	0
LEE	C	27/03/2014	2014	3	27	1	3	0
LEE	C	27/03/2014	2014	3	27	2	1	0
LEE	C	27/03/2014	2014	3	27	3	1	0
MUR70	N	25/04/2014	2014	4	25	1	2	0
MUR70	N	25/04/2014	2014	4	25	2	2	0
MUR70	N	25/04/2014	2014	4	25	3	1	2
TOM	N	25/04/2014	2014	4	25	1	1	0
TOM	N	25/04/2014	2014	4	25	2	1	0
TOM	N	25/04/2014	2014	4	25	3	2	2
MUR63	N	25/04/2014	2014	4	25	1	2	0
MUR63	N	25/04/2014	2014	4	25	2	1	0
MUR63	N	25/04/2014	2014	4	25	3	1	0
LOW	N	20/02/2014	2014	2	20	1	6	5
LOW	N	20/02/2014	2014	2	20	2	3	0
LOW	N	20/02/2014	2014	2	20	3	5	5
BAL	N	28/03/2014	2014	3	28	1	6	10
BAL	N	28/03/2014	2014	3	28	2	8	5
BAL	N	28/03/2014	2014	3	28	3	3	2
NIC	N	27/03/2014	2014	3	27	1	5	1
NIC	N	27/03/2014	2014	3	27	2	2	0
NIC	N	27/03/2014	2014	3	27	3	0	0
PUT1	N	27/03/2014	2014	3	27	1	5	5
PUT1	N	27/03/2014	2014	3	27	2	5	6
PUT1	N	27/03/2014	2014	3	27	3	1	4
FUL2	O	20/02/2014	2014	2	20	1	0	0
FUL2	O	20/02/2014	2014	2	20	2	0	0
FUL2	O	20/02/2014	2014	2	20	3	0	0
RIV4	O	20/02/2014	2014	2	20	1	1	0
RIV4	O	20/02/2014	2014	2	20	2	1	0
RIV4	O	20/02/2014	2014	2	20	3	0	1
FUL4	O	20/02/2014	2014	2	20	1	0	0
FUL4	O	20/02/2014	2014	2	20	2	0	0
FUL4	O	20/02/2014	2014	2	20	3	0	0
RIV3	O	20/02/2014	2014	2	20	1	0	0
RIV3	O	20/02/2014	2014	2	20	2	0	0
RIV3	O	20/02/2014	2014	2	20	3	0	0
TER1	O	27/03/2014	2014	3	27	1	1	0
TER1	O	27/03/2014	2014	3	27	2	0	0
TER1	O	27/03/2014	2014	3	27	3	0	3
