OdourSource,MatingStatus,Landing
blueberry,mated,0
blueberry,mated,0
blueberry,mated,1
blueberry,mated,0
blueberry,mated,0
blueberry,mated,1
blueberry,mated,1
blueberry,mated,1
blueberry,mated,0
blueberry,mated,0
blueberry,mated,1
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,mated,1
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,mated,1
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,mated,1
blueberry,mated,1
blueberry,mated,1
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,mated,1
blueberry,mated,0
blueberry,mated,1
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,mated,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,1
blueberry,virgin,1
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,0
blueberry,virgin,1
blueberry,virgin,0
hanseniaspora,mated,1
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,1
hanseniaspora,mated,0
hanseniaspora,mated,1
hanseniaspora,mated,0
hanseniaspora,mated,1
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,1
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,1
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,1
hanseniaspora,mated,1
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,1
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,0
hanseniaspora,mated,1
hanseniaspora,mated,1
hanseniaspora,mated,0
hanseniaspora,mated,1
hanseniaspora,mated,1
hanseniaspora,mated,0
hanseniaspora,mated,1
hanseniaspora,mated,1
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,1
hanseniaspora,virgin,0
hanseniaspora,virgin,1
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,1
hanseniaspora,virgin,0
hanseniaspora,virgin,1
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,1
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,1
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,1
hanseniaspora,virgin,1
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
hanseniaspora,virgin,0
