Replicate,Treatment,Amount_ul,Eggs
1,Media,0.123287671,30
2,Media,0.068493151,47
3,Media,0.123287671,29
4,Media,0.205479452,1
5,Media,0.123287671,14
6,Media,0.136986301,35
7,Media,0.123287671,2
8,Media,0.136986301,1
9,Media,0.123287671,13
10,Media,0.452054795,32
11,Media,0.123287671,19
12,Media,0,9
13,Media,0.123287671,5
14,Media,0.315068493,19
15,Media,0.438356164,22
16,Media,0.068493151,10
17,Media,0.054794521,19
18,Media,0.068493151,9
19,Media,0.123287671,11
20,Media,0.136986301,19
1,Yeast,1.671232877,16
2,Yeast,0,33
3,Yeast,2.328767123,15
4,Yeast,0.328767123,6
5,Yeast,2.191780822,0
6,Yeast,0.191780822,2
7,Yeast,1.095890411,17
8,Yeast,0.465753425,6
9,Yeast,1.643835616,2
10,Yeast,0.123287671,31
11,Yeast,1.643835616,11
12,Yeast,0.534246575,2
13,Yeast,1.780821918,0
14,Yeast,1.342465753,1
15,Yeast,1.849315068,21
16,Yeast,1.684931507,11
17,Yeast,1.575342466,2
18,Yeast,0.452054795,0
19,Yeast,1.219178082,5
