Fish_ID,Schisto_exposure,Schisto_pop,Schisto_fam,Cage,Died_in_cage,Schisto_infection,Plerocercoid_weight_mg,Treatment,Date_Schisto_exposure,Date_in_lake,Date_dissected,Age_at_dissection,Fish_sex,Initial_total_length_mm,Initial_std_length_mm,Initial_weight_g,Final_total_length_mm,Final_std_length_mm,Final_weight_g,Final_weight_no_Schisto,HK_weight_mg,Spleen_weight_mg,Liver_weight_mg,Gonad_weight_mg,Irregular_Apatemon_Cysts,Tr,Af,Er,Gy,Gl,Ac,Cp,Dg,Dp,Ec,Ph,Sg,Tc,Ju,An,Cl,Co,Ra,Ps,Pf,Vc
1,1,LG,LG-A,1,1,,,,12.05.09,20.05.09,,,,45,40,0.6577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,LG,LG-A,1,1,,,,12.05.09,20.05.09,,,,44,39,0.5832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,LG,LG-A,1,1,,,,12.05.09,20.05.09,,,,42,37,0.5806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,LG,LG-A,1,1,,,,12.05.09,20.05.09,,,,42,37,0.5765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,LG,LG-A,1,1,,,,12.05.09,20.05.09,,,,44,39,0.6578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,HG,HG-B,1,0,1,238,Infected HG,13.05.09,20.05.09,10.08.09,89,M,44,39,0.6489,51,45,1.1752,0.9372,2.1,1.3,19.9,2.4,,3,2,0,0,0,37,3,1,10,4,0,0,0,1,0,1,0,0,0,5,0
7,1,HG,HG-B,1,1,,,,13.05.09,20.05.09,,,,45,40,0.6701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,HG,HG-B,1,1,,,,13.05.09,20.05.09,,,,42,38,0.5621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,HG,HG-B,1,1,,,,13.05.09,20.05.09,,,,46,40,0.7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,HG,HG-B,1,1,,,,13.05.09,20.05.09,,,,43,38,0.5611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,,,1,1,0,,,13.05.09,20.05.09,10.08.09,89,,45,40,0.7515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,,,1,1,0,,,13.05.09,20.05.09,10.08.09,89,,50,45,1.0399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,,,1,1,,,,13.05.09,20.05.09,,,,42,38,0.5525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,,,1,1,,,,13.05.09,20.05.09,,,,44,40,0.6466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
