category,group,volume,ct
shMet,shMet,2,32.162914
shMet,shMet,2,30.273518
shMet,shMet,2,31.271898
shMet,shMet,5,33.491245
shMet,shMet,5,33.12002
shMet,shMet,5,30.992098
shMet,shMet,10,31.15526
shMet,shMet,10,31.74194
shMet,shMet,10,32.245403
shMet,GAPDH,2,24.001244
shMet,GAPDH,2,23.648315
shMet,GAPDH,2,23.199926
shMet,GAPDH,5,25.345612
shMet,GAPDH,5,25.33791
shMet,GAPDH,5,23.601149
shMet,GAPDH,10,22.535572
shMet,GAPDH,10,24.242832
shMet,GAPDH,10,23.927662
shScr,shScr,2,27.410366
shScr,shScr,2,28.392359
shScr,shScr,2,27.331747
shScr,shScr,5,28.398136
shScr,shScr,5,28.324848
shScr,shScr,5,28.937569
shScr,shScr,10,31.748413
shScr,shScr,10,31.367928
shScr,shScr,10,31.700825
shScr,GAPDH,2,20.97471
shScr,GAPDH,2,22.0231
shScr,GAPDH,2,24.837883
shScr,GAPDH,5,23.122938
shScr,GAPDH,5,22.2686
shScr,GAPDH,5,25.67039
shScr,GAPDH,10,NA
shScr,GAPDH,10,23.944607
shScr,GAPDH,10,26.274258
