Antibody,Set,Value,Condition,Type,Blot
Met,1,6462.175,shScr,Exosome,https://osf.io/e3dny/
Met,2,4506.903,shScr,Exosome,https://osf.io/e3dny/
Met,3,6011.995,shScr,Exosome,https://osf.io/e3dny/
Met,4,10699.196,shScr,Cells,https://osf.io/e3dny/
Met,5,1650.175,shMet,Exosome,https://osf.io/e3dny/
Met,6,4335.175,shMet,Exosome,https://osf.io/e3dny/
Met,7,2553.962,shMet,Exosome,https://osf.io/e3dny/
Met,8,2604.711,shMet,Cells,https://osf.io/e3dny/
Gapdh,1,6864.832,shScr,Exosome,https://osf.io/e3dny/
Gapdh,2,1632.205,shScr,Exosome,https://osf.io/e3dny/
Gapdh,3,5746.882,shScr,Exosome,https://osf.io/e3dny/
Gapdh,4,8977.075,shScr,Cells,https://osf.io/e3dny/
Gapdh,5,2813.418,shMet,Exosome,https://osf.io/e3dny/
Gapdh,6,3051.983,shMet,Exosome,https://osf.io/e3dny/
Gapdh,7,2559.569,shMet,Exosome,https://osf.io/e3dny/
Gapdh,8,5330.761,shMet,Cells,https://osf.io/e3dny/
pMet,9,13210.522,shScr,Cells,https://osf.io/bnxht/
pMet,10,3909.803,shMet,Cells,https://osf.io/bnxht/
Gapdh,9,8828.66,shScr,Cells,https://osf.io/bnxht/
Gapdh,10,5927.711,shMet,Cells,https://osf.io/bnxht/
Met,11,2609.518,shMet,Cells,https://osf.io/nra32/
Met,12,2426.811,shMet,Cells,https://osf.io/nra32/
Met,13,9926.167,shScr,Cells,https://osf.io/nra32/
Met,14,30630.726,shScr,Cells,https://osf.io/nra32/
pMet,15,336.92,shMet,Cells,https://osf.io/nra32/
pMet,16,71.728,shMet,Cells,https://osf.io/nra32/
pMet,17,1044.962,shScr,Cells,https://osf.io/nra32/
pMet,18,900.669,shScr,Cells,https://osf.io/nra32/
Gapdh,11,8898.075,shMet,Cells,https://osf.io/nra32/
Gapdh,12,7771.832,shMet,Cells,https://osf.io/nra32/
Gapdh,13,9743.66,shScr,Cells,https://osf.io/nra32/
Gapdh,14,8734.66,shScr,Cells,https://osf.io/nra32/
Gapdh,15,8126.711,shMet,Cells,https://osf.io/nra32/
Gapdh,16,6438.589,shMet,Cells,https://osf.io/nra32/
Gapdh,17,8409.004,shScr,Cells,https://osf.io/nra32/
Gapdh,18,7611.882,shScr,Cells,https://osf.io/nra32/
pMet,19,8982.681,shScr,Cells,https://osf.io/dg4kx/
pMet,20,1934.497,shMet,Cells,https://osf.io/dg4kx/
Gapdh,19,6939.953,shScr,Cells,https://osf.io/dg4kx/
Gapdh,20,11454.246,shMet,Cells,https://osf.io/dg4kx/
