Protocol,Type,Sample,Group,Mean,Mode,Sd,D10,Median,D90,Concentration_ml
2,FTLA size distribution,72417,shMet,91.2,66,61.4,51,73.3,143,2.85E+11
2,size distribution,72417,shMet,91,67,65,45,75,144,2.85E+11
2,FTLA size distribution,81117,shMet,89.4,62,58.7,51,72.7,135,1.00E+12
2,size distribution,81117,shMet,90,63,61,46,76,141,1.00E+12
2,FTLA size distribution,8117-2,shMet,92.6,60,68.2,48,72.7,146,5.91E+11
2,size distribution,8117-2,shMet,92,63,70,42,74,148,5.91E+11
2,FTLA size distribution,72117,shScr,87.5,62,47.9,51,72.7,135,3.34E+11
2,size distribution,72117,shScr,89,63,57,45,75,142,3.34E+11
2,FTLA size distribution,72817,shScr,92.4,63,64.3,49,72.7,145,6.89E+11
2,size distribution,72817,shScr,91,63,67,44,74,146,6.89E+11
2,FTLA size distribution,81487,shScr,85.5,60,54.7,47,70,128,1.82E+12
2,size distribution,81487,shScr,86,60,61,42,72,135,1.82E+12
3,FTLA size distribution,10.23.17,shMet,70.8,40,63.3,33,49.3,123,9.26E+11
3,size distribution,10.23.17,shMet,72,44,66,29,54,125,9.26E+11
3,FTLA size distribution,10.23.17,shScr,84.9,45,70.3,40,60.7,152,2.15E+12
3,size distribution,10.23.17,shScr,86,51,73,35,66,148,2.15E+12
3,FTLA size distribution,10.25.17,shMet,84.9,45,70.3,40,60.7,152,2.15E+12
3,size distribution,10.25.17,shMet,86,51,73,35,66,148,2.15E+12
3,FTLA size distribution,10.25.17,shScr,89.2,51,65.9,45,66,155,1.43E+12
3,size distribution,10.25.17,shScr,90,57,69,40,71,151,1.43E+12
3,FTLA size distribution,10.27.17,shMet,72,44,54.9,37,52.7,123,1.46E+12
3,size distribution,10.27.17,shMet,74,45,60,32,58,126,1.46E+12
3,FTLA size distribution,10.27.17,shScr,92.2,48,81.4,41,62.7,165,2.58E+12
3,size distribution,10.27.17,shScr,89,49,77,37,69,151,2.58E+12
3,FTLA size distribution,10.30.17,shMet,96.6,48,86.1,40,64.7,187,6.09E+11
3,size distribution,10.30.17,shMet,94,50,88,36,70,167,6.09E+11
3,FTLA size distribution,10.30.17,shScr,135.4,58,109.9,53,94,271,1.45E+12
3,size distribution,10.30.17,shScr,130,62,113,48,97,240,1.45E+12
3,FTLA size distribution,11.01.17,shMet,86.9,54,58.8,46,68,143,6.95E+12
3,size distribution,11.01.17,shMet,86,58,65,41,70,140,6.95E+12
3,FTLA size distribution,11.01.17,shScr,72.9,51,45,42,59.3,108,6.79E+12
3,size distribution,11.01.17,shScr,73,53,51,37,61,112,6.79E+12
3,FTLA size distribution,11.03.17,shMet,86.4,46,68.3,41,60.7,165,1.47E+12
3,size distribution,11.03.17,shMet,87,50,73,36,66,158,1.47E+12
3,FTLA size distribution,11.03.17,shScr,76,42,65.2,36,52,138,1.39E+12
3,size distribution,11.03.17,shScr,76,43,67,31,58,134,1.39E+12
3,FTLA size distribution,11.06.17,shMet,88.7,51,73.3,44,62,150,3.99E+12
3,size distribution,11.06.17,shMet,83,54,68,39,65,134,3.99E+12
3,FTLA size distribution,11.06.17,shScr,76.8,51,48,44,60,124,9.75E+12
3,size distribution,11.06.17,shScr,76,53,54,39,63,120,9.75E+12
3,FTLA size distribution,11.08.17,shMet,76.8,51,48,44,60,124,1.62E+12
3,size distribution,11.08.17,shMet,77,49,60,34,60,132,1.62E+12
3,FTLA size distribution,11.08.17,shScr,85.3,46,75.8,41,56.7,157,1.38E+12
3,size distribution,11.08.17,shScr,83,46,74,35,62,146,1.38E+12
3,FTLA size distribution,11.10.17,shMet,99.4,52,83.1,44,66.7,193,1.18E+12
3,size distribution,11.10.17,shMet,98,52,86,39,72,181,1.18E+12
3,FTLA size distribution,11.10.17,shScr,78,52,54.9,44,58.7,125,6.00E+11
3,size distribution,11.10.17,shScr,77,53,57,38,62,121,6.00E+11
3,FTLA size distribution,11.13.17,shMet,79.5,53,53.2,45,62.7,125,2.44E+12
3,size distribution,11.13.17,shMet,79,55,58,39,66,124,2.44E+12
3,FTLA size distribution,11.13.17,shScr,73.6,52,45.6,42,59.3,112,1.58E+12
3,size distribution,11.13.17,shScr,74,53,51,38,62,115,1.58E+12
3,FTLA size distribution,11.15.17,shMet,77.1,52,47,45,62.7,115,3.73E+12
3,size distribution,11.15.17,shMet,77,54,54,39,65,119,3.73E+12
3,FTLA size distribution,11.15.17,shScr,77.4,54,47.9,44,62.7,119,3.52E+12
3,size distribution,11.15.17,shScr,78,55,54,39,65,122,3.52E+12
3,FTLA size distribution,11.17.17,shMet,80,53,49.7,46,64,127,5.83E+12
3,size distribution,11.17.17,shMet,80,55,55,40,67,126,5.83E+12
3,FTLA size distribution,11.17.17,shScr,69.2,49,36.6,42,57.3,104,1.93E+12
3,size distribution,11.17.17,shScr,71,50,46,37,61,110,1.93E+12
