Type,Group,Value
Lung,Control,18700
Lung,Control,30300
Lung,Control,37400
Lung,Control,15600
Lung,Control,16700
Lung,Control,14500
Lung,Control,30500
Lung,F10shScr,61000
Lung,F10shScr,47100
Lung,F10shScr,46300
Lung,F10shScr,34000
Lung,F10shScr,32000
Lung,F10shScr,70000
Lung,F10shScr,65000
Lung,F10shMet,3970
Lung,F10shMet,19800
Lung,F10shMet,4000
Lung,F10shMet,24500
Lung,F10shMet,13400
Lung,F10shMet,20000
Lung,F10shMet,3000
Bone,Control,0
Bone,Control,0
Bone,Control,0
Bone,Control,0
Bone,Control,0
Bone,F10shScr,61000
Bone,F10shScr,15000
Bone,F10shScr,90000
Bone,F10shScr,45000
Bone,F10shScr,12300
Bone,F10shMet,0
Bone,F10shMet,0
Bone,F10shMet,0
Bone,F10shMet,0
Bone,F10shMet,0
