genotype,point,pop,gen,temp
n10,61.14872,n,one,24
n11,49.55156,n,one,24
n12,28.44438,n,one,24
n13,31.52173,n,one,24
n14,26.74497,n,one,24
n15,51.70181,n,one,24
n16,26.89989,n,one,24
n17,79.7773,n,one,24
n18,28.60689,n,one,24
n2,56.9697,n,one,24
n20,26.29059,n,one,24
n21,28.03643,n,one,24
n22,37.27216,n,one,24
n23,60.41694,n,one,24
n24,38.67806,n,one,24
n26,58.98579,n,one,24
n27,41.30679,n,one,24
n28,38.13215,n,one,24
n29,37.48601,n,one,24
n3,13.85623,n,one,24
n30,72.46201,n,one,24
n31,44.96411,n,one,24
n33,57.13968,n,one,24
n35,42.91488,n,one,24
n4,44.74919,n,one,24
n5,39.82079,n,one,24
n8,28.29639,n,one,24
s1,28.84087,s,one,24
s10,43.89563,s,one,24
s13,57.48363,s,one,24
s15,71.05128,s,one,24
s19,35.04732,s,one,24
s2,26.01089,s,one,24
s20,41.49846,s,one,24
s27,70.96927,s,one,24
s28,35.55809,s,one,24
s30,32.40744,s,one,24
s31,20.77294,s,one,24
s37,58.47446,s,one,24
s38,52.30573,s,one,24
s39,21.38031,s,one,24
s4,30.82308,s,one,24
s41,27.59627,s,one,24
s9,42.04455,s,one,24
n10,30.89086,n,two,24
n11,33.83478,n,two,24
n12,23.57904,n,two,24
n13,33.96984,n,two,24
n14,47.78485,n,two,24
n15,30.73745,n,two,24
n16,23.8143,n,two,24
n17,28.76216,n,two,24
n18,31.06237,n,two,24
n2,25.42477,n,two,24
n20,25.83891,n,two,24
n21,31.74429,n,two,24
n22,38.85838,n,two,24
n23,32.49298,n,two,24
n24,26.29003,n,two,24
n26,27.79553,n,two,24
n27,31.24758,n,two,24
n28,27.95776,n,two,24
n30,45.36922,n,two,24
n31,30.7145,n,two,24
n35,39.05171,n,two,24
n4,31.56026,n,two,24
n5,22.15414,n,two,24
n8,25.21532,n,two,24
s1,29.86859,s,two,24
s10,33.01758,s,two,24
s13,53.39503,s,two,24
s15,34.55126,s,two,24
s17,30.96556,s,two,24
s20,59.13119,s,two,24
s24,59.38516,s,two,24
s27,60.59719,s,two,24
s28,41.37106,s,two,24
s31,71.91526,s,two,24
s37,30.52355,s,two,24
s38,57.35486,s,two,24
s39,43.76827,s,two,24
s4,56.47283,s,two,24
s41,71.68317,s,two,24
s9,49.75334,s,two,24
n10,84.38906,n,one,35
n11,56.58624,n,one,35
n14,69.02596,n,one,35
n15,87.65106,n,one,35
n16,67.902,n,one,35
n17,92.98085,n,one,35
n18,71.3182,n,one,35
n2,55.29696,n,one,35
n20,69.29484,n,one,35
n21,76.743,n,one,35
n22,61.59216,n,one,35
n23,82.66927,n,one,35
n24,70.90024,n,one,35
n27,69.80916,n,one,35
n28,58.60326,n,one,35
n29,65.24879,n,one,35
n3,55.00604,n,one,35
n30,95.49339,n,one,35
n31,66.82676,n,one,35
n33,68.98108,n,one,35
n34,75.24393,n,one,35
n4,62.0592,n,one,35
n5,67.51714,n,one,35
n9,54.15559,n,one,35
s1,81.29324,s,one,35
s10,65.34155,s,one,35
s11,68.10299,s,one,35
s13,58.57543,s,one,35
s15,71.02715,s,one,35
s18,75.93206,s,one,35
s19,73.81547,s,one,35
s2,94.81166,s,one,35
s20,62.64216,s,one,35
s23,82.30613,s,one,35
s24,85.93702,s,one,35
s25,71.96818,s,one,35
s27,79.12094,s,one,35
s30,58.07059,s,one,35
s31,63.28996,s,one,35
s36,76.12688,s,one,35
s37,69.98117,s,one,35
s38,71.80857,s,one,35
s39,64.18019,s,one,35
s4,61.16939,s,one,35
s8,71.11434,s,one,35
s9,54.74024,s,one,35
n10,30.36287,n,two,35
n11,44.0062,n,two,35
n12,50.97309,n,two,35
n13,25.02555,n,two,35
n14,35.10447,n,two,35
n15,31.8346,n,two,35
n16,54.13774,n,two,35
n17,26.2935,n,two,35
n19,36.32192,n,two,35
n20,34.11356,n,two,35
n21,33.22169,n,two,35
n22,37.11009,n,two,35
n23,16.70568,n,two,35
n24,37.84938,n,two,35
n27,38.53675,n,two,35
n28,38.37492,n,two,35
n29,39.84907,n,two,35
n3,41.0386,n,two,35
n30,29.55501,n,two,35
n31,36.97618,n,two,35
n32,27.78485,n,two,35
n33,28.82301,n,two,35
n34,45.73363,n,two,35
n35,44.15014,n,two,35
n4,37.36102,n,two,35
n5,24.18551,n,two,35
n8,40.46665,n,two,35
n9,47.43878,n,two,35
s1,38.54087,s,two,35
s10,52.88744,s,two,35
s11,47.01105,s,two,35
s13,33.60926,s,two,35
s15,53.82678,s,two,35
s18,38.3359,s,two,35
s19,39.60334,s,two,35
s2,53.29189,s,two,35
s20,55.29564,s,two,35
s22,34.68936,s,two,35
s23,24.26734,s,two,35
s25,29.60523,s,two,35
s27,25.35043,s,two,35
s28,60.12998,s,two,35
s30,57.76491,s,two,35
s31,47.53929,s,two,35
s36,29.57197,s,two,35
s38,40.5056,s,two,35
s39,43.62882,s,two,35
s4,31.23798,s,two,35
s8,28.51915,s,two,35
s9,33.03132,s,two,35
