genotype,sla,Photo,Cond,wue,pop
FLR1,18.35164835,11.76550679,0.095360013,123.3798782,FLR
FLR10,21.56756757,9.790767852,0.105920136,92.43537841,FLR
FLR11,23.6,10.9871827,0.079763897,137.7463127,FLR
FLR13,20.50793651,13.5965968,0.157619431,86.2621868,FLR
FLR15,25.97785978,11.75002127,0.082600554,142.2511194,FLR
FLR18,24.34306569,12.93420245,0.1141195,113.339109,FLR
FLR19,21.26470588,12.71771697,0.108316656,117.4123855,FLR
FLR2,24.72154964,8.175444887,0.075764042,107.9066622,FLR
FLR20,32.22222222,7.9146972,0.089397153,88.53410802,FLR
FLR22,23.81632653,15.12799779,0.175061706,86.41523115,FLR
FLR23,22.74678112,5.865437256,0.051704442,113.4416508,FLR
FLR24,NA,NA,NA,NA,FLR
FLR25,22.39168111,17.55277611,0.27144642,64.66387035,FLR
FLR27,25.41760722,12.2944114,0.102349036,120.1223957,FLR
FLR28,24.34615385,5.005921493,0.038594947,129.7040644,FLR
FLR30,21.56097561,13.71313904,0.406561037,33.7295948,FLR
FLR31,19.17266187,17.91069405,0.143066294,125.1915706,FLR
FLR36,29.20118343,19.16461091,0.164471811,116.5221614,FLR
FLR37,NA,NA,NA,NA,FLR
FLR38,23.14814815,22.02884901,0.275868604,79.85268599,FLR
FLR39,24.54545455,7.75385387,0.063530234,122.0498239,FLR
FLR4,27.31372549,14.4222133,0.110382054,130.6572289,FLR
FLR41,NA,NA,NA,NA,FLR
FLR8,23.6097561,18.48096958,0.129797835,142.382726,FLR
FLR9,22.98029557,12.78975713,0.094442562,135.4236571,FLR
NOR10,23.59934853,10.62991873,0.071753105,148.1457664,NOR
NOR11,22.99168975,30.15885679,0.823177779,36.63711237,NOR
NOR12,17.72916667,24.05660132,0.696882217,34.52032601,NOR
NOR13,17.61526232,25.38142304,0.283860504,89.41512709,NOR
NOR14,23.31707317,21.46659762,0.231168846,92.86111858,NOR
NOR15,20.98173516,12.94900364,0.139082995,93.10270921,NOR
NOR16,18.03125,9.892641877,0.085190328,116.1240027,NOR
NOR17,28.42105263,12.03039786,0.087358251,137.7133553,NOR
NOR18,23.5745614,NA,NA,NA,NOR
NOR2,NA,NA,NA,NA,NOR
NOR20,22.15789474,16.7428084,0.125412792,133.5016001,NOR
NOR21,26.525,8.958412987,0.059931724,149.476978,NOR
NOR22,24.11428571,12.33281653,0.092405839,133.4636065,NOR
NOR23,25.76363636,6.460706472,0.040774463,158.4498237,NOR
NOR24,25.07317073,15.22255459,0.128431799,118.5263674,NOR
NOR26,NA,NA,NA,NA,NOR
NOR27,22.95081967,9.61313856,0.075652881,127.0690347,NOR
NOR28,23.1509434,8.56562519,0.056521855,151.5453658,NOR
NOR29,22.92387543,14.62097986,0.207178031,70.57205723,NOR
NOR3,22.5698324,16.7463695,0.301540383,55.53607558,NOR
NOR30,22.52019386,18.69699663,0.270550787,69.10716039,NOR
NOR31,23.92592593,3.47312801,0.048981601,70.90678824,NOR
NOR32,22.25,10.96263628,0.080084794,136.8878626,NOR
NOR33,28.820059,17.7522891,0.454196947,39.08500314,NOR
NOR34,19.12941176,16.58206521,0.148430075,111.7163433,NOR
NOR35,31.07769424,11.31625989,0.126013319,89.80209378,NOR
NOR4,24.35435435,15.59734686,0.416873274,37.41507991,NOR
NOR5,22.87292818,14.1770041,0.107228714,132.2127588,NOR
NOR8,22.10526316,18.07759474,0.323742646,55.83939887,NOR
NOR9,20.95652174,16.30976531,0.163125152,99.98314245,NOR
FLR31b,NA,NA,NA,NA,FLR
NOR19,NA,16.50459203,0.165871342,99.50237233,NOR
