event,plant,photo,CO2
Event 1,46,20.92736529,400
Event 1,46,20.92736529,400
Event 1,46,20.92736529,400
Event 1,46,20.92736529,400
Event 1,46,20.92736529,400
Event 1,34,22.53642875,400
Event 1,34,22.53642875,400
Event 1,34,22.53642875,400
Event 1,34,22.53642875,400
Event 1,34,22.53642875,400
Event 1,17,22.53642875,400
Event 1,17,22.53642875,400
Event 1,17,29.09399762,400
Event 1,17,28.94960014,400
Event 1,17,28.97970739,400
Event 1,1,29.77088928,400
Event 1,1,29.77088928,400
Event 1,1,29.77088928,400
Event 1,1,29.77088928,400
Event 1,1,29.77088928,400
Event 1,37,26.90862304,400
Event 1,37,26.96309285,400
Event 1,37,26.93986507,400
Event 1,37,26.98696276,400
Event 1,37,27.01423297,400
Event 1,18,23.60784155,400
Event 1,18,23.66594475,400
Event 1,18,23.79990685,400
Event 1,18,23.93365585,400
Event 1,18,23.84319788,400
Event 1,42,23.00222837,400
Event 1,42,22.89613089,400
Event 1,42,22.80995472,400
Event 1,42,22.8445723,400
Event 1,42,22.93725462,400
Event 1,38,29.50861747,400
Event 1,38,29.45861591,400
Event 1,38,29.47827587,400
Event 1,38,29.42171275,400
Event 1,38,29.37698059,400
Event 1,171,16.26523293,400
Event 1,171,16.23077061,400
Event 1,171,16.18048724,400
Event 1,171,16.35840039,400
Event 1,171,16.37434553,400
Event 1,33,30.69379424,400
Event 1,33,30.70498358,400
Event 1,33,30.72790697,400
Event 1,33,30.73217,400
Event 1,33,30.73977541,400
Event 1,94,28.98623487,640
Event 1,94,28.94746,640
Event 1,94,28.8972813,640
Event 1,94,29.01933532,640
Event 1,94,29.06519021,640
Event 1,124,24.80622823,640
Event 1,124,24.84445338,640
Event 1,124,24.93947005,640
Event 1,124,24.96233374,640
Event 1,124,24.96641367,640
Event 1,56,23.58169811,640
Event 1,56,23.48548156,640
Event 1,56,23.36247245,640
Event 1,56,23.4956987,640
Event 1,56,23.68531418,640
Event 1,93,30.45070633,640
Event 1,93,30.49098809,640
Event 1,93,30.50687445,640
Event 1,93,30.56677034,640
Event 1,93,30.47774138,640
Event 1,51,27.28820019,640
Event 1,51,27.22704398,640
Event 1,51,27.30739253,640
Event 1,51,27.30751604,640
Event 1,51,27.28192316,640
Event 1,73,29.21253374,640
Event 1,73,29.32324335,640
Event 1,73,29.35037965,640
Event 1,73,29.49412885,640
Event 1,73,29.47087876,640
Event 1,83,32.8715193,640
Event 1,83,32.96666358,640
Event 1,83,32.93203292,640
Event 1,83,32.87120922,640
Event 1,83,32.86412002,640
Event 1,30,19.00026259,400
Event 1,30,19.08996192,400
Event 1,30,19.09779482,400
Event 1,30,19.12051799,400
Event 1,30,19.10491793,400
Event 1,15,23.39536139,400
Event 1,15,23.39815078,400
Event 1,15,23.39862529,400
Event 1,15,23.48954804,400
Event 1,15,23.54973665,400
Event 1,2,18.39748992,400
Event 1,2,18.28902006,400
Event 1,2,18.28602044,400
Event 1,2,18.15728067,400
Event 1,2,18.04828858,400
Event 1,156,13.57549955,400
Event 1,156,13.50787393,400
Event 1,156,13.50403645,400
Event 1,156,13.46649557,400
Event 1,156,13.56780565,400
Event 1,178,17.0178458,400
Event 1,178,17.09951436,400
Event 1,178,17.05089642,400
Event 1,178,16.94027877,400
Event 1,178,17.05240202,400
Event 1,28,12.33663575,400
Event 1,28,12.2388783,400
Event 1,28,12.25863506,400
Event 1,28,12.22567404,400
Event 1,28,12.25863036,400
Event 1,12,23.00280863,400
Event 1,12,22.95726824,400
Event 1,12,22.97364873,400
Event 1,12,22.9630227,400
