plant,silicon
105,2.185666667
1,3.770333333
38,1.178666667
2,3.018666667
89,0.929333333
109,3.257333333
25,2.064333333
42,1.500666667
164,2.991666667
91,1.644666667
28,4.72
115,3.221666667
178,2.738
73,0.859666667
12,2.8
56,2.824666667
70,3.329
26,2.004333333
30,3.794
94,1.254666667
76,2.708
46,0.705333333
189,1.066666667
171,1.437666667
77,2.180333333
86,1.782666667
13,3.745666667
71,2.696333333
156,1.62
183,3.163333333
147,3.340666667
15,0.662333333
93,1.318
17,0.986
37,0.419666667
92,1.323333333
191,1.864333333
83,0.808333333
124,3.129666667
131,2.872
51,1.398666667
33,0.796333333
130,1.175
113,1.438333333
58,0.585666667
18,1.513
122,3.617666667
151,1.638
154,1.036
102,1.977
34,1.489666667
55,0.777
179,0.679
111,1.039333333
163,1.729333333
