plant ,silicon
102,1.558666667
51,0.967
34,0.253666667
154,0.426
164,0.918333333
115,1.237
33,0.588
1,2.244
122,0.899666667
2,0.856
46,0.697
91,0.425666667
151,1.574666667
67,2.294
25,1.921
28,1.158333333
189,0.378333333
12,0.526333333
86,0.93
183,0.586
178,0.360666667
73,1.139666667
92,0.679333333
55,1.026333333
13,0.835333333
105,0.619666667
179,1.175666667
37,0.733666667
147,1.161333333
113,1.201333333
191,0.816
26,0.973
70,1.958333333
93,0.305333333
56,1.428
83,0.744
77,1.987
94,0.365666667
130,1.501666667
171,0.847666667
109,0.744333333
58,1.183
17,1.219
124,1.072
30,1.410333333
38,2.439
15,0.894
71,1.239
131,1.266333333
156,1.109666667
18,2.046666667
89,1.039
11,0.412333333
163,2.104333333
