Treatment;Fruit;Alive;Parasitized
Releases_sugar;1;4;8
Releases_sugar;2;0;3
Releases_sugar;3;4;3
Releases_sugar;4;2;2
Releases_sugar;5;1;1
Releases_sugar;6;2;1
Releases_sugar;7;5;5
Releases_sugar;8;3;4
Releases_sugar;9;5;2
Releases_sugar;10;1;1
Releases_sugar;11;6;1
Releases_sugar;12;1;0
Releases_sugar;13;7;11
Releases_sugar;14;6;8
Releases_sugar;15;8;6
Releases_sugar;16;1;2
Releases_sugar;17;0;1
Releases_sugar;18;5;1
Releases_sugar;19;1;0
Releases_sugar;20;2;0
Releases_sugar;21;5;0
Releases_sugar;22;6;0
Releases_sugar;23;4;2
Releases_sugar;24;6;2
Releases_sugar;25;1;1
Releases_sugar;26;4;1
Releases_sugar;27;1;0
Releases_sugar;28;2;0
Releases_sugar;29;17;8
Releases_sugar;30;17;3
Releases_sugar;31;10;2
Releases_sugar;32;3;1
Releases_sugar;33;2;0
Releases_sugar;34;2;0
Releases_sugar;35;5;0
Releases_sugar;36;6;5
Releases_sugar;37;3;2
Releases_sugar;38;4;2
Releases_sugar;39;3;1
Releases_sugar;40;4;1
Releases_sugar;41;4;1
Releases_sugar;42;6;0
Releases_sugar;43;1;1
Releases_sugar;44;1;1
Releases_sugar;45;1;0
Releases_sugar;46;1;0
Releases_sugar;47;2;0
Releases_sugar;48;19;23
Releases_sugar;49;3;9
Releases_sugar;50;12;9
Releases_sugar;51;4;5
Releases_sugar;52;1;0
Releases_sugar;53;11;4
Releases_sugar;54;8;3
Releases_sugar;55;14;2
Releases_sugar;56;4;1
Releases_sugar;57;14;1
Releases_sugar;58;2;0
Releases_sugar;59;20;11
Releases_sugar;60;3;7
Releases_sugar;61;2;6
Releases_sugar;62;23;5
Releases_sugar;63;4;3
Releases_sugar;64;2;2
Releases_sugar;65;5;0
Releases_sugar;66;7;0
Control;1;3;3
Control;2;0;1
Control;3;4;1
Control;4;5;1
Control;5;1;0
Control;6;1;0
Control;7;3;0
Control;8;2;2
Control;9;2;2
Control;10;2;2
Control;11;13;2
Control;12;2;0
Control;13;24;15
Control;14;37;13
Control;15;15;6
Control;16;30;0
Control;17;3;1
Control;18;2;0
Control;19;2;0
Control;20;3;0
Control;21;5;0
Control;22;2;2
Control;23;1;0
Control;24;1;0
Control;25;3;0
Control;26;4;0
Control;27;34;5
Control;28;4;1
Control;29;7;1
Control;30;1;0
Control;31;2;0
Control;32;3;4
Control;33;2;3
Control;34;1;2
Control;35;5;2
Control;36;2;1
Control;37;3;1
Control;38;1;0
Control;39;1;0
Control;40;3;2
Control;41;3;0
Control;42;0;1
Control;43;3;1
Control;44;8;3
Control;45;3;1
Control;46;11;1
Control;47;2;0
Control;48;3;0
Control;49;3;0
Control;50;4;0
Control;51;3;1
Control;52;3;1
Control;53;1;0
Control;54;1;0
Control;55;3;0
Control;56;9;0
Control;57;2;1
Control;58;3;1
Control;59;4;1
Control;60;11;1
Control;61;2;0
Control;62;3;0
Control;63;6;0
Releases;1;2;5
Releases;2;4;3
Releases;3;3;2
Releases;4;2;1
Releases;5;2;1
Releases;6;1;0
Releases;7;0;6
Releases;8;13;5
Releases;9;20;4
Releases;10;3;3
Releases;11;3;1
Releases;12;4;1
Releases;13;5;0
Releases;14;7;0
Releases;15;4;2
Releases;16;7;2
Releases;17;0;1
Releases;18;7;1
Releases;19;1;0
Releases;20;1;0
Releases;21;2;0
Releases;22;3;0
Releases;23;9;6
Releases;24;1;0
Releases;25;1;0
Releases;26;2;0
Releases;27;2;0
Releases;28;2;0
Releases;29;2;0
Releases;30;4;1
Releases;31;4;1
Releases;32;6;1
Releases;33;9;1
Releases;34;2;0
Releases;35;7;0
Releases;36;37;3
Releases;37;17;3
Releases;38;1;2
Releases;39;2;1
Releases;40;4;1
Releases;41;3;0
Releases;42;1;2
Releases;43;0;1
Releases;44;1;0
Releases;45;1;0
Releases;46;1;0
Releases;47;2;0
Releases;48;2;1
Releases;49;2;0
Releases;50;2;0
Releases;51;2;0
Releases;52;2;1
Releases;53;5;1
Releases;54;2;0
Releases;55;1;3
Releases;56;0;1
Releases;57;1;1
Releases;58;2;1
Releases;59;2;0
Releases;60;11;8
Releases;61;12;6
Releases;62;6;5
Releases;63;2;2
Releases;64;2;2
Releases;65;1;1
Releases;66;2;0
Releases;67;2;0
