Temp	CO2	ID	Skeletal_L	Arm_L	Perpendicular_L	Size	Family	Resp
13	400	13-L-11	0.32875	0.140637333	0.24590825	0.24590825	F11	7.5
13	400	13-L-12	0.339	0.155736417	0.255867417	0.255867417	F12	7.2
13	400	13-L-13	0.32175	0.1360094	0.2426672	0.2426672	NA	NA
13	400	13-L-14	0.28585	0.1261886	0.2185618	0.2185618	F14	7.4
13	400	13-L-15	0.31255	NA	NA	NA	F15	8.9
13	400	13-L-16	0.32545	NA	NA	NA	F16	10.7
13	400	13-L-17	0.3116	NA	NA	NA	NA	NA
13	400	13-L-18	0.318	NA	NA	NA	F18	7.7
13	1100	13-H-11	0.28485	0.114970846	0.217520231	0.217520231	F11	8
13	1100	13-H-12	0.2978	0.1230499	0.2213978	0.2213978	F12	7
13	1100	13-H-13	0.29555	0.1194018	0.2293328	0.2293328	NA	NA
13	1100	13-H-14	0.28145	0.124640643	0.211821	0.211821	F14	8.3
13	1100	13-H-15	0.29375	NA	NA	NA	F15	7
13	1100	13-H-16	0.30465	NA	NA	NA	F16	7.2
13	1100	13-H-17	0.286	NA	NA	NA	NA	NA
13	1100	13-H-18	0.2851	NA	NA	NA	F18	10
18	400	18-L-11	0.32775	0.144836063	0.235061875	0.235061875	F11	15.6
18	400	18-L-12	0.33145	0.154533059	0.235034882	0.235034882	F12	11.3
18	400	18-L-13	0.3155	NA	NA	NA	NA	NA
18	400	18-L-14	0.32885	0.147331857	0.236714679	0.236714679	F14	11.2
18	400	18-L-15	0.27825	0.103220636	0.211578909	0.211578909	F15	10.8
18	400	18-L-16	0.3363	NA	NA	NA	F16	11.5
18	400	18-L-17	0.31935	NA	NA	NA	NA	NA
18	400	18-L-18	0.3262	0.135884111	0.249145944	0.249145944	F18	16.06
18	1100	18-H-11	0.2902	0.110518636	0.214110727	0.214110727	F11	8.9
18	1100	18-H-12	0.30305	0.123452364	0.222177091	0.222177091	F12	10.3
18	1100	18-H-13	0.2916	NA	NA	NA	NA	NA
18	1100	18-H-14	0.29315	0.122894571	0.220793	0.220793	F14	7.7
18	1100	18-H-15	0.27705	0.113283613	0.214809462	0.214809462	F15	10.2
18	1100	18-H-16	0.29705	0.120553429	0.227689286	0.227689286	F16	13.05
18	1100	18-H-17	0.258947368	NA	NA	NA	NA	NA
18	1100	18-H-18	0.28785	0.116274636	0.224922636	0.224922636	F18	8.3
