lifespan	treatment	value
621	control	1
865	control	1
298	control	1
808	control	1
841	control	1
343	control	1
644	control	1
858	control	1
316	control	1
854	control	1
684	control	1
279	control	1
602	control	1
215	control	1
378	control	1
275	control	1
652	control	1
462	control	1
482	control	1
576	control	1
584	control	1
386	control	1
1004	control	1
271	control	1
237	control	1
238	control	1
191	control	1
169	control	1
137	control	1
200	control	1
859	control	1
665	control	1
941	control	1
506	control	1
495	control	1
634	control	1
305	control	1
390	control	1
462	control	1
306	control	1
412	control	1
337	control	1
981	control	1
240	control	1
477	control	1
222	control	1
710	control	1
739	control	1
608	control	1
259	control	1
759	control	1
596	control	1
388	control	1
300	control	1
623	control	1
506	control	1
583	vitamin_E	1
561	vitamin_E	1
418	vitamin_E	1
561	vitamin_E	1
487	vitamin_E	1
445	vitamin_E	1
530	vitamin_E	1
578	vitamin_E	1
256	vitamin_E	1
347	vitamin_E	1
194	vitamin_E	1
330	vitamin_E	1
183	vitamin_E	1
185	vitamin_E	1
309	vitamin_E	1
281	vitamin_E	1
424	vitamin_E	1
548	vitamin_E	1
317	vitamin_E	1
535	vitamin_E	1
611	vitamin_E	1
315	vitamin_C	1
157	vitamin_C	1
634	vitamin_C	1
563	vitamin_C	1
507	vitamin_C	1
529	vitamin_C	1
182	vitamin_C	1
255	vitamin_C	1
501	vitamin_C	1
353	vitamin_C	1
388	vitamin_C	1
155	vitamin_C	1
287	vitamin_C	1
254	vitamin_C	1
523	vitamin_C	1
462	vitamin_C	1
611	vitamin_C	1
351	vitamin_C	1
351	vitamin_C	1
