Treatment,Nest ID,No. workers,0,1,2,3,4,5,6,7,8,,Workers left,Males,New queens,Total unhatched pupae,Queen pupae,Empty cells
Control,C1,13,712.95,748.3,800.57,865,966,997,850,791,775,,2,0,1,NA,NA,NA
Control,C2,14,719.58,750,789.25,822,812,846,827,820,802,,6,15,0,20,0,120
Control,C3,17,704.92,736.31,767.99,837,976,1117,1050,866,808,,1,0,9,NA,NA,NA
Control,C4,20,726.42,763.31,795.6,813,801,784,,,,,0,0,0,12,0,72
Control,C5,28,740.6,785.52,808.42,837,871,906,886,807,775,,3,0,0,NA,NA,NA
Control,C6,15,727.1,751.9,774.8,807,847,859,827,,,,0,0,0,118,20,132
Control,C7,34,690.11,744.52,808.7,923,1034,1078,1031,930,817,,33,40,45,118,8,377
Control,C8,15,736.16,786.83,844.55,909,1029,1163,1105,982,964,,44,10,0,NA,NA,NA
Control,C9,14,710.33,746.89,775.79,794,870,938,941,934,896,,13,11,6,47,4,185
Control,C10,24,724.87,787.91,837.29,887,1179,1344,1344,1281,1196,,6,0,133,20,0,NA
Control,C11,18,736.61,784.6,817.62,864,936,1014,1049,1043,1003,,22,15,15,112,13,187
Control,C12,10,592.01,622.8,649.77,694,733,765,738,669,,,0,0,0,NA,NA,NA
Control,C13,18,738.15,784.7,833.02,902,1041,1089,1029,978,903,,17,0,3,NA,NA,NA
Control,C14,19,752.93,788.6,811.6,877,1000,1094,1125,1076,1018,,7,9,40,NA,NA,NA
Control,C15,15,721.28,751.61,768.3,807,786,784,,,,,0,0,0,19,0,87
Control,C16,12,740.35,773.81,803.24,817,874,946,1053,1072,975,,24,7,15,NA,NA,NA
Control,C17,17,580.74,612,630.91,672,743,814,785,740,685,,3,13,0,2,0,158
Control,C18,31,599.83,650.33,665.64,695,724,708,710,677,,,5,3,0,57,0,118
Control,C19,20,611.68,655.14,670.36,753,887,1003,1030,956,856,,15,18,21,156,1,228
Control,C20,19,729.36,784.75,825.72,875,965,1014,975,915,866,,8,6,0,10,0,158
Control,C21,10,731.42,753.57,786.42,841,923,983,935,902,865,,2,1,0,NA,0,NA
Control,C22,21,626.77,681.5,730.01,837,974,1119,1132,1077,1015,,32,8,0,11,0,250
Control,C23,12,726.28,758.57,805.41,892,1010,1098,1039,975,891,,7,6,13,41,1,205
Control,C24,18,715.31,748.52,802.07,903,1028,1144,1193,1173,1087,,46,17,41,16,5,NA
Control,C25,8,617.07,640.05,641.74,608,667,720,694,660,608,,7,1,1,2,0,NA
Low,L1,20,701.34,742.73,780.6,857,908,897,850,832,796,,0,3,0,6,0,205
Low,L2,14,735.36,781.18,829.36,907,988,999,965,927,,,4,2,0,65,0,142
Low,L3,12,700.64,718.76,732.2,725,729,733,,,,,0,0,0,0,0,39
Low,L4,16,700.58,743.96,782.06,803,787,764,723,697,,,4,0,0,10,NA,42
Low,L5,22,731.53,777.11,802.1,841,910,956,894,799,779,,18,0,0,NA,NA,NA
Low,L6,17,672.19,717.13,756.34,811,915,996,934,853,803,,6,9,0,72,0,281
Low,L7,26,584.9,630.45,677.65,774,839,856,770,712,,,1,1,0,NA,NA,NA
Low,L8,20,747.32,787.83,833.01,893,933,924,897,863,831,,1,10,0,8,0,179
Low,L9,17,734.32,778.55,821.54,863,968,1022,997,888,827,,3,3,0,NA,NA,NA
Low,L10,18,719.18,745.74,767.83,790,817,856,836,785,,,9,2,0,NA,NA,NA
Low,L11,21,719.45,760.68,819.06,911,1022,1034,910,845,820,,14,5,0,NA,NA,NA
Low,L12,17,699.2,735.64,763.52,817,883,934,885,796,,,6,0,0,NA,NA,NA
Low,L13,15,729.2,764.3,787.16,830,892,1022,1055,1047,1006,,26,4,16,NA,NA,NA
Low,L14,15,729.3,774.8,839.01,909,1063,1161,1124,1055,914,,11,6,0,NA,NA,NA
Low,L15,11,749.25,797.92,857.35,907,1042,1101,1019,971,923,,2,9,0,57,0,252
Low,L16,13,604.22,626.98,668.7,700,778,793,740,667,646,,3,0,0,NA,NA,NA
Low,L17,7,592.19,613,628.99,677,757,869,921,922,856,,16,14,21,NA,NA,NA
Low,L18,15,736.48,773.93,821.56,858,953,975,896,820,797,,9,0,0,NA,NA,NA
Low,L19,11,717.59,742.34,770.45,806,878,890,803,756,746,,12,0,0,NA,NA,NA
Low,L20,13,728.07,757.3,810.11,844,920,986,992,971,909,,3,10,0,1,0,133
Low,L21,17,577.98,603.64,615.13,632,647,684,705,708,677,,18,14,0,6,0,81
Low,L22,6,751.91,770.19,780.21,822,854,950,1027,1014,937,,32,13,13,30,1,202
Low,L23,16,598.76,632.72,644.55,689,753,789,757,728,688,,5,11,0,103,0,185
Low,L24,9,716.07,718.43,723.48,676,680,711,706,745,760,,49,1,0,56,0,88
Low,L25,10,620.99,634.62,644.54,639,,,,,,,21,0,0,12,0,11
High,H1,19,706.36,740.9,804.97,927,1029,1059,997,950,860,,0,8,8,26,0,130
High,H2,25,710.48,751.15,801.83,816,871,897,867,856,832,,11,22,0,19,NA,149
High,H3,30,682.32,711.9,757.4,803,975,1045,1026,951,892,,5,38,4,75,0,202
High,H4,13,740.09,768.12,796.89,829,912,977,969,938,890,,11,17,0,32,0,154
High,H5,17,703.75,732.9,761.73,772,808,833,810,810,790,,9,11,0,3,0,76
High,H6,15,718.15,745.97,767.63,799,828,898,923,928,884,,27,22,0,8,1,160
High,H7,6,739.73,755.9,763.27,790,795,829,835,841,809,,4,18,0,22,2,65
High,H8,17,708.15,739.95,774.82,778,792,796,780,762,,,14,8,0,54,1,166
High,H9,15,592.9,611.91,633.57,645,704,743,729,700,676,,4,0,1,8,2,NA
High,H10,18,529.67,564.7,605.69,663,677,699,679,599,,,5,0,4,NA,NA,NA
High,H11,5,614.07,640.88,647.05,674,690,747,740,720,693,,4,11,0,47,5,106
High,H12,17,711.92,754.5,785.66,878,951,1001,960,888,822,,18,1,6,NA,NA,NA
