activity treatment glucose_uptake donor t.by.a m0_res m1_fit m0_fit m0_random m0_random2 m1_res
Basal Scr 1.089994 donor_1 Scr Basal -0.250658499999999 1.01081153674104 1.3406525 1.089994 1.089994 0.0791824632589599
Basal Scr 0.859006 donor_2 Scr Basal -0.4816465 1.02682591659535 1.3406525 0.859006 0.859006 -0.167819916595351
Basal Scr 1.110152 donor_3 Scr Basal -0.2305005 1.16388955900251 1.3406525 1.110152 1.110152 -0.0537375590025087
Basal Scr 1.744433 donor_4 Scr Basal 0.4037805 1.7949347204582 1.3406525 1.744433 1.744433 -0.0505017204581986
Basal Scr 1.893821 donor_5 Scr Basal 0.5531685 1.75260823703988 1.3406525 1.893821 1.893821 0.141212762960125
Basal Scr 1.346509 donor_6 Scr Basal 0.00585649999999976 1.29484503016303 1.3406525 1.346509 1.346509 0.0516639698369707
EPS Scr 1.121136 donor_1 Scr EPS -0.370522333333333 1.16181737007437 1.49165833333333 1.121136 1.121136 -0.0406813700743733
EPS Scr 1.183209 donor_2 Scr EPS -0.308449333333333 1.17783174992868 1.49165833333333 1.183209 1.183209 0.00537725007131606
EPS Scr 1.282346 donor_3 Scr EPS -0.209312333333333 1.31489539233584 1.49165833333333 1.282346 1.282346 -0.032549392335842
EPS Scr 1.859656 donor_4 Scr EPS 0.367997666666667 1.94594055379153 1.49165833333333 1.859656 1.859656 -0.0862845537915318
EPS Scr 2.023783 donor_5 Scr EPS 0.532124666666667 1.90361407037321 1.49165833333333 2.023783 2.023783 0.120168929626791
EPS Scr 1.47982 donor_6 Scr EPS -0.0118383333333334 1.44585086349636 1.49165833333333 1.47982 1.47982 0.0339691365036374
Basal siNR4A3 1.020414 donor_1 siNR4A3 Basal -0.401552 1.09212503674104 1.421966 1.020414 1.020414 -0.0717110367410396
Basal siNR4A3 1.191515 donor_2 siNR4A3 Basal -0.230451 1.10813941659535 1.421966 1.191515 1.191515 0.0833755834046499
Basal siNR4A3 1.374963 donor_3 siNR4A3 Basal -0.047003 1.24520305900251 1.421966 1.374963 1.374963 0.129759940997492
Basal siNR4A3 2.014404 donor_4 siNR4A3 Basal 0.592438 1.8762482204582 1.421966 2.014404 2.014404 0.138155779541802
Basal siNR4A3 1.596719 donor_5 siNR4A3 Basal 0.174753 1.83392173703988 1.421966 1.596719 1.596719 -0.237202737039875
Basal siNR4A3 1.333781 donor_6 siNR4A3 Basal -0.0881849999999999 1.37615853016303 1.421966 1.333781 1.333781 -0.0423775301630287
EPS siNR4A3 0.973864 donor_1 siNR4A3 EPS -0.331964 0.97598703674104 1.305828 0.973864 0.973864 -0.00212303674103975
EPS siNR4A3 1.037451 donor_2 siNR4A3 EPS -0.268377 0.99200141659535 1.305828 1.037451 1.037451 0.0454495834046496
EPS siNR4A3 1.066657 donor_3 siNR4A3 EPS -0.239171 1.12906505900251 1.305828 1.066657 1.066657 -0.0624080590025085
EPS siNR4A3 1.807404 donor_4 siNR4A3 EPS 0.501576 1.7601102204582 1.305828 1.807404 1.807404 0.0472937795418018
EPS siNR4A3 1.737734 donor_5 siNR4A3 EPS 0.431906 1.71778373703988 1.305828 1.737734 1.737734 0.0199502629601247
EPS siNR4A3 1.211858 donor_6 siNR4A3 EPS -0.0939699999999998 1.26002053016303 1.305828 1.211858 1.211858 -0.0481625301630288
