Image,lmX1,lmY1,lmX2,lmY2,Spliner,Species,Sex,Scale,cp1X1,cp1Y1,cp1X2,cp1Y2,cp1X3,cp1Y3,cp1X4,cp1Y4,cp1X5,cp1Y5,cp1X6,cp1Y6,cp1X7,cp1Y7,cp1X8,cp1Y8,cp1X9,cp1Y9,cp1X10,cp1Y10,cp1X11,cp1Y11,cp2X1,cp2Y1,cp2X2,cp2Y2,cp2X3,cp2Y3,cp2X4,cp2Y4,cp2X5,cp2Y5,cp3X1,cp3Y1,cp3X2,cp3Y2,cp3X3,cp3Y3,cp3X4,cp3Y4,cp3X5,cp3Y5,cp3X6,cp3Y6,cp3X7,cp3Y7,cp3X8,cp3Y8,cp4X1,cp4Y1,cp4X2,cp4Y2,cp4X3,cp4Y3,cp4X4,cp4Y4,cp4X5,cp4Y5,cp4X6,cp4Y6,cp4X7,cp4Y7,cp4X8,cp4Y8,cp5X1,cp5Y1,cp5X2,cp5Y2,cp5X3,cp5Y3,cp5X4,cp5Y4,cp5X5,cp5Y5,cp6X1,cp6Y1,cp6X2,cp6Y2,cp6X3,cp6Y3,cp7X1,cp7Y1,cp7X2,cp7Y2,cp7X3,cp7Y3,cp8X1,cp8Y1,cp8X2,cp8Y2,cp8X3,cp8Y3,cp9X1,cp9Y1,cp9X2,cp9Y2,cp9X3,cp9Y3,cp9X4,cp9Y4
CN02_F_003.tif,88,83.5,82.5,112.5,Will,mel,F,0.0125,81.94,112.29,84.40000153,137.1999969,107.957766,157.52415,152.364538,167.782647,231.864247,164.509819,275.002237,125.53056,230.662416,80.090288,127.33675,76.420128,102.523185,93.015899,92.80000305,93.59999847,86.188777,91.754242,175.5627228,166.5384198,168.223459,148.550626,149.419677,135.353624,114.584441,116.533621,82.879794,107.747663,253.7887218,144.6960271,212.11575,132.361322,179.959657,125.772383,163.477992,124.003358,141.420005,115.977945,126.93987,109.302579,116.002421,109.421601,84.511759,99.859831,264.0611046,125.5988718,229.769602,114.925599,175.176785,103.702504,142.216246,102.22037,130.601049,104.368174,105.018508,97.670021,87.19999695,98,86.175626,91.817806,234.4779293,89.83850676,221.6000061,92,161.459143,91.014639,110.531192,95.582003,102.3506193,98.10282559,115.5776425,84.30776976,112.515058,82.168636,87.97293,83.130839,156.0389768,140.0541213,161.18518,133.734541,163.365692,123.3676671,128.583008,110.4870489,129.979984,105.233638,130.057256,103.3938045,91.3922921,110.1946478,92.634229,110.077639,87.290377,111.296505,88.049962,131.120295
CN02_F_004.tif,47.5,88.5,37.5,119,Will,mel,F,0.0125,38.40000153,120,40,144,64.033739,170.143386,109.800652,179.849462,200.90607,180.323763,247.477056,138.840097,204.096527,86.793122,92.771293,80.402197,62.253478,98.204523,48.2307,97.19487,44.117405,96.936046,136.9825134,179.7763517,129.523749,162.044051,110.516187,146.398013,73.302237,124.975373,38.728998,113.640107,224.0325877,159.7230652,179.89151,144.207589,144.980017,136.608614,127.072701,134.291609,104.058384,123.682174,88.189436,117.012989,75.929844,116.882172,41.387063,105.400106,236.127661,139.0958665,200.766454,124.790262,141.576082,111.07587,105.332393,108.277053,92.475979,111.09926,64.922285,102.827809,45.20000076,102.8000031,44.134943,96.881678,208.888308,98.76693597,180.182993,98.512993,127.367461,97.639455,70.923584,101.757201,64.3414316,103.5997369,77.53028207,89.29293242,74.136637,85.587459,47.092312,87.713834,118.2947885,152.8359109,124.211942,145.576539,127.2250956,133.4998088,91.31738792,118.5752827,92.609086,113.937041,93.13727744,109.9727311,49.90251419,117.4338013,50.236471,118.013715,45.866249,120.30707,45.112991,138.8433
CN02_F_005.tif,69,83,57,112.5,Will,mel,F,0.0125,56.88,112.29,58.40000153,136,79.848633,163.158589,125.310247,178.737514,213.500948,181.091133,264.144769,147.732677,221.355528,93.362345,112.76772,79.443821,83.772604,93.527137,69.873465,92.342626,65.817113,90.691977,153.193268,179.2145375,145.243464,159.660932,127.850518,143.773977,91.377063,119.730127,59.089787,106.949682,241.0419972,162.8637923,195.863241,146.967664,161.707318,137.120138,144.482652,133.189118,122.262445,121.491888,107.613908,113.945378,95.541602,113.388214,62.436098,98.862763,252.5141257,144.4442651,216.675038,130.003039,159.425453,112.755833,124.701758,107.484045,112.430235,108.544213,85.879931,98.208201,65.19999695,98,65.766894,90.813339,225.5174782,105.109335,198.015831,103.150595,146.618382,97.726982,91.561397,98.14083,85.62574468,99.26140679,97.92441115,86.6528471,95.505244,82.444971,69.115415,82.721081,135.1165455,150.4396762,142.308576,142.855237,147.4001546,133.523853,110.7785669,115.816166,112.841976,110.812058,113.3204178,107.6742022,70.1546384,111.482178,70.476145,112.088256,65.969208,113.394643,64.721092,133.864154
CN02_F_006.tif,72.5,102,63.5,131,Will,mel,F,0.0125,63.095802,130.691306,65.59999847,155.1999969,88.282319,176.915374,134.043918,190.411097,215.231086,189.325548,260.129458,148.508389,216.011904,103.040574,112.350854,95.931455,87.565073,111.678782,73.7531,110.809926,69.576227,109.809935,158.1702452,189.7693784,150.22479,170.39904,131.373752,156.600382,96.98154,136.778258,64.554163,125.99214,238.7418115,167.9268121,196.04266,155.241251,163.523104,147.951817,146.771048,146.077391,125.152762,136.051925,110.702104,129.555816,99.539629,129.636335,67.007307,118.087568,248.9845185,148.6240255,214.499696,137.268408,159.512187,125.631288,126.392259,122.088548,114.775839,124.41805,88.981254,116.223153,69.59999847,116.8000031,69.672143,109.500873,220.8271521,113.1481893,195.993154,114.163723,147.472181,111.145367,94.558911,115.141734,87.73421613,117.0066195,100.1016844,103.7150119,97.693673,99.748587,71.94194,102.187081,138.7142077,162.0035353,145.34767,154.845272,148.1493797,145.6380479,113.8177751,131.1771358,115.542471,126.275735,116.0407259,123.4532695,75.36846898,129.7159022,75.559643,130.829706,70.756269,133.252388,71.166003,151.570692
CN02_F_007.tif,76.5,99,68.5,130.5,Will,mel,F,0.0125,68.80000305,130.8000031,71.59999847,155.1999969,98.285482,176.086381,143.702817,184.140037,226.977736,176.73546,271.604326,135.434548,224.205222,90.136379,118.305159,90.048847,91.849382,106.937742,77.834508,107.031178,73.940595,106.980194,169.7622945,181.5911585,160.408065,164.38685,140.823706,150.74526,103.916109,133.064233,69.579279,123.880295,250.7032317,154.7302241,206.746386,145.226153,172.940854,140.024452,155.647059,138.289707,132.6295,130.693767,117.212459,124.311452,105.671706,125.092557,71.812972,115.224733,260.0949976,134.765734,224.512641,125.577767,167.281234,117.089998,132.904341,115.428464,121.002526,118.689436,94.129465,112.633294,76.555294,112.22773,73.933099,107.009241,231.8005079,101.6009218,193.45634,102.346327,152.422726,104.116306,101.873555,111.938346,92.52280478,112.972288,105.278877,98.36651429,101.588566,95.092984,76.07665,98.702983,149.1483017,156.5649593,154.003335,149.019083,156.6812343,137.9445138,119.4828981,125.6317271,120.395379,120.468024,120.2309556,117.5902105,80.65996591,126.9540408,81.145422,127.30883,76.534277,129.543203,77.036616,148.438067
CN02_F_009.tif,37.5,108,30.5,140.5,Will,mel,F,0.0125,29.93,140.32,36,163.6000061,61.282597,186.173048,110.65738,193.355751,197.145138,181.605423,239.610388,136.094126,190.379281,91.409849,79.85714,97.000969,54.101733,116.532759,39.422534,117.221657,34.79999924,117.5999985,137.8049771,189.4055035,127.602419,171.166696,106.049857,158.181884,67.228914,141.138153,31.280976,134.14411,219.1276436,158.0303028,173.383378,149.979629,138.437033,146.116196,120.636256,145.293421,96.914309,136.77202,80.570473,132.526768,68.534696,133.367363,33.200679,125.368323,228.164088,136.4226351,191.771124,128.565613,132.055792,120.739167,96.817888,124.403369,85.048751,125.835771,55.843875,121.50751,36.79999924,123.1999969,35.59999847,118,195.8036145,101.903566,168.759289,104.889047,116.84787,109.509091,62.111218,119.606098,55.58119633,122.1877062,67.23435236,106.5772583,63.362439,104.083472,37.043556,107.800885,115.5797642,163.9335293,120.713301,156.392307,123.7692771,145.0856018,85.97132576,133.9893364,87.250147,128.970993,87.11284152,125.2962875,43.33811561,136.6348214,43.87342,137.622376,38.952291,140.581743,42.233243,159.482007
CN02_F_010.tif,74,77.5,65.5,108.5,Will,mel,F,0.0125,64.91,108.31,67.665813,128.176022,90.350693,153.93429,135.944618,165.85719,217.469008,164.283018,261.201468,125.340081,219.69558,76.089699,113.977571,70.494929,87.721821,87.084763,78.80000305,88.40000153,70.80000305,88.40000153,158.6124813,165.0689086,151.756818,147.99325,133.611633,132.415538,99.153078,112.016257,66.581653,102.552083,240.24311,143.9837377,197.558741,130.99779,165.349677,123.685655,148.870962,121.2825,127.585273,110.877648,112.577151,104.956515,101.374929,104.804248,68.948422,94.399878,250.5485798,123.9704423,215.941203,112.700483,160.981597,98.87643,128.515028,97.527738,117.238929,99.061442,90.374548,93.211362,73.59999847,92.40000153,70.80000305,88.80000305,222.4120588,86.37778641,197.472358,88.187301,148.919687,84.974219,97.037583,91.695688,88.61598248,93.41607198,101.6731309,78.30213162,99.400204,74.257051,73.912499,77.301391,139.3124898,137.4463022,146.407875,130.49487,149.8941359,120.8089949,116.602831,106.6666479,117.907606,101.660845,118.2858386,98.39749155,77.23765904,105.799194,77.877903,105.976941,73.519051,107.223795,74.090827,126.39514
CN02_F_011.tif,57,89.5,53,117.5,Will,mel,F,0.0125,52.96,117.28,61.59999847,142,85.772477,159.279597,132.415697,166.091809,211.27397,148.78133,250.246801,105.760774,197.909656,66.249002,94.686519,76.96813,72.762398,94.646341,63.59999847,98.40000153,55.20000076,98,155.5022526,160.6231084,144.361712,144.650154,124.473885,133.305267,87.68097,118.287796,53.810576,111.325968,230.5798386,127.4696058,187.478208,121.250826,154.497165,119.736197,137.666889,120.282975,114.853986,114.125804,99.498425,109.298452,88.513652,110.745283,54.725051,104.924641,238.9400083,106.9548024,202.776894,101.629701,146.767037,98.381172,113.788527,99.760282,102.965848,104.071977,75.934202,99.509176,57.20000076,102.4000015,56.40000153,97.59999847,205.0472482,76.04376456,179.811563,79.977626,131.452771,86.114428,80.436543,97.687638,74.39951646,100.3940234,83.02465298,86.36962735,80.998124,82.53172,57.04,88.72,131.5639368,137.404697,136.761397,128.778612,137.4640011,119.5198705,101.7368857,110.3451363,102.985031,104.940382,102.9312348,102.9224079,63.93584744,113.4966496,64.400651,114.220843,58.824968,119.785684,63.530695,137.449288
CN02_F_012.tif,73,69,65,99,Will,mel,F,0.0125,64.92,99.3,66.80000305,126,90.734625,148.828419,137.796253,160.278358,222.35228,157.049919,265.699501,116.943549,222.392596,67.043198,112.69421,63.366386,88.504346,77.766944,74.931927,79.00195,70.684796,77.682015,161.0002299,159.0167451,153.919232,141.015494,134.540608,126.216641,99.11358,104.655729,66.241273,94.345228,243.918344,137.0960095,200.753388,123.191454,167.535407,115.211953,150.427825,113.254841,128.006489,104.252675,112.896449,97.543918,101.546538,97.092365,68.433869,86.122991,254.8306938,117.0206125,219.329403,103.783765,162.904848,91.797547,128.858949,89.156813,116.882992,91.940011,90.503611,83.703807,72,84,70.524131,78.284508,224.9046325,77.40130129,199.105796,79.391416,148.956016,78.511561,95.94055,81.630954,90.43670711,84.59232977,101.6533418,69.99616977,98.468066,66.776028,73.071063,68.733515,142.0495263,131.9828363,148.14854,124.30137,150.6609861,112.617191,114.9310243,98.78490955,116.643319,93.931789,116.4651865,90.73448294,76.17986576,97.59101876,76.961081,97.574965,71.877142,99.477429,73.171613,119.847427
CN02_F_013.tif,79.5,53.5,69,86,Will,mel,F,0.0125,68.9,86.33,71.19999695,112.4000015,95.807729,137.401444,148,150,236.8000031,145.1999969,281.783922,104.850429,234.67019,52.838111,122.28468,46.783674,95.815434,63.474115,80.779018,62.663362,75.19999695,63.20000076,170.7011719,148.259367,163.200603,128.741379,143.731893,112.694514,106.174762,91.956337,71.14296,78.928232,258.3843047,125.824417,212.703769,110.560634,177.302242,103.932982,159.740313,100.496998,135.952693,90.594603,120.648721,83.298535,108.637849,83.361157,73.516121,71.0968,270.2469562,102.7287739,231.710948,90.752309,172.124071,77.308119,137.88249,75.314708,126.198027,77.230365,97.236694,69.387886,77.59999847,69.59999847,75.59999847,64,238.5016385,63.85111372,211.361519,64.902965,158.836687,63.459473,103.304156,68.176256,96.88724128,70.16996123,109.4608617,54.87868233,105.804154,51.423071,78.91433,53.28271,151.8264206,119.3999964,158.93703,111.139993,162.1001343,100.6471087,124.0196294,85.14683853,125.895807,80.055734,126.2873796,76.28947444,82.68494264,83.3202703,83.096925,84.190662,77.435374,87.100662,76.046538,105.884029
