Image,lmX1,lmY1,lmX2,lmY2,Spliner,Species,Scale,cp1X1,cp1Y1,cp1X2,cp1Y2,cp1X3,cp1Y3,cp1X4,cp1Y4,cp1X5,cp1Y5,cp1X6,cp1Y6,cp1X7,cp1Y7,cp1X8,cp1Y8,cp1X9,cp1Y9,cp1X10,cp1Y10,cp1X11,cp1Y11,cp2X1,cp2Y1,cp2X2,cp2Y2,cp2X3,cp2Y3,cp2X4,cp2Y4,cp2X5,cp2Y5,cp3X1,cp3Y1,cp3X2,cp3Y2,cp3X3,cp3Y3,cp3X4,cp3Y4,cp3X5,cp3Y5,cp3X6,cp3Y6,cp3X7,cp3Y7,cp3X8,cp3Y8,cp4X1,cp4Y1,cp4X2,cp4Y2,cp4X3,cp4Y3,cp4X4,cp4Y4,cp4X5,cp4Y5,cp4X6,cp4Y6,cp4X7,cp4Y7,cp4X8,cp4Y8,cp5X1,cp5Y1,cp5X2,cp5Y2,cp5X3,cp5Y3,cp5X4,cp5Y4,cp5X5,cp5Y5,cp6X1,cp6Y1,cp6X2,cp6Y2,cp6X3,cp6Y3,cp7X1,cp7Y1,cp7X2,cp7Y2,cp7X3,cp7Y3,cp8X1,cp8Y1,cp8X2,cp8Y2,cp8X3,cp8Y3,cp9X1,cp9Y1,cp9X2,cp9Y2,cp9X3,cp9Y3,cp9X4,cp9Y4
CN002_18C_F_050610_01.tif,36.5,17,11,67,Will,mel,0.014,10.75,67.5,-0.800464,112.338581,34.641671,158.017229,105.362251,195.631974,247.282399,227.561301,327.620106,176.060466,275.85947,81.77001,107.389984,25.190884,57.444535,41.540706,35.432849,34.624623,27.336793,34.326413,143.5969164,203.578724,139.87357,171.995999,114.405077,138.683243,63.607539,89.544149,16.916769,55.166462,284.4688961,203.6403739,223.462252,164.387878,170.424517,138.038745,143.083251,125.941109,109.922197,101.364582,85.92603,79.959908,69.659802,76.718394,22.222965,44.55407,309.9985255,175.0533376,260.888729,139.923141,172.959291,98.592632,119.140719,76.971365,97.057315,74.146918,57.776965,50.512069,32.739715,45.203652,26.025601,36.948799,277.8501527,99.44311635,259.6000061,98.80000305,158.360738,65.679398,68.953995,50.225508,58.10963832,52.16371617,83.82804202,32.94578347,80.868787,21.691748,36.10311,16.79378,124.8906836,152.4605052,138.015947,142.835929,148.5219085,127.9252998,90.8791577,84.91592472,96.328259,78.49933,100.1960399,73.60500056,32.17755186,66.57237716,29.060283,73.111973,18.796635,74.270402,17.304116,81.048729
CN002_18C_F_050610_02.tif,32.5,44,21.5,94.5,Will,mel,0.014,21.219215,93.003566,22.109313,137.26862,61.289194,166.796447,134.078287,186.949679,267.683072,178.3927,324.386924,112.650137,259.436762,45.330269,91.031925,36.753662,57.343287,60.190453,36.139519,59.939546,28.345899,60.609551,170.2898531,183.9018161,155.746111,154.520277,125.921132,131.157713,71.779262,100.925632,23.625544,82.06571,295.4247238,146.2206176,228.075116,126.962507,176.114946,117.354018,149.174031,114.083832,114.888042,99.991921,89.147186,88.086009,74.63151,88.424887,25.987753,71.328396,309.245581,115.2763599,255.763219,97.941205,169.251149,82.643743,117.551212,78.067961,97.898039,80.228405,58.423956,68.420645,35.361077,69.644282,27.80506,63.067907,261.5776526,58.44975363,226.231184,62.085134,148.831782,59.82809,68.137693,64.81337,56.18355929,69.42744403,79.15160956,45.9092775,72.127819,36.761722,32.102807,43.532693,135.3371506,138.7140555,146.280716,126.071044,147.1158659,112.4018322,96.08854191,91.50523037,100.05622,82.46604,100.8095715,79.15751088,40.1133622,88.6665814,39.721829,94.703143,30.803013,98.917864,32.074434,110.502184
CN002_18C_F_050610_03.tif,31,27.5,11,74,Will,mel,0.014,10.8,74.47,3.188592,119.792848,42.192994,162.357118,112.161535,191.808093,255.711422,210.700325,328.232993,155.278928,269.413545,70.23371,99.61669,29.180922,52.594721,48.775742,31.981598,44.722735,23.828147,43.853855,151.1726491,196.3424906,143.669052,165.79861,116.477964,135.896462,62.637065,94.316755,14.931753,64.760381,289.0049271,185.1537081,223.683856,151.487484,170.535014,130.853378,143.156361,122.226504,109.433897,100.989048,84.432093,83.360759,68.050994,81.117421,18.977831,55.252097,311.2539547,155.3251529,260.262142,125.937704,171.131864,93.240437,116.958056,77.933559,95.424032,77.850639,54.544915,56.937929,29.822213,54.865508,22.540975,46.878709,274.0857123,87.61914246,235.00668,82.367331,153.415453,63.147641,64.86184,56.600598,52.6030299,58.00728256,81.71450847,37.25636632,76.217102,27.078954,30.083181,29.154525,127.0021502,147.5714589,138.691786,137.959529,146.6308428,122.6404111,89.88332547,87.61531866,94.69208,80.8684,96.53556473,76.33562693,31.270127,75.01349066,29.193208,80.180767,21.543896,84.078558,19.26634,89.741317
CN002_18C_F_050610_04.tif,25.5,47,14,97.5,Will,mel,0.014,13.922527,97.35215,13.496451,137.904426,57.425611,172.790996,128.233897,189.602106,266.274938,182.444209,325.442315,115.17363,255.469034,46.416102,88.687184,36.3117,49.396881,63.080949,29.016859,63.081037,21.171808,64.400871,168.1338769,187.0235251,152.750736,157.711399,121.06644,134.161907,65.914831,105.427273,16.6136,85.119998,294.8661556,149.9166989,226.217151,130.61411,173.201044,120.052758,145.741313,116.721186,110.020802,104.273949,83.583131,91.684765,68.791888,92.002641,18.882574,74.806481,309.4023274,118.6954791,253.621795,100.520792,165.76118,85.548075,112.365716,79.80343,91.543818,83.566221,52.156893,72.816434,28.888415,72.574468,20.633581,66.847359,258.7417579,59.72939161,233.1999969,64.80000305,145.306145,60.689028,61.620722,67.820689,48.20226546,73.23772464,73.12090518,47.42424572,65.878405,38.541514,25.085108,46.613144,130.7342329,141.5517271,143.207957,129.089381,146.5924825,116.0394464,85.710277,93.50288105,89.212536,83.356196,89.08830991,81.73637279,33.02860381,91.97150071,32.659113,97.351658,23.522579,101.89151,24.057535,113.658474
CN002_18C_F_050610_05.tif,38.5,27,18.5,75,Will,mel,0.014,17.8,75.48,10.854111,113.0415,43.109095,155.66123,110.977085,187.520435,248.690399,210.819741,325.486492,158.28286,268.194925,75.946822,104.561266,30.374733,57.862316,48.752367,38.53311,44.539442,31.097885,43.565077,151.1599314,193.8232687,142.358604,161.716986,116.308562,132.433132,65.960334,91.632182,22.498518,64.203556,284.9340683,185.9798908,221.53262,151.230515,170.509129,130.5819,143.982005,120.903221,111.530174,99.801307,87.61372,82.368647,72.16095,79.829792,26.732078,54.043012,308.0301805,158.0517033,256.9148,127.745535,170.295093,92.964051,118.650016,78.406363,97.565137,76.711489,59.751845,57.130028,36.05093,53.541187,30.235835,45.633997,269.9131208,90.28371516,247.6000061,89.59999847,155.025072,65.218437,69.939063,55.49335,56.39845064,57.36181476,85.12346177,38.34550446,80.688274,28.50087,37.801345,27.476772,128.3599545,145.9912309,140.42953,133.473439,146.4844377,121.1162976,92.17706744,86.16493171,97.411419,78.620566,98.60280217,75.53467359,37.50383422,73.81861672,36.138443,78.935215,26.873555,81.581823,24.736683,92.377136
CN003_18C_F_050610_01.tif,70,60,60.5,99,Will,mel,0.014,59.9,99.39,63.654118,135.969035,100.843777,162.196417,157.761628,175.52183,261.884134,161.454082,310.987706,108.853826,247.240947,57.143623,118.681667,54.776075,91.651161,73.705157,74.121013,72.619717,66.536808,73.50645,183.6930113,171.2684959,173.795346,147.612794,150.22166,128.019677,104.079571,106.929385,62.295738,90.046621,283.2489554,138.3762707,229.43222,124.962337,187.94123,117.150997,166.297362,116.188781,138.677031,103.801999,124.4000015,98,106.021802,96.747828,64.448154,81.652201,297.1129361,111.8129552,248.784973,99.285682,180.33462,89.309746,139.188953,87.53767,128,88.40000153,92.19284,79.446778,74.441276,79.265523,66.348781,74.239752,248.0913856,66.14161574,224.337484,70.661494,163.12853,71.37732,99.88328,77.816478,93.0978493,80.32021192,107.3314433,62.95543964,102.946086,54.085983,69.744631,60.995939,159.8529833,136.0911447,167.333321,127.53751,168.6215968,115.5143149,125.3219275,98.90008155,129.1999969,93.19999695,130.5312607,87.92055202,77.12191414,96.0790457,76.701906,99.044554,70.578252,103.056431,71.020008,112.358056
CN003_18C_F_050610_02.tif,54.5,46.5,45,85.5,Will,mel,0.014,44.91,85.39,45.571323,120.173496,82.258499,150.328146,140.476256,168.387874,257.306053,160.162257,312.472475,107.5654,248.009267,43.592951,109.536717,36.769887,75.2507,60.111325,57.401025,58.45881,50.857488,59.617551,171.6265765,165.5082366,161.537433,139.699745,137.249474,118.224659,88.245212,94.740483,46.95252,76.539081,282.5440066,136.0108076,224.085638,117.945868,179.059832,107.779136,155.724404,105.77925,126.60201,92.338062,103.943345,83.775793,91.008999,84.237624,48.977934,67.762287,297.5970919,109.217391,247.685371,91.603418,173.151914,77.93674,128.000124,74.110381,110.581564,76.658392,76.867455,66.159531,57.353882,66.184397,50.740332,60.125228,249.8125183,55.1289107,216.974062,58.625005,155.272839,57.425012,85.045481,63.690355,77.54918589,67.26652265,95.21157443,46.79822361,89.099215,39.509605,54.022524,45.902398,146.6062691,126.6151358,154.419891,117.145892,157.3145711,104.9914449,110.6744947,86.44029774,113.358659,79.292012,113.7090685,75.58302978,61.72592059,83.08359903,59.469492,86.890476,54.196171,90.915631,55.241419,102.487891
CN003_18C_F_050610_03.tif,40,54.5,30.5,98.5,Will,mel,0.014,29.906845,98.409881,30.226528,136.361981,68.188325,170.818245,134.353683,186.763903,264.741723,179.131283,324.198223,125.183943,253.337352,56.467718,101.834973,46.297747,63.504329,69.937162,43.418265,68.486618,36.467075,69.544868,167.867123,184.1344711,157.422017,158.173665,129.712382,133.547141,76.024019,108.480972,32.144421,88.564546,291.8533696,154.4298736,226.62195,136.304312,177.283669,124.060501,151.651846,120.608522,119.221337,106.512243,94.612336,96.891734,79.909633,96.944937,34.409788,78.596931,308.0244746,125.299893,252.421724,106.657186,170.704246,92.126998,121.550516,86.901486,102.369111,88.872644,64.875075,76.890395,43.301301,77.111779,36.30496,70.258175,256.2801961,69.06090027,225.1207,72.209525,151.830337,68.633868,74.585618,74.430207,64.88531773,78.04272292,84.63805561,57.02263683,78.995359,46.44384,39.994586,54.023821,141.2064138,143.8385126,151.024457,132.053878,153.7397728,120.1208155,103.068853,100.2734451,107.024377,90.717803,106.5936902,87.94390614,48.43298041,95.97069848,47.151135,99.491885,40.841395,103.575923,39.170016,115.239421
CN003_18C_F_050610_04.tif,24.5,48.5,13,97,Will,mel,0.014,12.89,97.49,8.85307,124.314477,52,172.8000031,116.242704,193.836756,264.049859,185.294576,327.563608,124.652863,251.647327,49.295192,91.056697,36.974723,47.131411,64.987414,27.776671,63.637884,20.062141,65.54137,160.8472586,190.7091268,149.062219,159.389075,120.865292,134.746014,63.176572,107.048672,15.552746,85.628679,293.9869298,156.6587884,223.652487,136.041417,170.756408,122.006978,143.269821,119.81951,108.529194,104.611278,82.127354,93.412175,66.951001,94.489649,17.81466,75.552879,310.2720173,125.6036456,252.09857,105.010418,164.186943,86.77242,111.113464,81.93886,90.594151,84.257768,50.502143,72.025964,27.132787,74.823528,19.430077,68.356931,254.1163905,62.63981673,221.739616,66.396708,143.253602,62.162584,61.061059,70.550806,51.66023002,73.77154552,69.27383103,50.86736905,65.155237,39.809785,23.85052,48.665867,131.611728,144.2812281,140.991585,132.119418,143.4540723,118.4900927,89.56252605,96.76408114,93.348542,87.508044,94.83561399,83.20817529,32.44151599,93.25444816,30.254373,96.746117,22.46722,101.048252,23.132414,116.016854
CN003_18C_F_050610_05.tif,62.5,37.5,50.5,79,Will,mel,0.014,49.88,79.42,47.665894,113.960312,84.143021,148.852441,140.646283,170.722148,258.309527,163.586284,316.472631,115.053396,253.999096,48.330596,116.999454,33.284068,82.236496,53.842818,64.401474,51.870975,57.711832,52.008589,172.5157829,168.0319632,163.446414,140.113025,140.135605,117.074153,92.988299,90.083715,52.629661,69.796185,284.1442303,141.8948056,226.755548,119.164624,182.245734,109.288526,159.647278,104.702033,130.974092,90.08319,109.078515,79.777448,96.479031,79.351796,55.277519,60.528683,301.3626354,115.443133,251.806793,95.863836,178.330181,78.193205,133.943926,71.745338,116.816002,72.729389,83.185618,60.537499,63.814581,59.541657,57.415667,53.045167,252.4726451,58.2497398,226.870787,61.88923,161.394336,56.210519,92.173431,58.227297,83.32836963,61.54417349,103.0751874,41.89125605,98.248598,31.892483,61.761119,37.836082,150.694518,127.5305951,158.850769,116.272271,162.4977849,104.7205857,116.9931536,83.55885782,121.092236,74.40596,121.1894535,72.13286768,66.85399701,77.00171013,65.927239,80.77007,58.764628,84.88755,58.717283,96.735795
