LineID,Pop,Line,Ind,Sex,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,Csize,Elevation,Lat,Lon
CN002,CN,2,3,F,0.0479297,-0.11107139,0.22070801,-0.03226711,0.23751505,0.01556834,0.15622063,0.0874498,-0.12043181,0.05713367,-0.18462252,0.04984783,-0.00676662,-0.05697102,0.0041099,-0.01577161,-0.08090285,0.00137549,-0.0800682,0.01829448,-0.14598536,0.02047474,-0.16691572,-0.01142768,-0.1879902,-0.01969341,-0.17301593,-0.06605383,-0.13710299,-0.09863051,-0.09062889,-0.11443807,-0.04240179,-0.11918891,0.0045591,-0.11683168,0.09437109,-0.10240695,0.14229511,-0.08785715,0.18605623,-0.06455878,0.23452228,-0.00859668,0.22077316,0.0485682,0.19074607,0.07248389,0.10543197,0.09667027,0.05875445,0.09713152,0.00927316,0.09225748,-0.05229402,0.08206496,-0.14725148,0.03524786,-0.18561847,0.02928201,0.02633898,-0.07881807,-0.05391585,-0.03794026,-0.10963818,-0.02043236,0.1517827,-0.02322339,0.0799663,-0.01701809,-0.03684376,-0.00896033,-0.13254576,0.00258428,0.1769496,0.0241784,0.11939851,0.02920507,0.05468635,0.03201378,-0.01548718,0.0295141,-0.10993023,0.019412,0.10349751,0.07488458,0.04954483,0.06687651,-0.01104461,0.05671399,-0.07034586,0.04368229,-0.14940194,0.05675009,0.00227413,-0.03745945,4.009562668,1121,11.85,13.16
CN002,CN,2,4,F,0.04218847,-0.11048752,0.21782536,-0.03428726,0.23527331,0.01389944,0.16214404,0.0882714,-0.11838234,0.05702438,-0.183145,0.04848528,-0.00769869,-0.0609973,0.00358299,-0.0167654,-0.07791002,0.00068804,-0.07742858,0.01952716,-0.14059954,0.02173126,-0.16563553,-0.01305294,-0.1888762,-0.02294566,-0.17428381,-0.06647153,-0.13921292,-0.10026883,-0.09215181,-0.11743812,-0.04334373,-0.11971469,0.00364481,-0.11577787,0.09370884,-0.10149516,0.14184159,-0.08742768,0.18586208,-0.06433572,0.23267264,-0.00754175,0.21989537,0.04872535,0.19102726,0.07417821,0.10484893,0.09958234,0.05771381,0.09946878,0.00799478,0.09386626,-0.05370379,0.08266212,-0.14888213,0.0351282,-0.18581902,0.02788994,0.02063896,-0.08086791,-0.05520348,-0.04051056,-0.1086031,-0.02326768,0.14980902,-0.02382771,0.07819478,-0.01752634,-0.03779426,-0.00803253,-0.13365679,0.00160545,0.1760313,0.02548061,0.11953305,0.03149949,0.05585852,0.03425314,-0.01324399,0.03201444,-0.10577532,0.01990477,0.10645912,0.07853688,0.05284918,0.0694372,-0.00732611,0.05812017,-0.06617169,0.04419998,-0.14795523,0.05781997,0.00147805,-0.03994781,4.374246227,1121,11.85,13.16
CN002,CN,2,5,F,0.04597211,-0.11021167,0.22292306,-0.02829158,0.23725476,0.01684074,0.15896908,0.08546797,-0.12078339,0.05573069,-0.18382125,0.04851841,-0.00776045,-0.05910724,0.00909759,-0.01671728,-0.077885,0.00099019,-0.07689808,0.01957691,-0.13999463,0.02244067,-0.16612323,-0.0117391,-0.19375813,-0.02060153,-0.17478143,-0.06619732,-0.13917133,-0.098763,-0.092938,-0.11619777,-0.04435351,-0.12069489,0.00266344,-0.11718468,0.09200267,-0.1002297,0.13940413,-0.08503642,0.18320252,-0.06274062,0.23457812,-0.00909575,0.21889101,0.04873209,0.18859645,0.07221821,0.10339261,0.09612481,0.05675957,0.096375,0.00732183,0.09119836,-0.05416808,0.08073626,-0.14970122,0.03547414,-0.18649993,0.02988574,0.0229005,-0.08075274,-0.05410198,-0.03962993,-0.10832313,-0.02212726,0.15405461,-0.02222336,0.08137732,-0.01786094,-0.03662456,-0.00816503,-0.13368397,0.00185395,0.17740884,0.02462881,0.12066696,0.02923044,0.05692044,0.03187667,-0.01222256,0.03014143,-0.10532163,0.02058481,0.10418355,0.07584737,0.05120745,0.06773159,-0.00831277,0.05760226,-0.0664061,0.04420783,-0.14958933,0.05755497,0.00272085,-0.03878834,4.296168012,1121,11.85,13.16
CN002,CN,2,6,F,0.04772717,-0.11276147,0.22055377,-0.02928605,0.23552697,0.01867127,0.15687588,0.08691695,-0.1199331,0.05711627,-0.1842153,0.04864565,-0.00799613,-0.05825447,0.00639593,-0.01727677,-0.07730951,0.00086519,-0.07555654,0.01926079,-0.14225309,0.02184332,-0.16481576,-0.01211297,-0.19213647,-0.01951369,-0.17481477,-0.06625057,-0.13827741,-0.09809965,-0.09194764,-0.11418902,-0.04369113,-0.12000164,0.00352766,-0.1183611,0.09382003,-0.10412084,0.14190525,-0.08901655,0.18529157,-0.06472408,0.2321398,-0.00825682,0.22081722,0.04844108,0.19061692,0.07244656,0.10496014,0.09628123,0.05818795,0.09676268,0.00856989,0.09202419,-0.0531954,0.08197903,-0.14876263,0.03570412,-0.18633365,0.03041787,0.02568705,-0.08108918,-0.05353278,-0.0399154,-0.10861441,-0.02221575,0.15199242,-0.02224245,0.07986449,-0.01732849,-0.03732521,-0.00849793,-0.13354961,0.00217914,0.17632669,0.02628861,0.11968678,0.03020554,0.05607978,0.03171862,-0.01282547,0.02987086,-0.10626115,0.02003279,0.10229643,0.07530798,0.04917543,0.06767484,-0.0105649,0.05817757,-0.06874885,0.04464667,-0.14940685,0.05857549,0.00267652,-0.03916378,4.077645159,1121,11.85,13.16
CN002,CN,2,7,F,0.04715645,-0.11013341,0.22024406,-0.02913805,0.23591131,0.01775366,0.1642498,0.08414269,-0.11816405,0.05817402,-0.18306358,0.04977009,-0.00527913,-0.05984296,0.00660374,-0.01642962,-0.07940653,0.00122046,-0.0798498,0.01931245,-0.14272311,0.02232587,-0.16545791,-0.01189939,-0.19084332,-0.02356734,-0.17688811,-0.06827191,-0.13907647,-0.10067427,-0.09196048,-0.11614547,-0.04342789,-0.12001547,0.00355925,-0.11666742,0.0932089,-0.1008627,0.14071557,-0.08573875,0.18402473,-0.06251399,0.23280794,-0.00798491,0.21977243,0.04847604,0.18976134,0.07228144,0.1044444,0.09623511,0.05773893,0.09657416,0.00820209,0.09162069,-0.05347215,0.08146019,-0.14977614,0.03715744,-0.18564743,0.03078973,0.02439761,-0.08042754,-0.05323946,-0.03968763,-0.10786624,-0.0224974,0.15168792,-0.02263989,0.07963614,-0.01808316,-0.03754545,-0.0087731,-0.13346957,0.00290837,0.17580253,0.02560528,0.11874602,0.02969885,0.05464915,0.03155117,-0.01478418,0.0300298,-0.10833402,0.02026339,0.10585649,0.07607327,0.05149206,0.06792451,-0.00928626,0.05683222,-0.06839504,0.04200986,-0.14778401,0.05898747,0.00329255,-0.03906814,4.183729568,1121,11.85,13.16
CN002,CN,2,9,F,0.04690953,-0.11153909,0.21851337,-0.0310606,0.23481355,0.01718888,0.15934753,0.08712073,-0.11881757,0.0573431,-0.18411737,0.05007706,-0.00519013,-0.05968301,0.00969455,-0.01754904,-0.07398787,0.00074589,-0.07283974,0.01977632,-0.14170976,0.02170243,-0.16605927,-0.01150497,-0.19457981,-0.02154667,-0.17550219,-0.06679358,-0.13992594,-0.09970131,-0.09332239,-0.11662687,-0.04463639,-0.12092506,0.00258055,-0.11795307,0.09265215,-0.10242638,0.14049225,-0.08724752,0.18402585,-0.06362783,0.23183399,-0.00786254,0.21933078,0.04880502,0.18959953,0.07342817,0.10353784,0.09737978,0.05661397,0.09732423,0.00694595,0.09202565,-0.0548222,0.08141,-0.15053466,0.03519425,-0.18748697,0.02847912,0.02493576,-0.08071516,-0.05322722,-0.03934728,-0.10800324,-0.02144648,0.15102149,-0.0240987,0.07906163,-0.01903299,-0.03745166,-0.00723717,-0.13377196,0.00300506,0.17662247,0.02528283,0.12051584,0.03051466,0.05741054,0.0339207,-0.01102441,0.03035887,-0.10449261,0.02040876,0.10417584,0.07724364,0.05085051,0.06844719,-0.00903362,0.05752228,-0.06757961,0.04388617,-0.14838455,0.05765047,0.00478506,-0.03970053,4.311399341,1121,11.85,13.16
CN002,CN,2,10,F,0.04376525,-0.11372563,0.21966543,-0.03332617,0.23490477,0.01601281,0.15626232,0.08961978,-0.11967491,0.05937805,-0.18277544,0.05049139,-0.01091615,-0.0590883,0.00630253,-0.01726325,-0.07456611,0.00131026,-0.07408532,0.02066233,-0.14309631,0.0199996,-0.16382252,-0.01253707,-0.19065695,-0.02315784,-0.17203188,-0.06570431,-0.13691477,-0.09772074,-0.09151421,-0.11583194,-0.04304775,-0.12109875,0.00421531,-0.11881396,0.09456445,-0.10436408,0.14286697,-0.0894566,0.18678547,-0.06535965,0.23316081,-0.0076906,0.21924174,0.04821037,0.19049997,0.07348855,0.10470433,0.0994758,0.05751824,0.09978739,0.00768675,0.09453613,-0.05422622,0.0838374,-0.14929679,0.03501688,-0.18534867,0.02417488,0.02199986,-0.08246486,-0.05473748,-0.03932258,-0.10887206,-0.02124225,0.15165115,-0.02524965,0.07999818,-0.01933543,-0.03590927,-0.00738908,-0.13198168,0.0026178,0.17620742,0.02404018,0.11987736,0.0296552,0.05656737,0.03384276,-0.01242271,0.03198696,-0.10559709,0.01987955,0.10152446,0.07703164,0.04810506,0.06972404,-0.01199473,0.06003572,-0.06996608,0.04450569,-0.14870735,0.06077494,0.00120868,-0.03983375,4.086813974,1121,11.85,13.16
CN002,CN,2,11,F,0.04849269,-0.11195007,0.22014733,-0.03076421,0.23825199,0.0171856,0.15800722,0.08664449,-0.12359516,0.05543828,-0.18355315,0.04844256,-0.00826706,-0.05968574,0.00430556,-0.01796638,-0.07887721,0.00110921,-0.07656036,0.01834869,-0.14270221,0.02248402,-0.16611686,-0.00844866,-0.19127547,-0.01785783,-0.17111959,-0.06450977,-0.13659542,-0.09678246,-0.09104354,-0.1139821,-0.04296642,-0.12074907,0.00425902,-0.11880102,0.09365927,-0.10166164,0.14090126,-0.08569085,0.18422397,-0.06240132,0.23468001,-0.00828995,0.22029798,0.0498139,0.1896281,0.07302018,0.10432879,0.09652312,0.05776112,0.09676807,0.00841015,0.09156592,-0.05300535,0.08121195,-0.14858079,0.03607461,-0.18725184,0.02686871,0.02459055,-0.08183945,-0.05445082,-0.03955556,-0.10967082,-0.02050631,0.15145041,-0.02280178,0.07946085,-0.0181591,-0.03762069,-0.00935986,-0.13333171,0.00304136,0.17803834,0.02421811,0.12097538,0.02815564,0.05690396,0.03018036,-0.01254255,0.02896521,-0.10606027,0.01991425,0.10292375,0.07682405,0.0496598,0.06833237,-0.01016966,0.05778463,-0.06865686,0.0444252,-0.15108652,0.05768858,0.00167756,-0.04009036,4.052045083,1121,11.85,13.16
CN002,CN,2,12,F,0.045697,-0.11352909,0.21925477,-0.0328762,0.23535803,0.01550114,0.15409,0.09080521,-0.11956311,0.05876545,-0.18284576,0.05033668,-0.00652835,-0.06157019,0.00479864,-0.01565379,-0.07911212,0.00072817,-0.07889723,0.01901414,-0.13848232,0.02230528,-0.16470618,-0.01183723,-0.18877133,-0.02000458,-0.17446405,-0.06650566,-0.13962399,-0.100698,-0.0926106,-0.11781268,-0.04365862,-0.12251845,0.00378172,-0.11964282,0.09403325,-0.10378814,0.14212672,-0.08867355,0.18592133,-0.06490892,0.23279339,-0.00820184,0.22037158,0.04814647,0.1914811,0.07377478,0.10507283,0.09925101,0.05787198,0.09889297,0.00815338,0.09286315,-0.0535845,0.0816549,-0.15006088,0.03662671,-0.1845805,0.0297439,0.02432077,-0.08241038,-0.05348325,-0.04100343,-0.10760025,-0.02206338,0.15094149,-0.02369288,0.07949528,-0.01691041,-0.03672934,-0.00849622,-0.13209392,0.002677,0.17558098,0.02598696,0.11896691,0.03135468,0.05525502,0.03348027,-0.01378852,0.03116696,-0.10608315,0.02015922,0.10082368,0.07779796,0.04893814,0.06843057,-0.00949777,0.05804098,-0.06681124,0.04552881,-0.14838764,0.05919191,0.00305351,-0.03974652,4.201345082,1121,11.85,13.16
CN002,CN,2,13,F,0.04465451,-0.11327619,0.21943085,-0.03341356,0.23553009,0.01930774,0.1545727,0.08860163,-0.11843606,0.05880766,-0.18286407,0.0506516,-0.00564091,-0.06007413,0.00877185,-0.01702484,-0.07662903,0.00103834,-0.07522245,0.02039907,-0.1389567,0.0221263,-0.16368588,-0.01069413,-0.19135763,-0.02216859,-0.17597057,-0.0673044,-0.14068319,-0.1009675,-0.09371154,-0.11791903,-0.04479119,-0.12254966,0.00266614,-0.11966042,0.09281332,-0.10299932,0.14079789,-0.08784437,0.18489198,-0.06475968,0.23383651,-0.00871714,0.21935141,0.04830186,0.18962508,0.07282454,0.10370909,0.09804649,0.0565513,0.09836251,0.0066711,0.09310234,-0.05532742,0.08242459,-0.15138139,0.03589324,-0.18689461,0.02853196,0.02389377,-0.0820041,-0.05278567,-0.03990997,-0.10701179,-0.02268242,0.15172905,-0.02372973,0.07988302,-0.01843692,-0.03670866,-0.00863116,-0.13243849,0.00285619,0.17621547,0.02646875,0.12000763,0.03090989,0.05688724,0.03361085,-0.01162664,0.03156244,-0.10355072,0.02087957,0.10098733,0.07734614,0.04890458,0.068708,-0.00964712,0.05830726,-0.06678367,0.04471758,-0.14777372,0.05942572,0.00493978,-0.03984296,4.415684936,1121,11.85,13.16
