Line,Temp,Sex,Ind,Pop,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,Csize,Elevation,Lat,Lon
CN2,18C,F,1,CN,0.04607496,-0.11404039,0.21907061,-0.03259718,0.23387284,0.01727477,0.15064803,0.09150417,-0.12604893,0.06087286,-0.19399145,0.05308683,-0.00647297,-0.0621032,0.00834313,-0.01830457,-0.08731795,0.00114519,-0.08242419,0.02042397,-0.14650459,0.02239488,-0.17000561,-0.01030202,-0.19577716,-0.0238405,-0.18451626,-0.0705836,-0.14699012,-0.10438362,-0.09801629,-0.11963277,-0.04811729,-0.12406573,0.00012414,-0.12098124,0.09111752,-0.10489754,0.1395653,-0.09047961,0.1851664,-0.06650738,0.23183645,-0.00670344,0.21740618,0.05094956,0.18752722,0.07544484,0.10155549,0.10038064,0.05443264,0.10104234,0.00485456,0.0964113,-0.0580565,0.08614372,-0.15536471,0.03794998,-0.19460889,0.02648775,0.02323386,-0.08185771,-0.05705879,-0.04126759,-0.11125084,-0.02373011,0.15020833,-0.02369989,0.07696266,-0.01879064,-0.04187144,-0.0103805,-0.13897083,0.00247774,0.17403225,0.02757737,0.11691203,0.03154114,0.05298216,0.03171223,-0.01633659,0.0296434,-0.11117643,0.02055859,0.09943206,0.07861671,0.04605289,0.07146881,-0.01389525,0.06168756,-0.07259037,0.04807972,-0.15763022,0.06545472,0.00358196,-0.04118155,5.252673517,1121,5.5,10.68
CN2,18C,F,2,CN,0.04808802,-0.11629591,0.22228373,-0.02831,0.23455076,0.02079032,0.14966299,0.09194168,-0.12185155,0.06288957,-0.19165354,0.05413567,-0.01507252,-0.05894872,-0.00460248,-0.01719127,-0.08507617,0.00025197,-0.08134867,0.01963783,-0.14950244,0.02232766,-0.16812431,-0.01014635,-0.19477828,-0.02144256,-0.18274058,-0.07073361,-0.1454588,-0.10478546,-0.09644833,-0.11983488,-0.04663681,-0.12572074,0.00177547,-0.12342209,0.09276482,-0.10651881,0.14096411,-0.0912217,0.18605244,-0.06671916,0.23205826,-0.00742754,0.22027022,0.05071398,0.19022219,0.07578759,0.10340567,0.09873697,0.05644054,0.09860987,0.00705802,0.0936334,-0.05569946,0.08358213,-0.15366322,0.03802394,-0.19273217,0.02804681,0.02255879,-0.08399273,-0.05876464,-0.04077916,-0.11365556,-0.02273899,0.15090204,-0.02104867,0.07747172,-0.0172149,-0.04188521,-0.01017782,-0.13901603,0.0029561,0.17450256,0.0287422,0.11711012,0.03198771,0.05289318,0.03210013,-0.01669364,0.02911056,-0.11261482,0.02048348,0.09626055,0.07818403,0.04295534,0.06920293,-0.0170752,0.05894112,-0.07606546,0.0460021,-0.15445273,0.06720135,-0.0046389,-0.03935006,4.772942696,1121,5.5,10.68
CN2,18C,F,3,CN,0.04584618,-0.11235996,0.22114875,-0.03124659,0.23593744,0.01858389,0.15457121,0.08942786,-0.12190345,0.06271614,-0.19349714,0.04844756,-0.00935217,-0.06007367,0.00436225,-0.01792694,-0.08691762,0.00063415,-0.08363424,0.01862853,-0.15006481,0.02147814,-0.16983376,-0.01110077,-0.19693184,-0.02025633,-0.18451771,-0.06996989,-0.14640085,-0.10326747,-0.09762485,-0.11871736,-0.04788983,-0.12301814,0.00014473,-0.11954038,0.09073867,-0.10310103,0.13888789,-0.08902463,0.18454658,-0.06618402,0.2333328,-0.00784489,0.21902488,0.0512677,0.18834059,0.07522985,0.10224336,0.09855936,0.05541541,0.09898269,0.00609116,0.09441111,-0.05656305,0.08444009,-0.15374561,0.0376983,-0.19461128,0.02616155,0.02208896,-0.08076641,-0.05820161,-0.04074282,-0.11246321,-0.02428381,0.15115628,-0.02271138,0.07753668,-0.01785131,-0.04181538,-0.01016257,-0.13956581,0.00166618,0.17525496,0.02841236,0.11746828,0.03213713,0.05278946,0.03220399,-0.01728197,0.0293727,-0.1131842,0.01961222,0.09983961,0.07827662,0.04544684,0.07074257,-0.01577049,0.06084784,-0.07543593,0.0461738,-0.15570862,0.06414302,0.00070248,-0.04010494,5.104534639,1121,5.5,10.68
CN2,18C,F,4,CN,0.04959944,-0.11396099,0.22293458,-0.02990225,0.23628893,0.01853126,0.14913524,0.09109705,-0.12087774,0.06386787,-0.19017843,0.05340718,-0.01521064,-0.05759816,0.00142756,-0.01705752,-0.09161286,0.00062647,-0.08960142,0.01837147,-0.15047732,0.02070076,-0.16777147,-0.00992261,-0.19395505,-0.02228804,-0.18242307,-0.07061384,-0.14407598,-0.10307318,-0.09564407,-0.11924621,-0.04591469,-0.12429197,0.00226083,-0.12121438,0.09305886,-0.10506725,0.14135539,-0.09059037,0.18682685,-0.066759,0.23383734,-0.00740832,0.22018911,0.05083497,0.18976459,0.07485936,0.10382778,0.09851492,0.05696424,0.09928452,0.00754471,0.09515171,-0.05529626,0.08570005,-0.15279768,0.03837552,-0.19150242,0.02687048,0.02343172,-0.08205537,-0.05887061,-0.04039829,-0.11409762,-0.02316243,0.15195719,-0.02236116,0.07852909,-0.01752429,-0.04087301,-0.01105625,-0.1380015,0.00251083,0.17401393,0.02735978,0.11552892,0.03091643,0.05006099,0.03117203,-0.02088775,0.02890544,-0.11720814,0.01948916,0.0965804,0.07643353,0.04281902,0.06906058,-0.01755873,0.05944967,-0.07672105,0.04607946,-0.15340138,0.067139,-0.00297783,-0.0391576,4.884799961,1121,5.5,10.68
CN2,18C,F,5,CN,0.046288,-0.11227117,0.22178562,-0.03150576,0.23813337,0.01811875,0.15137479,0.08909705,-0.12400685,0.06181481,-0.19325152,0.0515629,-0.00943786,-0.06001863,0.00183761,-0.01710387,-0.08942991,0.00131202,-0.08638333,0.01895868,-0.15259131,0.02120079,-0.16932052,-0.01081547,-0.19490416,-0.02339111,-0.18193223,-0.06972428,-0.14406476,-0.10191089,-0.09590128,-0.11759993,-0.04649871,-0.12185972,0.00134108,-0.11875564,0.09181886,-0.10349483,0.13992408,-0.08946005,0.18538671,-0.06626927,0.23469523,-0.00808243,0.22026159,0.05204167,0.18868391,0.0748883,0.10282866,0.09692608,0.05627132,0.09766183,0.00709967,0.09374117,-0.05548649,0.08462607,-0.15297551,0.03850272,-0.1938054,0.02644203,0.02177658,-0.08147644,-0.05755774,-0.04049858,-0.11151313,-0.02378696,0.15123,-0.02254247,0.07767973,-0.01765528,-0.04158357,-0.0098093,-0.13914573,0.00240138,0.17628826,0.02776104,0.11772222,0.03190818,0.05212585,0.03259534,-0.01896805,0.02946102,-0.11581795,0.01986198,0.09837517,0.07624506,0.04388752,0.06933354,-0.01732627,0.05980898,-0.07724422,0.04622088,-0.15630697,0.06484654,-0.00136235,-0.03930677,4.944541449,1121,5.5,10.68
CN3,18C,F,1,CN,0.04650866,-0.11760743,0.22048877,-0.03012042,0.23874343,0.02245274,0.1362637,0.09304563,-0.1232259,0.06065033,-0.1928181,0.05403695,-0.00685248,-0.05945286,0.003667,-0.01926349,-0.08040386,-0.00050354,-0.07381607,0.02108514,-0.14465923,0.02487759,-0.16973022,-0.00841796,-0.20047302,-0.0191811,-0.1847897,-0.07014475,-0.14790323,-0.10338251,-0.09959773,-0.12092576,-0.04955546,-0.12827816,-0.00051126,-0.12603511,0.09049503,-0.10633565,0.13821323,-0.08966081,0.18296722,-0.06514505,0.23390635,-0.00861471,0.22099026,0.05331669,0.18825587,0.07575049,0.10129189,0.09754789,0.05430486,0.09778302,0.0048166,0.09286369,-0.05807096,0.08248288,-0.15620424,0.03741686,-0.19531242,0.03017922,0.02412585,-0.08364556,-0.05632063,-0.0389273,-0.11194385,-0.02296289,0.15075462,-0.02338142,0.07703983,-0.01849242,-0.04264864,-0.00927959,-0.14043728,0.00332959,0.17945824,0.0286725,0.12263064,0.0317407,0.05908455,0.03201548,-0.00973436,0.02906126,-0.10560227,0.02223806,0.0868589,0.07825917,0.03680689,0.06916698,-0.01951303,0.0587846,-0.07487977,0.04602404,-0.15585833,0.06744728,0.00318964,-0.04047031,3.840176382,1121,5.5,10.68
CN3,18C,F,2,CN,0.04292649,-0.11648879,0.22193635,-0.0329235,0.23933003,0.01703378,0.14198549,0.09421419,-0.12249658,0.06151909,-0.19255957,0.05056558,-0.01124478,-0.05816313,0.0003523,-0.0182811,-0.08429281,-0.00096949,-0.08243837,0.01834616,-0.14622668,0.02148919,-0.16824884,-0.0101027,-0.19604381,-0.01910233,-0.18220652,-0.06832532,-0.1447892,-0.09998347,-0.09715929,-0.11770315,-0.04763689,-0.12543351,0.00098185,-0.12318824,0.09195014,-0.10532521,0.13997939,-0.08966988,0.18541462,-0.06597719,0.23642659,-0.00836142,0.22025246,0.05178486,0.18922971,0.07543094,0.10319279,0.10063227,0.05603377,0.10148342,0.00645722,0.09662262,-0.05631324,0.08578325,-0.15285378,0.03694316,-0.19376975,0.02636796,0.02080959,-0.0831316,-0.05790438,-0.03925737,-0.11231581,-0.02413119,0.15138718,-0.02430942,0.07783053,-0.01822197,-0.04149627,-0.00989577,-0.13938714,0.00128514,0.17815429,0.02674549,0.12006067,0.03130653,0.0549945,0.03198516,-0.0155352,0.02914185,-0.11198145,0.0187254,0.09029363,0.08018952,0.03890498,0.07065637,-0.01899002,0.05980395,-0.07572453,0.04584938,-0.15529123,0.06428099,-0.00197843,-0.03924052,4.141716944,1121,5.5,10.68
CN3,18C,F,3,CN,0.04158527,-0.11241344,0.22463556,-0.03066958,0.24121129,0.01902759,0.14498153,0.09099729,-0.12379007,0.05999924,-0.19365831,0.0517323,-0.01126743,-0.05783637,0.0012499,-0.01755582,-0.08280369,-0.00152333,-0.08091889,0.01855206,-0.14824538,0.02180176,-0.16849317,-0.0106627,-0.19642251,-0.01978679,-0.18294125,-0.06896586,-0.14600006,-0.10222445,-0.09778608,-0.11924892,-0.04796706,-0.1236507,4.89E-05,-0.1195785,0.0901945,-0.1014267,0.13795105,-0.08680326,0.18370054,-0.06500519,0.23797895,-0.00962384,0.21966261,0.05273935,0.18765028,0.07493925,0.10185704,0.09792443,0.05516633,0.09862851,0.0059353,0.09406349,-0.05658434,0.0839103,-0.15355318,0.03744297,-0.19462491,0.0267233,0.01909178,-0.08048877,-0.05871705,-0.03877025,-0.11237326,-0.02463215,0.15337201,-0.02454709,0.07922398,-0.01920568,-0.04099149,-0.0099857,-0.139594,0.00125438,0.17992623,0.0273159,0.12154143,0.03092753,0.05624613,0.03080024,-0.01452913,0.02791527,-0.111927,0.01905277,0.09274376,0.07753293,0.04036042,0.06926908,-0.01854017,0.05920623,-0.07622127,0.04562196,-0.15686768,0.06609745,-0.00149746,-0.03887053,4.534418198,1121,5.5,10.68
CN3,18C,F,4,CN,0.0423069,-0.11610215,0.22406523,-0.03163105,0.239096,0.01725255,0.14172639,0.09248288,-0.12642751,0.05986013,-0.19213862,0.05085208,-0.01204018,-0.05736957,-0.0019691,-0.01722251,-0.08504939,-0.00050685,-0.08111982,0.02033982,-0.14554572,0.02230646,-0.16788134,-0.01077211,-0.19477728,-0.0220803,-0.18086114,-0.06794218,-0.14353132,-0.09939818,-0.09743625,-0.12029375,-0.04745503,-0.12734835,0.00107985,-0.12336965,0.09160843,-0.10467918,0.13949694,-0.08924879,0.18516077,-0.0663639,0.23686841,-0.00896251,0.21924606,0.05085008,0.18819279,0.0739109,0.10282929,0.0993823,0.05582539,0.10095067,0.0062255,0.09696182,-0.0567113,0.08701444,-0.15369603,0.03804048,-0.19305064,0.02564383,0.0205161,-0.08264845,-0.05812457,-0.03930077,-0.11232748,-0.02459806,0.15254568,-0.02445265,0.07886362,-0.01800202,-0.04076575,-0.01016841,-0.13885174,0.00083921,0.1782954,0.02650903,0.12046771,0.03128999,0.05566411,0.03283824,-0.01465664,0.0305825,-0.11102325,0.02046488,0.09071127,0.07885664,0.03925405,0.07092161,-0.01857484,0.06087945,-0.07495702,0.04651246,-0.15772294,0.06512292,-0.00335096,-0.03820395,4.887168564,1121,5.5,10.68
CN3,18C,F,5,CN,0.04438912,-0.11980173,0.22059027,-0.0323538,0.23897368,0.01858339,0.1348757,0.09493524,-0.12108214,0.06365195,-0.19168038,0.05421828,-0.0079475,-0.06071201,0.00281952,-0.01798185,-0.081489,-0.00048613,-0.07896217,0.02024502,-0.14635588,0.02307895,-0.16780941,-0.00920271,-0.19521263,-0.01990074,-0.18254082,-0.06932275,-0.14576704,-0.10177371,-0.0984217,-0.1214327,-0.04840925,-0.1306964,0.00115642,-0.12808841,0.09200157,-0.1068736,0.13943125,-0.08942045,0.18418059,-0.06489289,0.23561361,-0.008528,0.22011736,0.05152192,0.18875246,0.07480589,0.10258533,0.09991708,0.05532271,0.10102133,0.00556339,0.09645984,-0.05751291,0.08599794,-0.15490349,0.03751323,-0.19288423,0.02895726,0.02258185,-0.08602854,-0.05568441,-0.04001679,-0.11037741,-0.02375511,0.15096431,-0.02226104,0.07765626,-0.01737206,-0.04124644,-0.0094573,-0.13838159,0.00295722,0.17851133,0.02720649,0.12086182,0.03141776,0.05630921,0.03216595,-0.01364921,0.029689,-0.11000006,0.02042344,0.08548726,0.07895786,0.03505792,0.07031868,-0.02159848,0.06016865,-0.07715558,0.04690155,-0.15471997,0.06931558,-1.12E-05,-0.04007078,4.154421286,1121,5.5,10.68
