nest_ID;laying_sequence;laying_date;collection_date;albumen_cort;yolk_cort;egg_weight;albumen_weight;yolk_weight
22;1;5-May-13;9-May-13;68,3;228,1;87,67;54,08;21,05
22;2;6-May-13;9-May-13;131,7;322,5;86,76;55,83;21,75
22;3;8-May-13;9-May-13;165,5;449,1;84,04;56,11;22,65
70;1;11-May-13;19-May-13;67,9;75;89,68;44,57;35,8
70;2;12-May-13;19-May-13;76;135,9;87,15;40,3;37,67
95;1;14-May-13;19-May-13;73,7;163,2;73,15;39,36;26,98
95;2;16-May-13;19-May-13;67,5;185,8;68,92;40,1;22
95;3;18-May-13;19-May-13;42,4;173,4;72,03;47,81;17,46
119;1;17-May-13;21-May-13;52,4;101;80,42;47,33;25,9
119;2;18-May-13;21-May-13;48,4;169,9;82,54;53,28;21,97
119;3;20-May-13;21-May-13;66,1;155;81,26;50,7;19,96
151;1;20-May-13;26-May-13;43,9;78,9;80,28;30,57;38,09
151;2;22-May-13;26-May-13;45,6;128,7;75,68;31,98;34,34
151;3;24-May-13;26-May-13;114;327,4;67,92;41,59;19,09
183;1;23-May-13;31-May-13;75,9;160,3;75,39;28,99;36
183;2;25-May-13;31-May-13;82,1;189,5;74,17;31,14;30,38
183;3;27-May-13;31-May-13;76,3;328,1;72,85;38,88;24,18
216;1;26-May-13;01-jun-13;42,9;193,1;84,31;36,05;38,49
216;2;28-May-13;01-jun-13;57;304,1;80,36;38,01;32,56
216;3;30-May-13;01-jun-13;79,3;426,8;76,36;46,42;22,73
246;1;29-May-13;05-jun-13;70,6;213;68,88;25,44;35
246;2;31-May-13;05-jun-13;82,1;383;70,69;32,19;30,56
246;3;03-jun-13;05-jun-13;166,3;762,5;64,83;37,27;18,7
