"","COMMON_NAME","SPP_NAME","T_MAX","MASS","Mb_MAX","IDDI"
"Ko_breviceps","Pygmy sperm whale ","Kogia breviceps",18,151,59.2,2
"De_leucas","Beluga ","Delphinapterus leucas",22.9,1150,34.4,7.55
"Mo_monoceros","Narwhal ","Monodon monoceros",26.2,1500,78.7,3.15
"Ph_phocoena","Harbour porpoise ","Phocoena phocoena",5.35,55,42.6,1.1565
"Or_orca","Killer whale ","Orcinus orca",13.3,3850,30.7,3.433333333
"St_attenuata","Bridled dolphin ","Stenella attenuata",5,105,25.4,3.216
"Hy_ampullatus","Northern bottlenose whale  ","Hyperoodon ampullatus",70.5,5800,63.4,29.709
"Me_densirostris","Blainville's beaked whale","Mesoplodon densirostris",66.7333333333333,842.922360105591,69.2,60.5833333333333
"Zi_cavirostris","Cuvier's beaked whale","Ziphius cavirostris",103.466666666667,1556.70116490992,43.2,62.6166666666667
"Pe_electra","Melon-headed whale","Peponocephala electra",11.3333333333333,169.638007257456,24.9804351871415,2.71666666666667
"Gl_macrorhynchus","Short-finned pilot whale","Globicephala macrorhynchus",22.3666666666667,888.500870359599,68.2,5.35
"Ph_macrocephalus","Sperm whale","Physeter macrocephalus",62.1,11774.4721304032,70,7.91666666666667
