"","Ptt","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Species"
"1",108417,NA,"6/13/11 0:00","16:00:00","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
"2",108417,NA,"6/13/11 0:00","16:02:30","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
"3",108417,NA,"6/13/11 0:00","16:05:00","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
"4",108417,NA,"6/13/11 0:00","16:07:30","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
"5",108417,NA,"6/13/11 0:00","16:10:00","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
"6",108417,NA,"6/13/11 0:00","16:12:30","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
"7",108417,NA,"6/13/11 0:00","16:15:00","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
"8",108417,NA,"6/13/11 0:00","16:17:30","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
"9",108417,NA,"6/13/11 0:00","16:20:00","1",25.3029995,-77.99200439,1268,211,"Cuvier's beaked whale"
"10",108417,NA,"6/13/11 0:00","16:22:30","1",25.3029995,-77.99200439,1057,211.5,"Cuvier's beaked whale"
"11",108417,NA,"6/13/11 0:00","16:25:00","1",25.3029995,-77.99200439,1057,211.5,"Cuvier's beaked whale"
"12",108417,NA,"6/13/11 0:00","16:27:30","1",25.3029995,-77.99200439,1057,211.5,"Cuvier's beaked whale"
"13",108417,NA,"6/13/11 0:00","16:30:00","1",25.3029995,-77.99200439,872,185,"Cuvier's beaked whale"
"14",108417,NA,"6/13/11 0:00","16:32:30","1",25.3029995,-77.99200439,713,132,"Cuvier's beaked whale"
"15",108417,NA,"6/13/11 0:00","16:35:00","1",25.3029995,-77.99200439,476,105.5,"Cuvier's beaked whale"
"16",108417,NA,"6/13/11 0:00","16:37:30","1",25.3029995,-77.99200439,238,53,"Cuvier's beaked whale"
"17",108417,NA,"6/13/11 0:00","16:40:00","1",25.3029995,-77.99200439,33,6.5,"Cuvier's beaked whale"
"18",108417,NA,"6/13/11 0:00","16:42:30","1",25.3029995,-77.99200439,33,6.5,"Cuvier's beaked whale"
"19",108417,NA,"6/13/11 0:00","16:45:00","1",25.3029995,-77.99200439,139,46.5,"Cuvier's beaked whale"
"20",108417,NA,"6/13/11 0:00","16:47:30","1",25.3029995,-77.99200439,185,53,"Cuvier's beaked whale"
"21",108417,NA,"6/13/11 0:00","16:50:00","1",25.3029995,-77.99200439,304,66,"Cuvier's beaked whale"
"22",108417,NA,"6/13/11 0:00","16:52:30","1",25.3029995,-77.99200439,304,66,"Cuvier's beaked whale"
"23",108417,NA,"6/13/11 0:00","16:55:00","1",25.3029995,-77.99200439,304,66,"Cuvier's beaked whale"
"24",108417,NA,"6/13/11 0:00","16:57:30","1",25.3029995,-77.99200439,238,53,"Cuvier's beaked whale"
"25",108417,NA,"6/13/11 0:00","17:00:00","1",25.3029995,-77.99200439,139,46.5,"Cuvier's beaked whale"
"26",108417,NA,"6/13/11 0:00","17:02:30","1",25.3029995,-77.99200439,33,6.5,"Cuvier's beaked whale"
"27",108417,NA,"6/13/11 0:00","17:05:00","1",25.3029995,-77.99200439,33,6.5,"Cuvier's beaked whale"
"28",108417,NA,"6/13/11 0:00","17:07:30","1",25.3029995,-77.99200439,139,46.5,"Cuvier's beaked whale"
"29",108417,NA,"6/13/11 0:00","17:10:00","1",25.3029995,-77.99200439,185,53,"Cuvier's beaked whale"
"30",108417,NA,"6/13/11 0:00","17:12:30","1",25.3029995,-77.99200439,238,53,"Cuvier's beaked whale"
"31",108417,NA,"6/13/11 0:00","17:15:00","1",25.3029995,-77.99200439,238,53,"Cuvier's beaked whale"
"32",108417,NA,"6/13/11 0:00","17:17:30","1",25.3029995,-77.99200439,238,53,"Cuvier's beaked whale"
"33",108417,NA,"6/13/11 0:00","17:20:00","1",25.3029995,-77.99200439,238,53,"Cuvier's beaked whale"
"34",108417,NA,"6/13/11 0:00","17:22:30","1",25.3029995,-77.99200439,139,46.5,"Cuvier's beaked whale"
"35",108417,NA,"6/13/11 0:00","17:25:00","1",25.3029995,-77.99200439,46,20,"Cuvier's beaked whale"
"36",108417,NA,"6/13/11 0:00","17:27:30","1",25.3029995,-77.99200439,33,6.5,"Cuvier's beaked whale"
"37",108417,NA,"6/13/11 0:00","17:30:00","1",25.3029995,-77.99200439,46,20,"Cuvier's beaked whale"
"38",108417,NA,"6/13/11 0:00","17:32:30","1",25.3029995,-77.99200439,139,46.5,"Cuvier's beaked whale"
"39",108417,NA,"6/13/11 0:00","17:35:00","1",25.3029995,-77.99200439,185,53,"Cuvier's beaked whale"
"40",108417,NA,"6/13/11 0:00","17:37:30","1",25.3029995,-77.99200439,238,53,"Cuvier's beaked whale"
"41",108417,NA,"6/13/11 0:00","17:40:00","1",25.3029995,-77.99200439,238,53,"Cuvier's beaked whale"
"42",108417,NA,"6/13/11 0:00","17:42:30","1",25.3029995,-77.99200439,185,53,"Cuvier's beaked whale"
"43",108417,NA,"6/13/11 0:00","17:45:00","1",25.3029995,-77.99200439,139,46.5,"Cuvier's beaked whale"
"44",108417,NA,"6/13/11 0:00","17:47:30","1",25.3029995,-77.99200439,66,26.5,"Cuvier's beaked whale"
"45",108417,NA,"6/13/11 0:00","17:50:00","1",25.3029995,-77.99200439,33,6.5,"Cuvier's beaked whale"
"46",108417,NA,"6/13/11 0:00","17:52:30","1",25.3029995,-77.99200439,33,6.5,"Cuvier's beaked whale"
"47",108417,NA,"6/13/11 0:00","17:55:00","1",25.3029995,-77.99200439,46,20,"Cuvier's beaked whale"
"48",108417,NA,"6/13/11 0:00","17:57:30","1",25.3029995,-77.99200439,238,53,"Cuvier's beaked whale"
"49",108417,NA,"6/13/11 0:00","18:00:00","1",25.3029995,-77.99200439,476,105.5,"Cuvier's beaked whale"
"50",108417,NA,"6/13/11 0:00","18:02:30","1",25.3029995,-77.99200439,713,132,"Cuvier's beaked whale"
"51",108417,NA,"6/13/11 0:00","18:05:00","1",25.3029995,-77.99200439,1057,211.5,"Cuvier's beaked whale"
"52",108417,NA,"6/13/11 0:00","18:07:30","1",25.3029995,-77.99200439,1057,211.5,"Cuvier's beaked whale"
"53",108417,NA,"6/13/11 0:00","18:10:00","1",25.3029995,-77.99200439,1268,211,"Cuvier's beaked whale"
"54",108417,NA,"6/13/11 0:00","18:12:30","1",25.3029995,-77.99200439,1268,211,"Cuvier's beaked whale"
"55",108417,NA,"6/13/11 0:00","18:15:00","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
"56",108417,NA,"6/13/11 0:00","18:17:30","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
"57",108417,NA,"6/13/11 0:00","18:20:00","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
"58",108417,NA,"6/13/11 0:00","18:22:30","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
"59",108417,NA,"6/13/11 0:00","18:25:00","1",25.3029995,-77.99200439,1268,211,"Cuvier's beaked whale"
"60",108417,NA,"6/13/11 0:00","18:27:30","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
"61",108417,NA,"6/13/11 0:00","18:30:00","1",25.3029995,-77.99200439,1434,166,"Cuvier's beaked whale"
