"","PTT","Species","Age","How.age","Sex","How.sex","Deploy.date","Tag.type","DURATION_MAX","IDDI_MED","MB","MASS_MED"
"1",93222,"Blainville's beaked whale","SA","Long-term follow","M","Genetic","5/5/09 13:06","AM-S240A_Fibreglass",NA,NA,69.2,306.089128440059
"2",93217,"Blainville's beaked whale","SA","Long-term follow","F","Characters","5/5/09 14:39","AM-S240A_Fibreglass",NA,NA,69.2,116.395010930411
"3",93232,"Blainville's beaked whale","A","Maturity characters","M","Characters","5/7/09 17:56","AM-S240A_Fibreglass",NA,NA,69.2,817.80070940684
"4",93242,"Blainville's beaked whale","A","Maturity characters","F","Characters","10/6/09 19:14","AM-S240A_Fibreglass",NA,NA,69.2,868.044010804342
"5",52627,"Blainville's beaked whale","A","Maturity characters","M","Characters","10/27/10 12:00","AM-S240B",NA,NA,69.2,817.80070940684
"6",108418,"Blainville's beaked whale","A","Maturity characters","F","Characters","6/5/11 14:00","MK10-A",NA,NA,69.2,868.044010804342
"7",108419,"Blainville's beaked whale","A","With dependent, and long term follow","F","With dependent","6/5/11 14:00","MK10-A",3584,4096,69.2,868.044010804342
"8",111664,"Blainville's beaked whale","A","Maturity characters","F","Characters","5/6/12 13:00","MK10-A",3636,3072,69.2,868.044010804342
"9",111670,"Blainville's beaked whale","A","Maturity characters","F","Genetic","5/6/12 19:14","MK10-A",7042,3312,69.2,868.044010804342
"10",111682,"Blainville's beaked whale","A","Maturity characters","M","Characters","6/22/12 17:45","MK10-A",4004,3958,69.2,817.80070940684
"11",111680,"Blainville's beaked whale","A","Maturity characters","F","Characters","6/23/12 13:41","MK10-A",3328,5258,69.2,868.044010804342
"12",112032,"Blainville's beaked whale","A","Maturity characters","M","Characters","6/23/12 14:04","MK10-A",NA,NA,69.2,817.80070940684
"13",111676,"Blainville's beaked whale","A","Maturity characters","F","Characters","6/30/12 11:00","MK10-A",NA,NA,69.2,868.044010804342
"14",111675,"Blainville's beaked whale","A","Maturity characters","M","Characters","7/1/12 11:00","MK10-A",3072,3185,69.2,817.80070940684
"15",111683,"Blainville's beaked whale","U","Visual size","U","Characters","7/1/12 11:00","MK10-A",NA,NA,69.2,587.066569622201
"16",129715,"Blainville's beaked whale","A","Maturity characters","F","Characters","11/2/13 12:00","MK10-B",NA,NA,69.2,868.044010804342
"17",93221,"Cuvier's beaked whale","A","Maturity characters","F","With dependent","5/6/09 14:46","AM-S240A_Fibreglass",NA,NA,43.2,1512.12959325844
"18",108417,"Cuvier's beaked whale","A","Maturity characters","M","Characters","6/13/11 12:00","MK10-A",4384,3757,43.2,1601.2727365614
"19",111681,"Cuvier's beaked whale","A","Maturity characters","M","Characters","6/15/12 16:55","MK10-A",4014,2504,43.2,1601.2727365614
"20",129713,"Cuvier's beaked whale","A","Maturity characters","M","Characters","6/2/13 17:15","MK10-B",4270,3071,43.2,1601.2727365614
"21",129714,"Cuvier's beaked whale","A","Maturity characters","M","Characters","6/14/13 17:26","MK10-B",5534,4307,43.2,1601.2727365614
