"","Ptt","RDate","Period","T2460","T2224","T2022","T1820","T1618","T1416","T1214","T1012","T810","T68","T46","T04","Species"
"1",52627,"10/28/10 12:00",12,44.9,6.9,3.3,3.5,3.3,3.3,3.5,4.4,6.6,14.4,6,0,"Blainville's beaked whale"
"2",52627,"10/28/10 17:00",17,51.7,11.3,4.8,1.8,2.3,2.1,1.8,2.5,4.2,9.5,7.9,0,"Blainville's beaked whale"
"3",52627,"10/28/10 23:00",23,64.8,1.9,1.1,1.1,1.1,1.4,1.4,1.7,2.2,4.2,19.1,0,"Blainville's beaked whale"
"4",52627,"10/29/10 5:00",5,93.4,0.4,0,0,0.4,0.4,0.4,0.4,0.4,0.4,4.1,0,"Blainville's beaked whale"
"5",52627,"10/30/10 11:00",11,56.6,5.8,2.8,2.3,3,2.6,2.3,2.6,8.1,6.7,7.2,0,"Blainville's beaked whale"
"6",52627,"10/30/10 17:00",17,68.7,2.8,4.4,2.2,1.9,1.9,2.8,1.7,1.9,6.9,4.7,0,"Blainville's beaked whale"
"7",52627,"10/30/10 23:00",23,46.5,1.7,1.7,2,2.6,2.2,2.4,4.1,15.9,3.9,17.2,0,"Blainville's beaked whale"
"8",52627,"10/30/10 5:00",5,71.8,1.3,1.3,1.3,1.3,1.3,1.6,1.6,1.6,2.6,14.3,0,"Blainville's beaked whale"
"9",52627,"10/31/10 11:00",11,47,8.7,3.9,2.2,3.9,3.1,3.1,3.7,5,10.3,9,0,"Blainville's beaked whale"
"10",52627,"10/31/10 17:00",17,49.2,4.9,7,9.3,4.4,3.5,3.2,2.6,1.9,3,11.1,0,"Blainville's beaked whale"
"11",52627,"10/31/10 23:00",23,61.6,2.5,1.7,1.7,1.9,1.9,1.9,2.2,2.8,4.7,17.1,0,"Blainville's beaked whale"
"12",52627,"10/31/10 5:00",5,64.7,1.4,1.4,1.7,1.9,1.9,1.9,2.2,2.5,3.3,16.9,0,"Blainville's beaked whale"
"13",52627,"11/1/10 11:00",11,42.1,7,6.6,2.8,3,2.4,2.6,3.5,6.5,10.5,13.1,0,"Blainville's beaked whale"
"14",52627,"11/1/10 17:00",17,55.7,5.8,3,1.4,2.3,1.9,1.9,2.1,2.3,7,16.7,0,"Blainville's beaked whale"
"15",52627,"11/1/10 23:00",23,53,4.2,2.5,2.1,3,2.8,2.8,4.2,7.2,6.7,11.6,0,"Blainville's beaked whale"
"16",52627,"11/1/10 5:00",5,58.8,2.3,3.2,1.6,1.6,1.9,1.9,2.1,2.5,4.2,19.9,0,"Blainville's beaked whale"
"17",52627,"11/2/10 11:00",11,54.7,4.4,4.4,1.8,2.8,2.8,3,3,5.3,8.5,9.2,0,"Blainville's beaked whale"
"18",52627,"11/2/10 17:00",17,48.1,5.1,5.8,3.7,3.9,2.3,2.3,2.8,3.2,9,13.7,0,"Blainville's beaked whale"
"19",52627,"11/2/10 23:00",23,63.4,2.5,1.4,1.7,1.9,1.7,1.7,2.2,4.2,5.8,13.6,0,"Blainville's beaked whale"
