population	latitude	longitude
E35	47.76505	15.81031
F32	47.50109	14.93233
G23	47.2672	11.7432
G25	47.2227	12.6264
G31	47.27315	14.351
H18	47.1644	10.2857
H20	47.1613	10.7879
H22	47.0733	11.3493
H24	47.0377	12.1833
H26	47.12	12.8291
H28	47.09826	13.4264
I15	46.8686	9.2352
I17	46.9186	9.8513
I19	46.9692	10.3526
I21	46.891	11.1203
I23	46.9502	11.8208
I25	46.9883	12.595
I27	46.974	13.145
I29	46.91	13.895
J14	46.6731	8.6823
J16	46.7324	9.6035
J18	46.7167	10.1606
J22	46.708	11.585
J26	46.6272	12.7291
K11	46.4468	7.8621
K13	46.5327	8.5618
K15	46.5782	9.2661
K17	46.5827	9.835
K19	46.5239	10.6079
K23	46.4797	11.8138
L10	46.2484	7.6177
L12	46.3775	8.2848
L18	46.3238	10.1
L20	46.2422	10.8827
L22	46.3502	11.5586
M09	46.017	7.2866
M11	46.0533	7.8231
N10	45.9061	7.3528
P08	45.4852	6.9674
P10	45.5947	7.4906
Q09	45.3186	7.1652
R06	45.0068	6.0002
R08	45.1926	6.752
S07	44.8027	6.4393
T08	44.6965	6.9886
