population	latitude	longitude
D28	47.83104	13.61394
D30	47.80243	14.01111
D34	47.97057	15.60391
E21	47.618	11.2746
E23	47.6589	11.9214
E25	47.7497	12.5095
E27	47.72127	13.00763
E29	47.68947	13.97504
E31	47.65154	14.39405
E33	47.63658	15.16891
E35	47.71323	15.74831
F18	47.4276	10.3263
F20	47.5359	10.7553
F22	47.5099	11.4856
F24	47.5611	12.2432
F26	47.4858	12.9539
F28	47.51508	13.65838
F30	47.52067	14.02815
F32	47.52316	14.9485
G15	47.2302	9.2861
G17	47.2673	9.8761
G19	47.282	10.3589
G21	47.2974	11.3064
G23	47.3963	11.6738
G25	47.3383	12.4928
G27	47.20558	13.28689
G29	47.27349	13.75594
G31	47.37778	14.51803
H12	47.0239	8.227
H14	47.0205	8.8585
H16	47.1052	9.4148
H18	47.1651	10.2884
H20	47.0397	10.8675
H22	47.0437	11.6262
H24	47.0542	12.1756
H26	47.0823	12.8426
H28	47.09926	13.41018
H30	47.04417	14.29341
H32	47.15081	14.99609
I11	46.8509	7.982
I13	46.8365	8.5456
I15	46.8476	9.2456
I17	46.9186	9.8514
I19	46.9692	10.3526
I21	46.8954	11.1062
I23	46.9077	11.7872
I27	46.974	13.145
J10	46.6933	7.5372
J12	46.6237	8.0925
J14	46.6812	8.6844
J16	46.7421	9.5989
J18	46.6347	10.2867
J20	46.7289	10.6843
J22	46.7836	11.3519
J24	46.6105	12.0161
J26	46.6244	12.7244
J28	46.758	13.463
K09	46.532	7.1572
K11	46.4523	7.8641
K13	46.5704	8.3969
K15	46.5086	9.1799
K17	46.5846	9.8306
K19	46.5357	10.4091
K21	46.5141	11.0438
K23	46.5058	11.6988
K25	46.4786	12.5494
K27	46.572	13.297
K29	46.438	13.748
K31	46.503	14.487
L08	46.3109	6.767
L10	46.2475	7.6153
L12	46.3731	8.2835
L16	46.3928	9.4054
L18	46.3285	10.102
L20	46.2175	10.9
L22	46.3566	11.5613
L24	46.3841	12.255
L26	46.3716	12.9244
L28	46.39	13.652
L32	46.37	14.905
M07	46.0069	6.488
M09	46.0388	7.1857
M11	46.053	7.8242
M17	46.0701	9.9201
M19	46.0127	10.4038
M21	46.1491	11.0483
M23	46.1022	11.8155
M25	46.1236	12.4788
M29	46.178	13.558
N06	45.841	6.2904
N10	45.8875	7.3383
N18	45.837	10.2512
N20	45.8102	10.8886
N22	45.9269	11.415
O05	45.6752	5.8332
O07	45.6765	6.6518
O09	45.7931	7.0969
O21	45.7841	11.1749
P06	45.5977	6.1848
P08	45.4877	6.9759
P10	45.4	7.3711
Q05	45.3913	5.8915
Q07	45.2375	6.5336
Q09	45.294	7.1495
R04	45.0054	5.5693
R06	45.0199	6.0215
R08	45.1793	6.7009
S03	44.9078	5.3072
S05	44.9906	5.9344
S07	44.8108	6.4502
S09	44.9028	7.1383
T04	44.6829	5.573
T06	44.7089	6.1644
T08	44.685	6.9817
U03	44.4872	5.2696
U07	44.4918	6.6438
U09	44.5484	7.1278
V04	44.2614	5.6242
V06	44.2345	6.0353
V08	44.3402	6.7983
V10	44.2408	7.4531
W03	44.1785	5.2832
W05	44.1224	5.8345
W07	44.1156	6.6537
W09	44.1919	7.0481
W11	44.1794	7.7881
X06	43.8797	6.3081
X08	43.9281	6.825
X10	43.9521	7.4553
