population	latitude	longitude
E29	47.68687	13.96684
E31	47.62666	14.37467
F18	47.4187	10.3278
F20	47.4179	10.7583
F22	47.4707	11.6483
F24	47.5132	12.1633
F28	47.52042	13.62618
F30	47.41222	14.21958
F32	47.52617	14.82154
F34	47.58098	15.80544
G19	47.2741	10.3678
G21	47.2099	11.042
G23	47.3161	11.7656
G25	47.3363	12.4884
G27	47.21338	13.28255
G29	47.28525	13.77082
G31	47.26584	14.37805
G33	47.21775	15.05172
H16	47.073	9.6124
H20	47.0302	10.8673
H22	47.0796	11.3688
H24	47.0391	12.1882
H26	47.1168	12.8314
H28	47.10019	13.42551
H30	47.05351	14.16501
H32	47.05471	14.85659
I11	46.9004	7.9817
I13	46.8155	8.505
I15	46.8502	9.243
I17	46.8056	9.8939
I19	46.9704	10.3663
I21	46.8447	11.0233
I23	46.9141	11.793
I25	46.9875	12.5811
I27	46.981	13.156
I29	46.915	13.876
I31	46.833	14.665
I33	46.841	15.017
J10	46.6816	7.5208
J12	46.6333	8.0833
J14	46.7638	8.9948
J16	46.7276	9.5983
J18	46.7156	10.159
J20	46.7226	10.8557
J22	46.6894	11.5663
J24	46.6494	12.1736
J26	46.6311	12.7283
J28	46.758	13.47
J30	46.703	14.302
J32	46.788	14.945
K09	46.5533	7.1992
K11	46.4363	7.8616
K13	46.5954	8.5612
K15	46.5255	9.3305
K17	46.5263	9.8055
K19	46.5241	10.5979
K21	46.5008	11.0747
K23	46.5172	11.7552
K25	46.508	12.4055
K27	46.552	13.278
K29	46.502	13.72
K31	46.42	14.498
K33	46.495	15.26
L08	46.3385	6.7898
L10	46.2453	7.6122
L12	46.2533	8.0237
L14	46.3912	8.7462
L16	46.3989	9.4034
L18	46.2603	10.326
L20	46.205	10.7291
L22	46.3463	11.5519
L24	46.3838	12.2188
L26	46.3694	12.9249
M07	46.1438	6.6037
M09	46.0277	7.0864
M11	46.0529	7.8249
M13	46.0953	8.4772
M15	46.164	9.1622
M17	46.0719	9.9187
M19	46.0342	10.393
M21	46.1444	11.0472
M23	46.0936	11.8111
N08	45.963	6.8881
N10	45.9194	7.5297
N12	45.9361	8.21
N16	46.0093	9.4929
N18	45.837	10.2512
N20	45.8027	10.8911
N22	45.9975	11.4708
O07	45.6236	6.5195
O09	45.7853	7.0914
O11	45.745	7.8383
O21	45.7758	11.178
P06	45.4197	6.1702
Q05	45.2136	5.9809
Q07	45.3933	6.463
Q09	45.3045	7.1571
R06	45.0838	6.1459
R08	45.196	6.8945
R10	45.1889	7.3078
S07	44.9606	6.4873
S09	44.9022	7.0883
U07	44.5106	6.6435
U09	44.5199	7.2806
