76	58	2	1
ACA_AAC_1.0
ACA_AAC_2.0
ACA_AAC_3.0
ACA_AAC_4.0
ACA_AAC_5.0
ACA_AAC_6.0
ACA_AAC_7.0
ACA_AAC_8.0
ACA_AAC_9.0
ACA_AAC_10.0
ACA_AAC_11.0
ACA_AAC_12.0
ACA_AAC_13.0
ACA_AAC_14.0
ACA_AAC_15.0
ACA_AAC_16.0
ACA_AAC_17.0
ACA_AAC_19.0
ACA_AAC_20.0
ACA_AAC_21.0
ACA_ACG_1.0
ACA_ACG_2.0
ACA_ACG_3.0
ACA_ACG_4.0
ACA_ACG_5.0
ACA_ACG_6.0
ACA_ACG_7.0
ACA_ACG_8.0
ACA_ACG_9.0
ACA_ACG_10.0
ACA_ACG_11.0
ACA_ACG_12.0
ACA_ACG_13.0
ACA_ACG_14.0
ACA_ACG_15.0
ACA_ACG_16.0
ACA_ACG_17.0
ACA_ACG_17.1
ACA_ACG_18.0
ACA_ACG_20.0
ACA_ACG_21.0
ACA_ACG_23.0
ACA_AGC_1.0
ACA_AGC_2.0
ACA_AGC_3.0
ACA_AGC_4.0
ACA_AGC_5.0
ACA_AGC_6.0
ACA_AGC_7.0
ACA_AGC_8.0
ACA_AGC_9.0
ACA_AGC_10.0
ACA_AGC_11.0
ACA_AGC_12.0
ACA_AGC_13.0
ACA_AGC_14.0
ACA_AGC_15.0
ACA_AGC_16.0
1	2	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	1	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	2	1	1	2	2	2	2	1	1	2	1	2	2	1	1
1	2	1	2	2	1	2	1	1	2	1	2	1	2	1	1	2	2	2	2	2	2	1	2	1	2	1	2	2	1	1	2	1	1	1	1	2	2	2	2	2	1	2	2	2	1	2	1	2	1	1	1	1	2	1	2	1	1	1
1	2	2	2	2	1	2	1	2	2	1	2	1	2	1	1	2	1	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	1	1	2	2	2	1	1	1	1	2	2	1	1	1
2	2	1	2	2	1	2	2	2	2	1	2	1	2	1	1	1	1	2	2	2	2	1	2	1	2	1	2	2	1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	2	1	1	2	2	2	1	1	1	1	1	2	2	2	1
2	1	1	2	1	1	2	1	1	2	2	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	2	1	1	2	2	1	2	1	2	1	2	1	1	1	1	2	1	1	1	1	2	2	2	2	1
3	2	1	2	2	1	2	1	1	2	1	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	2	1	1	1
3	2	1	2	2	1	2	1	1	2	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	2	2	2	1	2	1	2	1	1	1	1	2	2	1	1
3	2	1	2	2	1	2	2	1	2	1	2	1	2	1	1	1	1	2	2	2	2	1	2	2	2	1	1	1	2	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2	1	2	1	1	1	1	1	1	2	1	2	2	2	1
4	2	1	2	2	1	2	1	2	2	1	2	1	2	1	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	2	1	1	2	2	2	1	1	1	1	1	2	1	1	1
4	2	1	1	2	1	2	2	1	2	1	2	1	2	1	1	1	1	2	2	2	2	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	2	2	2	2	1	1	2	2	1	1	1	1	1	2	1	1	1
4	2	1	2	2	1	2	2	2	2	1	2	1	2	1	2	1	1	2	2	2	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1
5	0	1	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	2	2	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	2	2	1	2	2	2	2	1	1	2	2	2	1	1	1	1	1	2	1	1	1
5	0	1	2	2	2	1	1	1	2	1	1	1	2	0	1	2	1	2	2	2	1	1	2	1	2	1	2	1	1	2	1	1	1	2	2	1	2	2	2	1	2	2	1	2	1	2	1	1	1	2	2	1	1	1	2	2	1	1
5	0	1	2	2	2	2	1	2	2	1	2	1	2	1	1	1	2	2	2	2	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1	2	1	2	1	1	1
6	2	1	2	2	1	2	1	1	2	1	2	1	2	1	2	1	1	2	2	2	2	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1	2	2	0	2	1	2	2	2	1	2	1	1	2	1	2	1	2	1	2	1	1	1
6	2	1	2	2	1	1	2	1	2	1	2	1	2	1	1	2	2	2	2	2	2	1	2	2	2	1	1	1	1	2	1	1	1	1	2	1	2	2	2	2	2	2	1	2	1	1	2	2	1	1	1	1	1	1	2	2	2	1
6	2	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	1	2	2	2	2	2	2	1	2	1	2	2	2	1	1	1	1	1	2	1	2	2	2	2	1	2	1	2	1	2	2	2	2	1	1	1	2	1	2	1	1	1
7	2	1	2	2	1	2	1	1	2	1	1	1	2	1	1	2	1	2	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	2	2	1	2	1	1	2	1	1	1	1	1	2	2	1	1
7	2	2	2	2	1	1	1	1	2	1	2	1	2	1	2	1	1	2	2	2	2	1	2	1	2	1	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	1	2	2	2	1
7	2	1	2	2	2	2	1	1	2	1	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	1	2	2	1	2	1	2	1	2	1	2	1	1	1
8	2	2	2	2	1	2	1	1	2	1	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	1	1	2	1	1	1	1	1	1	2	1	2	1	2	2	2	2	2	2	1	2	1	1	2	1	1	2	1	1	2	2	2	1
