population	latitude	longitude
D28	47.83104	13.61394
D34	47.81929	15.50661
E21	47.6146	11.3021
E23	47.6545	11.9244
E25	47.7089	12.3362
E27	47.72127	13.00763
E29	47.68731	13.93728
E31	47.60971	14.59342
E33	47.62026	15.14901
E35	47.703	15.73213
F20	47.535	10.7553
F22	47.5104	11.4894
F24	47.5607	12.2417
F26	47.4839	12.9675
F30	47.52062	14.01673
G15	47.2504	9.3333
G17	47.2664	9.96
G19	47.2811	10.3589
G21	47.3149	11.2878
G23	47.3952	11.6693
G25	47.2227	12.6264
G27	47.207	13.29161
G31	47.27315	14.351
H14	47.0012	8.9627
H16	47.1069	9.4154
H18	47.1595	10.2704
H22	47.0756	11.3508
H26	47.0824	12.8454
H28	47.16154	13.38829
H30	47.027	14.33239
I11	46.8509	7.982
I13	46.8161	8.507
I15	46.8737	9.2333
I17	46.9263	9.8495
I19	46.8422	10.475
I21	46.9812	11.3314
I27	46.974	13.15
J10	46.6938	7.538
J12	46.6323	8.0844
J14	46.7748	8.9848
J16	46.7598	9.5923
J18	46.6323	10.285
J24	46.6491	12.1572
J26	46.6233	12.7266
J28	46.733	13.427
K17	46.5836	9.8291
K19	46.5137	10.4091
K23	46.5552	11.8047
K25	46.5133	12.3963
K27	46.572	13.297
K29	46.442	13.74
K31	46.503	14.498
L08	46.3104	6.7676
L10	46.3952	7.6087
L12	46.3808	8.2873
L18	46.3322	10.0987
L20	46.2133	10.9133
L22	46.3605	11.5652
L24	46.3436	12.0791
L26	46.3655	12.92
L28	46.392	13.634
L30	46.38	14.246
L32	46.347	14.67
M07	46.0085	6.4833
M15	46.0647	9.0783
M19	46.0481	10.4039
M21	46.1488	11.0486
M23	46.1025	11.8166
M25	46.1283	12.4855
N16	46	9.4929
N18	45.9687	10.0435
N20	45.9308	10.6791
N22	45.9838	11.378
O19	45.7936	10.3836
O21	45.78	11.1772
W11	44.1697	7.7881
