population	latitude	longitude
D28	47.83027	13.61392
D30	47.80052	14.009
D34	47.80463	15.49182
E21	47.6066	11.3159
E23	47.6478	11.9299
E25	47.7041	12.3504
E27	47.72127	13.00763
E29	47.68643	13.94179
E31	47.60921	14.5931
E33	47.63052	15.16579
E35	47.70118	15.71899
F18	47.418	10.3318
F20	47.535	10.7553
F22	47.5104	11.4894
F24	47.5602	12.3189
F26	47.485	12.9588
F30	47.41222	14.21958
F32	47.5302	14.82576
G15	47.2305	9.299
G17	47.2708	9.8822
G19	47.2756	10.3643
G21	47.2964	11.3044
G23	47.3179	11.7688
G25	47.3344	12.4955
G27	47.20623	13.27993
G29	47.28525	13.77082
G31	47.27315	14.351
G33	47.22204	15.05056
H14	47.019	8.8666
H16	47.1052	9.416
H18	47.1644	10.2932
H20	47.1453	10.7931
H22	47.0762	11.3557
H24	47.0392	12.1889
H26	47.0702	12.8599
H28	47.10019	13.42551
H30	47.0147	14.32953
H32	47.05471	14.85659
I11	46.8479	7.9886
I13	46.8365	8.5456
I15	46.8502	9.243
I17	46.8082	9.898
I19	46.9706	10.3662
I21	46.8907	11.1202
I23	46.8702	11.793
I25	46.9263	12.6
I27	46.975	13.15
I29	46.916	13.888
I31	46.837	14.653
I33	46.844	15.017
J10	46.6905	7.5332
J12	46.6311	8.0838
J14	46.7681	8.9833
J16	46.7259	9.5974
J18	46.7929	10.017
J20	46.6758	10.6938
J22	46.7066	11.5875
J24	46.6122	12.01
J26	46.6241	12.7269
J28	46.758	13.465
J32	46.79	14.963
K09	46.534	7.1601
K11	46.4387	7.8616
K13	46.5363	8.5662
K15	46.506	9.3301
K17	46.5838	9.8299
K19	46.5152	10.41
K21	46.50035	11.06804444
K23	46.5536	11.8055
K25	46.4802	12.5516
K27	46.572	13.297
K29	46.44	13.743
K31	46.503	14.488
L08	46.3104	6.7676
L10	46.2467	7.6133
L12	46.2512	8.0256
L14	46.391	8.7478
L16	46.3989	9.4034
L18	46.2605	10.291
L20	46.2136	10.9133
L22	46.3463	11.5519
L24	46.3472	12.0758
L26	46.3694	12.9249
L28	46.213	13.528
L30	46.378	14.238
L32	46.347	14.672
M07	46.0062	6.4941
M09	46.0076	7.2865
M11	46.0562	7.8186
M13	46.0636	8.4797
M15	46.1552	9.169
M17	46.0798	9.924
M19	46.0481	10.4025
M21	46.1447	11.0483
M23	46.0855	11.8113
M25	46.125	12.4813
N06	45.8403	6.2919
N08	45.963	6.8881
N10	45.8967	7.3131
N12	45.9358	8.2106
N16	46.0101	9.489
N18	45.8363	10.2425
N20	45.8086	10.8861
N22	45.98	11.3969
O05	45.6749	5.8329
O07	45.6237	6.5188
O11	45.7756	7.8525
O19	45.798	10.3894
O21	45.7791	11.1775
P06	45.5948	6.1785
P08	45.4365	6.8226
P10	45.4986	7.3692
Q05	45.3913	5.8204
Q07	45.3963	6.4714
Q09	45.319	7.1735
R04	45.1349	5.6307
R06	45.0191	6.0208
R08	45.1924	6.7522
S03	44.9012	5.3058
S05	44.866	5.983
S07	44.8038	6.4411
S09	44.9022	7.08839
T04	44.7533	5.4599
T06	44.7041	6.1635
T08	44.6952	6.9536
U03	44.4872	5.2696
U05	44.5028	5.9561
U07	44.4997	6.6368
U09	44.5489	7.1218
V08	44.3388	6.8683
V10	44.2075	7.4653
W03	44.1757	5.2826
W07	44.1935	6.5226
W09	44.1028	7.1867
W11	44.1747	7.8517
X06	43.8728	6.3175
X10	43.9978	7.4252
