population	latitude	longitude
E27	47.60342	13.0653
F26	47.4839	12.9675
F28	47.50067	13.62468
G21	47.2071	11.0519
G23	47.204	11.7399
G25	47.3383	12.4928
G29	47.27555	13.75991
G31	47.39389	14.53542
H20	47.1447	10.7902
H22	47.068	11.3422
H24	47.0355	12.1997
H26	47.0828	12.8423
H28	47.08334	13.40046
I15	46.921917	9.091639
I21	46.8949	11.107
I23	46.9652	11.7986
I25	46.9866	12.5827
J12	46.689	8.0748
J14	46.6812	8.6844
J16	46.7352	9.6073
J20	46.7707	10.8485
J22	46.7097	11.5805
J24	46.7969	12.138
K11	46.4635	7.9158
K13	46.4829	8.3916
K15	46.5785	9.2643
K17	46.5364	9.8196
K19	46.5376	10.6172
K23	46.4766	11.8219
L10	46.2411	7.6554
L12	46.3205	8.1932
L14	46.3294	8.8424
L16	46.3731	9.5049
L18	46.3283	10.1102
L20	46.2175	10.9
L22	46.358	11.5661
M09	46.0121	7.2904
M11	46.0348	7.8349
M19	46.1873	10.3855
N10	45.9039	7.3469
N16	46.0111	9.5266
P10	45.5942	7.4914
Q09	45.3005	7.1455
S09	44.8531	7.0906
