population	latitude	longitude
E23	47.6492	11.9326
E25	47.722	12.3314
E27	47.60451	13.06654
E29	47.68767	13.97027
E31	47.65286	14.39744
E33	47.62137	15.1495
F18	47.4192	10.3264
F20	47.5359	10.7553
F22	47.5131	11.4801
F24	47.5833	12.2514
F26	47.4839	12.9675
F28	47.50622	13.62505
F30	47.42047	14.22887
G15	47.2315	9.303
G17	47.269	9.9613
G19	47.2838	10.3602
G21	47.2262	11.0172
G23	47.2623	11.7471
G25	47.3347	12.4954
G27	47.20454	13.28133
G29	47.2728	13.7531
G31	47.27315	14.351
H14	47.0205	8.8585
H16	47.1067	9.4156
H18	47.1653	10.2885
H20	47.0154	10.8919
H22	47.0751	11.3506
H24	47.0541	12.1747
H26	47.0693	12.8567
H28	47.08333	13.40074
I11	46.8492	7.9879
I13	46.8181	8.5096
I15	46.8524	9.2362
I17	46.8076	9.9113
I19	46.9721	10.3615
I21	46.8867	11.1118
I23	46.8963	11.7761
I25	46.9875	12.5811
J10	46.6858	7.5183
J12	46.6252	8.0966
J14	46.7682	8.9924
J16	46.7362	9.6057
J18	46.7166	10.1611
J20	46.6735	10.6914
J22	46.708	11.585
J24	46.6419	12.1572
J26	46.6241	12.7269
J28	46.742	13.442
K09	46.5338	7.161
K11	46.4484	7.8632
K13	46.5653	8.5609
K15	46.5255	9.3301
K17	46.5828	9.8353
K19	46.5142	10.41
K21	46.5138	11.0427
K23	46.51	11.7583
K25	46.4763	12.5533
K27	46.598	13.115
K29	46.443	13.737
L08	46.3285	6.7797
L10	46.2476	7.6155
L12	46.3729	8.2395
L14	46.3926	8.7439
L16	46.3989	9.4034
L18	46.2618	10.3243
L20	46.2166	10.9019
L22	46.3502	11.5586
L24	46.3847	12.2577
L28	46.397	13.643
L32	46.357	14.663
M07	46.0097	6.4876
M09	46.0207	7.0458
M11	46.0498	7.8285
M13	46.0631	8.4797
M15	46.1664	9.1667
M17	46.0662	9.9155
M19	46.185	10.4188
M21	46.1433	11.0447
M23	46.0938	11.8127
N06	45.8268	6.2867
N08	45.8661	6.7979
N10	45.9122	7.4325
N12	45.9364	8.2128
N16	46.0098	9.494
N18	45.8365	10.247
N20	45.9305	10.6919
N22	45.9775	11.3813
O07	45.6208	6.5325
O09	45.7922	7.0958
P06	45.4024	6.2108
P08	45.4854	6.9702
P10	45.5953	7.4897
Q05	45.3869	5.8157
Q07	45.2375	6.5363
Q09	45.3192	7.1716
R06	45.0094	6.0185
R08	45.1775	6.7044
R10	45.1853	7.2858
S05	44.9824	5.8461
S07	44.8109	6.4502
S09	44.8706	7.1042
T06	44.7546	6.2199
T08	44.6859	6.9825
U07	44.4914	6.6434
U09	44.5475	7.1343
V08	44.3388	6.8683
V10	44.2067	7.3431
W07	44.1186	6.6625
W09	44.1069	7.1892
W11	44.1644	7.7147
