population	latitude	longitude
D28	47.83008	13.61419
D30	47.80227	14.00972
D34	47.81685	15.50771
E21	47.6089	11.31
E23	47.6498	11.9329
E25	47.7089	12.3362
E27	47.72101	13.00716
E29	47.68643	13.94179
E31	47.60971	14.59342
E33	47.62229	15.15931
E35	47.70862	15.73874
F18	47.4171	10.3285
F20	47.535	10.7553
F22	47.5114	11.4828
F24	47.5604	12.2395
F26	47.485	12.9588
F28	47.51555	13.66077
F30	47.52062	14.01673
F32	47.53244	14.81427
G15	47.2333	9.3043
G17	47.2664	9.9601
G19	47.282	10.359
G21	47.3055	11.2952
G23	47.3952	11.6693
G25	47.3346	12.4953
G27	47.207	13.29161
G29	47.2727	13.75311
G31	47.27315	14.351
H14	47.0205	8.8585
H16	47.1064	9.4157
H18	47.1595	10.2704
H22	47.0755	11.3504
H24	47.0345	12.1672
H26	47.1197	12.8294
H28	47.09875	13.42625
H30	47.03986	14.33086
I11	46.8492	7.9879
I13	46.8359	8.5463
I15	46.8502	9.243
I17	46.9094	9.8513
I19	46.942	10.3536
I21	46.9812	11.3314
I23	46.9502	11.8208
I25	46.8	12.3334
I27	46.977	13.15
I29	46.91	13.895
J10	46.6938	7.538
J12	46.6365	8.087
J14	46.7641	8.9935
J16	46.7239	9.5865
J18	46.7173	10.1636
J22	46.7911	11.3497
J24	46.6491	12.1572
J26	46.6241	12.7269
J28	46.733	13.427
K09	46.5312	7.1559
K11	46.4564	7.8615
K13	46.4604	8.3773
K15	46.4296	9.3179
K17	46.5828	9.8353
K19	46.5148	10.4099
K21	46.5122	11.0433
K23	46.5552	11.8047
K25	46.4833	12.5511
K27	46.572	13.297
K29	46.435	13.745
K31	46.505	14.502
L08	46.3103	6.7749
L10	46.3166	7.3988
L12	46.3709	8.2351
L16	46.3929	9.624
L18	46.3322	10.0987
L20	46.2136	10.9133
L22	46.3541	11.5591
L24	46.3433	12.0813
L26	46.3652	12.9094
L28	46.397	13.638
L30	46.238	14.101
L32	46.343	14.68
M07	46.0065	6.4877
M09	46.017	7.2866
M11	46.0599	7.8156
M13	46.0958	8.4786
M15	46.0647	9.0783
M17	46.1992	9.8199
M19	46.0481	10.4047
M21	46.1425	11.0422
M23	46.1033	11.8188
M25	46.1172	12.4775
N06	45.8404	6.2931
N08	45.872	6.7863
N10	45.8992	7.3169
N16	45.9187	9.3908
N18	45.9687	10.0435
N20	45.8097	10.8869
N22	45.9822	11.4852
O07	45.691	6.6586
O19	45.7936	10.3836
O21	45.7822	11.1755
P06	45.5999	6.176
P08	45.4324	6.8103
P10	45.5708	7.5647
Q05	45.3923	5.8908
Q07	45.3867	6.4781
Q09	45.3023	7.1636
R04	45.1348	5.6316
R06	45.026	6.0256
R08	45.1925	6.7514
S03	44.9003	5.3064
S05	44.866	5.9831
S07	44.8038	6.4412
S09	44.8489	7.0653
T04	44.7571	5.4579
T06	44.709	6.166
T08	44.7063	6.9865
U07	44.4926	6.6421
U09	44.544	7.1323
V06	44.2472	6.3115
V08	44.3335	6.8723
V10	44.2075	7.4653
W07	44.118	6.6597
W09	44.1022	7.1856
W11	44.1639	7.7167
X10	44	7.4303
