population	latitude	longitude
E27	47.60324	13.06485
E29	47.68687	13.96684
E31	47.65289	14.42341
E35	47.7651	15.8103
F20	47.5374	10.7495
F26	47.4837	12.961
F30	47.5214	14.01732
G15	47.2464	9.3297
G17	47.2655	9.8796
G19	47.2538	10.5611
G21	47.3547	11.0462
G23	47.3948	11.6697
G25	47.2135	12.6219
G27	47.207	13.29161
H14	47.0025	8.9691
H16	47.084	9.612
H20	47.0155	10.8829
H22	47.1565	11.5042
H24	47.054	12.1754
H26	47.1126	12.831
H28	47.06693	13.39119
H30	47.0464	14.3326
I13	46.8289	8.5377
I15	46.88675	9.232111
I17	46.9495	9.8636
I19	46.9705	10.3602
I21	46.9794	11.3287
I27	46.974	13.145
J10	46.6452	7.6517
J12	46.6821	8.0907
J14	46.6616	8.6726
J16	46.6642	9.3533
J18	46.7046	10.1539
J20	46.7542	10.8664
J22	46.6397	11.4633
J24	46.6702	12.0319
J28	46.75	13.45
K09	46.4399	7.2028
K11	46.4555	7.9165
K13	46.4739	8.372
K15	46.5747	9.2895
K17	46.5823	9.8402
K19	46.5411	10.4253
K21	46.5313	11.0819
K23	46.5052	11.7
L08	46.3291	6.7808
L10	46.3114	7.3854
L16	46.3882	9.6156
L20	46.2433	10.8788
L22	46.3163	11.5674
L28	46.397	13.643
M09	46.0198	7.2856
M11	46.0388	7.8306
M23	46.1047	11.8258
N08	45.8661	6.7979
N10	45.9192	7.3281
N22	45.9869	11.4825
O07	45.6756	6.6489
O09	45.7794	7.0969
O21	45.7866	11.1744
P08	45.4861	6.9717
P10	45.5664	7.5297
R06	45.1187	6.1516
S05	44.9864	5.8498
S07	44.9468	6.4819
S09	44.8347	7.0653
T06	44.7914	6.2836
T08	44.7216	6.9802
U07	44.5096	6.6406
U09	44.5673	6.9998
V08	44.3388	6.8683
W07	44.1917	6.6236
W09	44.1833	7.1725
W11	44.1753	7.7894
