population	latitude	longitude
E29	47.68443	13.95987
E31	47.65538	14.4211
E33	47.62137	15.1495
E35	47.71349	15.75247
F18	47.4204	10.3244
F20	47.4174	10.7634
F22	47.4737	11.6542
F26	47.4836	12.9559
F28	47.51628	13.656
F30	47.41222	14.21958
F32	47.50076	14.93265
G17	47.2678	9.8772
G19	47.2783	10.3702
G21	47.214	11.0385
G23	47.3177	11.768
G25	47.3345	12.4954
G27	47.21338	13.28255
G29	47.28525	13.77082
G31	47.27315	14.351
G33	47.21837	15.05195
H14	47.0205	8.8628
H16	47.1077	9.415
H18	47.1637	10.2857
H20	47.1587	10.7901
H22	47.0747	11.3505
H24	47.0788	12.1605
H26	47.0702	12.0934
H28	47.08333	13.40074
H30	47.06569	14.13754
H32	47.06165	14.86584
I11	46.8478	7.9791
I13	46.8155	8.505
I15	46.8596	9.2307
I17	46.8109	9.903
I19	46.9706	10.3662
I21	46.891	11.1204
I23	46.8963	11.7761
I25	46.9875	12.5811
I27	46.981	13.156
I29	46.915	13.876
I31	46.833	14.665
I33	46.841	15.017
J10	46.6902	7.5267
J12	46.622	8.0971
J14	46.7638	8.9946
J16	46.7388	9.5975
J18	46.7167	10.1613
J20	46.6754	10.6941
J22	46.708	11.585
J24	46.7747	12.233
J26	46.6202	12.7163
J28	46.76	13.463
J32	46.79	14.963
K09	46.4308	7.1968
K11	46.4357	7.8616
K13	46.5362	8.5684
K15	46.506	9.3301
K17	46.5835	9.8297
K19	46.5346	10.4099
K21	46.5002	11.068
K23	46.5169	11.7552
K25	46.48	12.5522
K27	46.567	13.29
K29	46.597	13.702
L08	46.332	6.7843
L10	46.2453	7.6122
L12	46.2533	8.0237
L14	46.3874	8.7566
L16	46.3989	9.4034
L18	46.2608	10.3252
L20	46.2175	10.9094
L22	46.3458	11.5516
L24	46.3269	12.0961
L26	46.3694	12.9249
M07	46.0079	6.4878
M09	46.0285	7.0711
M11	46.0529	7.8249
M13	46.0806	8.4789
M15	46.1614	9.1633
M17	46.0719	9.9187
M19	46.0478	10.4023
M21	46.1447	11.048
M23	46.0855	11.8113
M25	46.1186	12.5038
N08	45.9706	6.8949
N10	45.9236	7.4269
N12	45.9386	8.2967
N16	46.0093	9.4929
N18	45.8363	10.2425
N20	45.8083	10.8883
N22	45.9802	11.3972
O07	45.6237	6.52
O09	45.7856	7.0917
O11	45.7558	7.7922
O19	45.7988	10.3944
O21	45.7925	11.178
P06	45.4197	6.1759
P08	45.4848	6.9672
P10	45.4961	7.3703
Q05	45.3846	5.8132
Q07	45.2345	6.5389
Q09	45.3021	7.1631
R06	45.0215	6.0241
R08	45.1768	6.7049
R10	45.1894	7.3347
S03	44.9037	5.3048
S05	44.9888	5.8505
S07	44.9651	6.5926
S09	44.8789	7.1014
T04	44.7576	5.4595
T06	44.7552	6.22
T08	44.6952	6.9536
U05	44.5055	5.9483
U07	44.4923	6.6425
U09	44.5489	7.1218
V06	44.2475	6.3137
V08	44.3337	6.8706
V10	44.2117	7.4689
W07	44.1935	6.5226
W09	44.1089	7.0858
W11	44.1672	7.7133
X10	43.998	7.4271
