population	latitude	longitude
G19	47.2963	10.3566
G23	47.2751	11.7438
G25	47.3383	12.4954
G29	47.27508	13.75867
G31	47.39409	14.53531
H16	46.9988	9.4057
H18	47.1665	10.2938
H20	47.0169	10.8971
H22	47.0689	11.3431
H24	47.0365	12.1956
H26	47.0833	12.8667
H28	47.08333	13.40074
I13	46.8348	8.5438
I15	46.8981	9.07
I17	46.9338	9.8565
I19	46.9601	10.3537
I21	46.8384	11.0344
I23	46.9716	11.7938
J12	46.689	8.0748
J14	46.6812	8.6844
J16	46.7421	9.5989
J18	46.6863	10.0021
J20	46.7344	10.7089
J22	46.7988	11.3974
J26	46.6319	12.725
K11	46.4555	7.9165
K13	46.464	8.3788
K15	46.498	9.1568
K17	46.5845	9.8305
K19	46.5381	10.6169
K23	46.4766	11.8222
L10	46.3238	7.3776
L12	46.3898	8.2976
L16	46.3933	9.4061
L18	46.3247	10.1012
L20	46.2038	10.7077
L22	46.3583	11.565
L24	46.2675	12.1619
M09	46.006	7.2869
M11	46.0304	7.8369
P10	45.5939	7.4939
Q05	45.2068	5.9865
Q09	45.3174	7.1714
R06	45.009	6.0176
R08	45.1744	6.7078
S07	44.8027	6.4393
S09	44.8322	7.0197
T08	44.6901	6.9884
U07	44.4916	6.642
U09	44.5457	6.9991
V08	44.34	6.8315
