population	latitude	longitude
D28	47.87376	13.83382
D30	47.80417	14.00323
E23	47.6498	11.9329
E25	47.706	12.3349
E27	47.7223	13.0085
E29	47.66141	13.9188
E31	47.64864	14.39158
F18	47.418	10.3318
F20	47.5368	10.7517
F22	47.5141	11.4922
F24	47.561	12.3197
F26	47.485	12.9588
F28	47.50437	13.5413
F32	47.57621	14.85331
G15	47.2461	9.3038
G17	47.2672	9.8769
G19	47.2819	10.3587
G21	47.2976	11.3065
G23	47.3978	11.6685
G25	47.2197	12.6272
G27	47.207	13.29161
G29	47.27651	13.76174
H14	47.0225	8.849
H16	47.1051	9.4147
H18	47.164	10.2922
H20	47.0296	10.8674
H22	47.0764	11.3577
H24	47.0379	12.1835
H26	47.1197	12.8294
H28	47.09814	13.40865
I11	46.8498	7.9802
I13	46.8137	8.5021
I15	46.8947	9.1264
I17	46.9569	9.8547
I19	46.942	10.3539
I21	46.9811	11.3315
I23	46.91	11.7916
I27	46.974	13.15
J10	46.6452	7.6517
J12	46.6365	8.087
J14	46.689	8.8533
J16	46.724	9.5858
J18	46.6369	10.29
J22	46.7838	11.3522
J24	46.6197	12.0119
J26	46.6244	12.7244
K09	46.5349	7.148
K11	46.4564	7.8615
K13	46.4879	8.3578
K15	46.4296	9.3179
K17	46.589	9.889
K19	46.5152	10.41
K21	46.4	11.2005
K23	46.5122	11.7458
K27	46.537	13.305
K29	46.44	13.743
L08	46.3109	6.767
L10	46.3105	7.4104
L12	46.3709	8.2351
L16	46.395	9.6493
L18	46.3322	10.0987
L20	46.2166	10.9019
L22	46.32	11.5652
L24	46.3833	12.2533
L26	46.2113	12.9911
L28	46.38	13.638
M07	46.01	6.4845
M09	46.0468	7.1374
M11	46.0595	7.8154
M17	46.2023	9.8179
M19	46.0142	10.4055
M21	46.1491	11.0486
M23	46.0963	11.8308
M25	46.1247	12.5188
N06	45.841	6.2903
N08	45.8812	6.8103
N10	45.8864	7.3092
N16	45.9176	9.3928
N18	45.9637	10.0662
O05	45.613	5.9653
O07	45.6899	6.6595
P08	45.4332	6.817
P10	45.5625	7.5028
Q05	45.3919	5.8912
Q07	45.3835	6.4772
Q09	45.319	7.1735
R04	45.1382	5.6344
R06	45.0245	6.0264
R08	45.1791	6.7011
S03	44.9016	5.3052
S05	44.866	5.9831
S07	44.8905	6.4457
S09	44.8372	7.0661
T04	44.6829	5.573
T06	44.6475	6.1692
T08	44.7621	6.8206
U05	44.5537	5.9458
U07	44.4909	6.3661
U09	44.4388	7.0305
V06	44.3532	6.3331
V08	44.2831	6.8656
V10	44.2008	7.4697
W05	44.1617	5.9539
W07	44.1221	6.6359
W09	44.1842	7.0519
W11	44.1733	7.7381
X08	43.9542	6.8711
