population	latitude	longitude
D30	47.80285	14.01164
E23	47.6558	11.9266
E25	47.7522	12.5186
E27	47.60409	13.0655
E29	47.68297	13.96626
E31	47.65286	14.39744
E33	47.62026	15.14901
E35	47.6882	15.70257
F18	47.419	10.33
F20	47.5362	10.7529
F22	47.5104	11.4894
F26	47.4847	12.9626
F32	47.51187	14.93907
G15	47.2353	9.3137
G17	47.2708	9.8822
G19	47.2796	10.3662
G23	47.3969	11.671
G25	47.3346	12.4955
G29	47.27647	13.76292
G31	47.27315	14.351
H14	47.0181	8.8673
H16	47.1051	9.4147
H18	47.1644	10.2857
H22	47.0794	11.361
H24	47.05	12.1847
H26	47.0708	12.8559
H28	47.08492	13.40257
I11	46.8509	7.982
I13	46.8348	8.5438
I15	46.8596	9.2307
I17	46.9234	9.8503
I19	46.9649	10.3486
I21	46.9019	11.1805
I23	46.9027	11.7833
I27	46.977	13.15
I29	46.908	13.899
J10	46.6452	7.6517
J12	46.6327	8.0848
J14	46.7743	8.9862
J16	46.754	9.5856
J24	46.6077	12.0158
J26	46.6233	12.7266
K09	46.4336	7.1931
K11	46.4483	7.8635
K13	46.4716	8.3799
K15	46.5747	9.2895
K17	46.5847	9.8318
K23	46.5536	11.8127
L08	46.3103	6.7749
L10	46.3202	7.3898
L16	46.3882	9.6156
L22	46.353	11.5588
L24	46.3841	12.2522
M07	46.0094	6.4831
M09	46.1205	7.2105
M11	46.0254	7.7325
M21	46.14	11.0422
M23	46.1005	11.815
M25	46.1197	12.4974
N08	45.872	6.7863
N18	45.9637	10.0662
N20	45.9397	10.703
O07	45.686	6.6568
O21	45.6958	11.1399
P08	45.4865	6.9734
R06	45.0905	6.2087
S05	44.9927	5.977
S09	44.8422	7.0653
T06	44.7998	6.2957
T08	44.6947	6.9529
U07	44.4212	6.384
U09	44.5446	7.1381
V08	44.2826	6.8653
W07	44.1182	6.6478
W09	44.1358	7.0161
W11	44.1636	7.7153
