population	latitude	longitude
D28	47.80893	13.69431
E27	47.72101	13.00716
E29	47.68803	13.97161
E31	47.60971	14.59342
E33	47.62184	15.1549
E35	47.69071	15.70414
F18	47.4228	10.3197
F20	47.5359	10.7553
F22	47.5099	11.4856
F24	47.5611	12.2432
F26	47.4858	12.9539
F28	47.51617	13.65257
F30	47.52067	14.02815
F32	47.50109	14.93233
G15	47.2302	9.2861
G17	47.2696	9.9666
G19	47.282	10.3589
G21	47.3153	11.2878
G23	47.3965	11.6762
G25	47.3556	12.4928
G27	47.20558	13.28689
G29	47.27485	13.7548
H14	47.0205	8.8585
H16	47.1059	9.4154
H18	47.1651	10.2884
H20	47.0152	10.892
H22	47.0673	11.342
H24	47.0413	12.1927
H26	47.0674	12.8582
H28	47.09826	13.4264
I11	46.8509	7.982
I13	46.8161	8.507
I15	46.8686	9.2352
I17	46.9206	9.8518
I19	46.9693	10.3519
I21	46.9052	11.1729
I23	46.8966	11.6713
I27	46.974	13.145
J10	46.6452	7.6517
J12	46.6814	8.0913
J14	46.7706	8.9844
J16	46.7339	9.6058
J18	46.6231	10.2815
J22	46.798	11.3858
J24	46.6105	12.0161
J26	46.6244	12.7244
J28	46.733	13.427
K09	46.533	7.1599
K11	46.4543	7.8634
K13	46.5704	8.3969
K15	46.5747	9.2895
K17	46.5846	9.8308
K19	46.5314	10.477
K23	46.5433	11.8188
K27	46.572	13.298
K29	46.442	13.742
K31	46.503	14.488
L08	46.3109	6.767
L10	46.3192	7.3964
L12	46.3728	8.2839
L16	46.3731	9.5049
L20	46.2175	10.9
L22	46.3577	11.5652
L24	46.2766	12.1552
L32	46.35	14.668
M09	46.0077	7.2875
M11	46.0348	7.8349
M19	46.1818	10.4117
M25	46.1338	12.488
N06	45.8314	6.2921
N08	45.8276	6.6936
N10	45.9069	7.3522
N16	45.9199	9.3906
N18	45.9713	10.0415
N20	45.9336	10.6938
N22	45.9852	11.4841
O07	45.6766	6.6514
O19	45.7927	10.3816
O21	45.7875	11.1758
P08	45.488	6.9798
P10	45.5639	7.5267
Q05	45.3913	5.8915
Q09	45.2921	7.1714
R04	45.0054	5.5693
R06	45.1178	6.1533
R08	45.175	6.7074
S05	44.9917	5.9463
S07	44.8108	6.4502
S09	44.8689	7.1181
T04	44.7664	5.4696
T06	44.709	6.1649
T08	44.6848	6.9815
U07	44.4918	6.6438
U09	44.4096	7.0635
V08	44.3384	6.8001
V10	44.2408	7.4531
W11	44.1792	7.7864
