population	latitude	longitude
G19	47.2731	10.3673
G23	47.2443	11.8358
G29	47.20739	13.86783
G31	47.26584	14.37805
G33	47.21988	15.05227
H16	47.0766	9.6116
H18	47.1627	10.2881
H20	47.0141	10.8734
H22	47.0362	11.5029
H24	47.0568	12.1262
H26	47.0638	12.8304
H30	47.02589	14.33513
H32	47.05326	14.85326
I15	46.9005	9.0946
I17	46.8056	9.8942
I19	46.8399	10.4828
I21	46.8911	11.1204
I23	46.9669	11.7841
I25	46.9875	12.5811
I27	46.977	13.152
I29	46.919	13.882
I31	46.833	14.665
I33	46.842	15.017
J14	46.6561	8.6766
J16	46.759	9.5887
J18	46.7719	10.0101
J20	46.7202	10.6667
J22	46.7841	11.375
J24	46.7747	12.2333
J32	46.79	14.952
K13	46.5327	8.5618
K17	46.522	9.833
K19	46.4213	10.5575
K21	46.5013	11.0711
K23	46.5072	11.7563
K25	46.5086	12.4075
L10	46.2488	7.6067
L12	46.2512	8.0255
L18	46.2463	10.2972
L20	46.2072	10.7138
L22	46.3463	11.5519
L24	46.3833	12.2497
M15	46.1614	9.1633
M17	46.1981	9.8252
M19	46.0428	10.3936
M21	46.048	11.3308
M23	46.0933	11.8025
N12	45.9342	8.2186
N16	46.01	9.4902
N18	45.8363	10.2425
N20	45.9313	10.6841
N22	45.9825	11.3825
O19	45.7888	10.3386
O21	45.6949	11.0636
P10	45.5731	7.4953
R10	45.1894	7.3097
S09	44.8697	7.2047
U09	44.5489	7.1218
V10	44.2008	7.4697
