population	latitude	longitude
F24	47.4058	12.2661
F26	47.4852	12.9746
F30	47.41295	14.21959
F32	47.53329	14.96156
F34	47.57452	15.79
G15	47.2484	9.3311
G19	47.2891	10.358
G21	47.2288	11.0062
G23	47.3183	11.7691
G25	47.3345	12.4954
G27	47.25683	13.15472
G29	47.28474	13.76991
G31	47.26702	14.37668
G33	47.22114	15.05046
H16	47.0002	9.403
H18	47.1076	10.2741
H20	47.1616	10.7878
H22	47.0744	11.3626
H24	47.0786	12.1602
H26	47.1148	12.8243
H28	47.08334	13.40046
H30	47.06569	14.13754
H32	47.05494	14.85892
I15	46.9005	9.0946
I17	46.8122	9.9061
I19	46.8	10.4854
I21	46.8898	11.1202
I23	46.8969	11.7761
I25	46.9875	12.5811
I27	46.978	13.152
I29	46.915	13.888
I31	46.837	14.663
I33	46.845	15.021
J12	46.6214	8.095
J14	46.6897	8.6838
J16	46.7398	9.5973
J18	46.7145	10.1576
J20	46.6667	10.6882
J22	46.7066	11.5875
J26	46.6311	12.7283
J28	46.758	13.465
J32	46.788	14.947
K11	46.4437	7.8623
K13	46.5362	8.5684
K15	46.506	9.3301
K17	46.5263	9.8054
K19	46.5356	10.4885
K21	46.515	11.04
K23	46.5066	11.7558
K27	46.598	13.114
L10	46.2478	7.6158
L12	46.2533	8.0237
L14	46.3912	8.7462
L16	46.3989	9.4034
L18	46.2617	10.3228
L20	46.2052	10.7063
L22	46.3494	11.5569
M09	46.0202	7.0529
M11	46.0578	7.8172
M17	46.1981	9.8252
M19	46.1823	10.4208
M21	46.048	11.3252
M23	46.0936	11.8111
N08	45.8685	6.793
N10	45.8978	7.3447
N12	45.8983	8.0217
N16	46.0108	9.5127
N18	45.8375	10.2535
N20	45.9313	10.6841
O07	45.6209	6.5311
O09	45.79	7.0978
P08	45.4871	6.9741
P10	45.4969	7.37
Q05	45.2025	5.9861
Q07	45.3433	6.624
Q09	45.3199	7.1737
R06	45.0059	6.0249
R08	45.1957	6.8951
R10	45.1889	7.3303
S05	44.8672	5.9895
S07	44.9772	6.447
S09	44.9161	7.0883
T06	44.7524	6.2238
T08	44.6952	6.9536
U07	44.4153	6.385
U09	44.544	7.1323
V08	44.3066	6.9153
V10	44.2117	7.4689
W07	44.118	6.6597
W09	44.1028	7.1867
W11	44.1725	7.7086
