population	latitude	longitude
E29	47.6901	13.9358
E35	47.70298	15.7114
F26	47.4843	12.9617
F28	47.5034	13.62545
G15	47.2504	9.3333
G19	47.2953	10.3578
G23	47.2669	11.7433
G25	47.3351	12.4949
G29	47.2726	13.753
G31	47.27315	14.351
H16	47.0849	9.6201
H18	47.1595	10.2704
H22	47.0566	11.6197
H24	47.054	12.1755
H26	47.1198	12.8292
H28	47.09852	13.42632
I13	46.8355	8.5479
I15	46.8646	9.2353
I17	46.8082	9.9322
I19	46.966	10.3488
I23	46.9008	11.6708
I25	46.81	12.3334
I27	46.973	13.15
J10	46.6452	7.6517
J12	46.686	8.0851
J14	46.6812	8.6844
J16	46.7404	9.5978
J18	46.743	10.3333
K09	46.522	7.1434
K13	46.5718	8.4093
K17	46.5827	9.8353
K23	46.5172	11.7552
L08	46.331	6.7837
L10	46.3356	7.363
L12	46.3775	8.2848
L16	46.3731	9.5049
L22	46.3494	11.5569
M07	46.1929	6.6132
M09	46.0173	7.2888
M11	46.0393	7.9532
N08	45.8659	6.8005
N10	45.9008	7.3439
N16	46.0101	9.5142
O21	45.7894	11.1727
P08	45.4869	6.975
P10	45.4975	7.3764
Q05	45.2083	5.9859
Q07	45.2345	6.5395
Q09	45.2982	7.1481
R06	45.1136	6.1563
S07	44.9468	6.4819
S09	44.8581	7.0906
T06	44.709	6.166
T08	44.6883	6.9861
U07	44.4917	6.6427
V10	44.2069	7.3431
