population	latitude	longitude
D28	47.80513	13.68892
E27	47.71837	13.00507
E29	47.67667	13.96299
E31	47.65193	14.39695
E33	47.62833	15.16505
E35	47.68681	15.699
F20	47.5539	10.8449
F22	47.5104	11.4894
F26	47.4847	12.9626
F28	47.51093	13.6281
F30	47.41295	14.21959
F32	47.53329	14.96156
F34	47.57452	15.79
G17	47.3057	9.8874
G19	47.286	10.3563
G21	47.2249	11.0128
G23	47.3168	11.7658
G25	47.3342	12.4846
G27	47.20961	13.27956
G29	47.27207	13.74718
G31	47.26584	14.37805
G33	47.2271	15.05161
H16	47.0704	9.6127
H18	47.1595	10.2704
H20	47.1616	10.7874
H22	47.0754	11.3617
H24	47.0785	12.1601
H26	47.0706	12.8561
H28	47.09875	13.42625
H30	47.06569	14.13754
H32	47.06165	14.86584
I15	46.8691	9.2356
I17	46.8122	9.9151
I19	46.966	10.3491
I21	46.8907	11.1202
I23	46.86	11.8408
I25	46.9875	12.5811
I27	46.978	13.152
I29	46.915	13.888
I31	46.833	14.663
I33	46.844	15.02
J14	46.7727	8.9845
J16	46.7404	9.5979
J18	46.714	10.157
J20	46.7527	10.7668
J22	46.7066	11.5875
J24	46.7791	12.2394
J26	46.6344	12.7325
J28	46.758	13.467
J32	46.79	14.952
K11	46.4548	7.9109
K13	46.5363	8.5662
K15	46.506	9.3301
K17	46.5827	9.8351
K19	46.5352	10.4094
K21	46.5163	11.043
K23	46.5172	11.7552
K25	46.598	12.5594
K27	46.598	13.116
K29	46.603	13.675
L08	46.2258	6.8215
L10	46.2471	7.6278
L12	46.2512	8.0255
L14	46.3306	8.8494
L16	46.3928	9.4054
L18	46.2737	10.3192
L20	46.2219	10.8844
L22	46.3494	11.5069
L24	46.2752	12.1536
M09	46.0277	7.0864
M11	46.0393	7.9532
M17	46.1999	9.8182
M19	46.0481	10.4039
M21	46.1413	11.0394
M23	46.0938	11.8105
N08	45.9605	6.8828
N16	46.0108	9.5127
N18	45.836	10.2547
N22	45.9777	11.3852
O07	45.6205	6.5311
P06	45.4034	6.2096
P08	45.4851	6.9673
P10	45.5956	7.4889
Q07	45.3423	6.6255
Q09	45.3184	7.1658
R08	45.193	6.7535
S09	44.8861	7.1222
U09	44.554	7.0109
V08	44.2826	6.9531
W09	44.13	7.2359
