population	latitude	longitude
F18	47.4191	10.3286
F30	47.41162	14.21685
G15	47.2353	9.3137
G19	47.2865	10.3565
G21	47.2124	11.0414
G23	47.3183	11.7691
G25	47.3349	12.4965
G27	47.20557	13.28591
G29	47.28474	13.76991
G31	47.39389	14.53542
H14	47.0205	8.8585
H16	47.0766	9.6115
H18	47.1637	10.2857
H20	47.1452	10.7909
H22	47.069	11.3431
H24	47.0413	12.1927
H26	47.0826	12.8424
H28	47.08333	13.40074
H32	47.06167	14.82917
I13	46.8359	8.5463
I15	46.8724	9.2339
I17	46.8106	9.9229
I19	46.9706	10.3534
I21	46.8866	11.1118
I23	46.8963	11.7761
I25	46.9866	12.5827
I27	46.974	13.15
I29	46.91	13.895
J12	46.6252	8.0966
J14	46.7727	8.9845
J16	46.739	9.5979
J18	46.7171	10.1616
J20	46.6747	10.6955
J22	46.7213	11.5147
J24	46.7969	12.138
J26	46.6311	12.7283
J28	46.758	13.467
K09	46.5308	7.1483
K11	46.4458	7.8628
K13	46.5362	8.5684
K15	46.506	9.3301
K17	46.5254	9.8044
K19	46.5352	10.4393
K21	46.5161	11.0372
K23	46.5069	11.7566
L10	46.3349	7.365
L12	46.3775	8.2848
L14	46.3926	8.7439
L16	46.3989	9.4034
L18	46.2615	10.3238
L20	46.2038	10.7169
L22	46.3194	11.573
L24	46.3861	12.2438
M09	46.0199	7.0627
M11	46.0422	7.828
M13	46.0611	8.4747
M15	46.1689	9.171
M17	46.0662	9.9155
M19	46.189	10.4192
M23	46.1	11.8133
N08	45.8652	6.7991
N10	45.9008	7.3131
N12	45.9008	8.0225
N16	46.0104	9.5222
N18	45.8367	10.2553
N20	45.9394	10.7024
O09	45.7792	7.1
P06	45.4162	6.1828
P10	45.4906	7.3708
Q05	45.2081	5.9859
R06	45.1174	6.1517
R08	45.1991	6.8894
S05	44.9916	5.9479
S07	44.976	6.4472
S09	44.8794	7.1381
T06	44.7745	6.1531
U07	44.4171	6.3863
U09	44.4315	7.0202
V08	44.3213	6.7982
V10	44.2069	7.3431
W09	44.1097	7.1969
W11	44.1669	7.8356
