population	latitude	longitude
E21	47.6137	11.2836
E23	47.6511	11.9274
E27	47.72127	13.00763
E29	47.68017	13.94672
E31	47.64354	14.40831
F18	47.4248	10.3158
F20	47.5373	10.7513
F22	47.514	11.479
F24	47.5833	12.2514
F26	47.5026	12.9738
F28	47.51628	13.656
F30	47.41094	14.21413
F32	47.52158	14.95532
F34	47.41469	15.35092
G15	47.2464	9.3297
G17	47.2708	9.8822
G19	47.2835	10.3643
G21	47.2178	11.0277
G23	47.2594	11.749
G25	47.3168	12.3546
G27	47.25363	13.15505
G29	47.28474	13.76991
G31	47.38736	14.52797
G33	47.22554	15.05361
H14	47.0205	8.8585
H18	47.1074	10.2591
H20	47.0294	10.8669
H22	47.0429	11.6264
H24	47.0708	12.1279
H26	47.1143	12.8278
H28	47.08334	13.40046
H30	47.07806	14.14801
H32	47.07276	14.87085
I13	46.8209	8.5125
I15	46.8448	9.2452
I17	46.8056	9.8943
I19	46.9418	10.3567
I21	46.8852	11.0387
I23	46.9125	11.7933
I27	46.978	13.152
I29	46.915	13.876
I31	46.833	14.663
I33	46.841	15.016
J10	46.6875	7.5265
J12	46.6237	8.0925
J14	46.6433	8.8495
J16	46.7214	9.5747
J18	46.7051	10.1543
J20	46.6605	10.6878
J22	46.6394	11.4794
J24	46.7019	12.2975
J26	46.6233	12.7266
J32	46.788	14.945
K09	46.532	7.1572
K11	46.4359	7.8616
K13	46.5954	8.5612
K15	46.5135	9.3286
K17	46.5175	9.8399
K19	46.5381	10.5016
K21	46.5005	11.068
K23	46.55	11.8
K25	46.5083	12.4197
K27	46.567	13.292
K29	46.597	13.707
L08	46.3285	6.7797
L10	46.2517	7.5988
L12	46.2518	8.0191
L14	46.3883	8.7563
L16	46.3977	9.4036
L20	46.22	10.8863
L22	46.3511	11.5525
L24	46.3472	12.0758
L26	46.3702	12.9236
L28	46.39	13.635
M07	46.0076	6.4827
M09	46.0263	7.0837
M11	46.0623	7.7995
M13	46.0711	8.4708
M15	46.0625	9.0741
M17	46.0871	9.9218
M21	46.1516	11.0491
M23	46.1019	11.8161
M25	46.1288	12.4869
N08	45.8722	6.7854
N10	45.9067	7.4956
N12	45.8989	8.0233
N16	46.0098	9.494
N18	45.8362	10.244
N20	45.9302	10.6891
N22	45.9822	11.3841
O07	45.6255	6.5125
O09	45.7856	7.0917
O11	45.7461	7.8358
O19	45.7977	10.3905
O21	45.7958	11.1749
P06	45.417	6.18
P08	45.4295	6.8581
P10	45.4928	7.3719
Q05	45.3905	5.8188
Q07	45.2373	6.5369
Q09	45.3058	7.1601
R06	45.0099	6.0188
R08	45.1855	6.698
R10	45.1889	7.4106
S05	44.9742	5.8316
S07	44.9791	6.463
S09	44.9161	7.055
T06	44.6965	6.1708
T08	44.7876	6.9884
U07	44.51	6.6418
U09	44.5528	7.1416
V08	44.3066	6.9109
V10	44.2028	7.3456
W07	44.1923	6.5241
W09	44.1125	7.2883
W11	44.1692	7.7158
X10	43.973	7.3819
