population	latitude	longitude
F18	47.4938	10.0802
F24	47.4034	12.261
F30	47.40632	14.2024
G17	47.2643	9.8828
G19	47.2759	10.3574
G21	47.2158	11.0212
G23	47.3043	11.7676
G25	47.3292	12.4944
G27	47.24161	13.15148
G29	47.29292	13.84796
G31	47.37777	14.51097
G33	47.21837	15.05195
H20	47.03	10.8673
H22	47.047	11.6168
H24	47.0598	12.125
H26	47.0675	12.819
H28	47.09329	13.40281
H30	47.03239	14.30812
H32	47.06701	14.86927
I11	46.85	7.9985
I13	46.8155	8.505
I15	46.8502	9.243
I17	46.8055	9.8941
I19	46.8066	10.4816
I21	46.8905	11.1332
I23	46.9102	11.7913
I25	46.9816	12.5388
I27	46.981	13.156
I29	46.914	13.882
I31	46.833	14.663
I33	46.844	15.017
J12	46.6333	8.0833
J14	46.7637	8.9986
J16	46.7248	9.5926
J18	46.7019	10.1496
J20	46.6513	10.6956
J22	46.6486	11.4722
J24	46.7744	12.233
J28	46.745	13.448
J30	46.7	14.2
J32	46.788	14.945
K09	46.4308	7.1968
K11	46.4355	7.8616
K13	46.5914	8.5593
K15	46.5255	9.3305
K17	46.5218	9.8328
K19	46.5334	10.4913
K21	46.5008	11.0747
K23	46.5144	11.6855
K25	46.5066	12.4063
K27	46.547	13.298
K29	46.502	13.72
K33	46.495	15.26
L10	46.2517	7.5988
L12	46.2512	8.0255
L14	46.3807	8.7895
L16	46.3959	9.3617
L18	46.2595	10.2728
L20	46.2041	10.735
L22	46.3458	11.5516
L24	46.3827	12.2152
L26	46.3647	12.9236
L28	46.195	13.582
L30	46.24	14.005
L32	46.243	14.768
M07	46.1438	6.6037
M11	46.0584	7.8105
M13	46.0664	8.4664
M15	46.1552	9.169
M17	46.0798	9.924
M19	46.0364	10.3917
M21	46.0413	11.2983
M23	46.095	11.8097
M29	46.187	13.98
N08	45.963	6.8881
N10	45.9181	7.5239
N12	45.9342	8.2186
N16	46.01	9.4902
N18	45.8328	10.249
N20	45.9247	10.6975
O07	45.6237	6.5191
O09	45.7794	7.0817
O11	45.7444	7.8383
O21	45.7275	11.1669
P06	45.42	6.1712
P08	45.4841	6.9679
P10	45.4911	7.3711
Q05	45.2145	5.9816
Q07	45.2345	6.5382
Q09	45.305	7.1936
R06	45.024	6.026
R08	45.1992	6.8833
R10	45.1925	7.4017
S07	44.9791	6.463
S09	44.8833	7.0978
T06	44.6906	6.1694
T08	44.7837	6.9802
U07	44.4031	6.4218
U09	44.5489	7.1218
V08	44.3832	6.8279
V10	44.2075	7.4653
W09	44.1125	7.3189
W11	44.175	7.8386
X10	43.9873	7.4438
