population	latitude	longitude
F24	47.4058	12.2661
G19	47.2888	10.358
G21	47.213	11.0404
G23	47.3177	11.768
G25	47.3359	12.495
G27	47.20315	13.28408
G29	47.27615	13.76081
H16	47.0017	9.4019
H18	47.1087	10.2716
H20	47.1436	10.7836
H22	47.0748	11.3507
H24	47.0786	12.161
H26	47.1149	12.8242
H28	47.08334	13.40046
I13	46.8289	8.5377
I15	46.8616	9.2331
I17	46.8111	9.903
I19	46.9706	10.3661
I21	46.8445	11.0235
I23	46.86	11.8408
I25	46.9875	12.5811
I27	46.978	13.152
J10	46.6438	7.6481
J12	46.622	8.0971
J14	46.7706	8.9844
J16	46.7398	9.5974
J18	46.7155	10.1589
J20	46.6738	10.6904
J22	46.7066	11.5875
J24	46.7747	12.233
J26	46.6344	12.7325
J28	46.762	13.462
K11	46.452	7.8625
K13	46.5363	8.5662
K15	46.5135	9.3286
K17	46.4725	9.7287
K19	46.5348	10.41
K21	46.5005	11.0683
K23	46.5072	11.7566
K25	46.5994	12.5583
K27	46.598	13.116
L10	46.2322	7.6146
L12	46.2533	8.0237
L14	46.391	8.7478
L16	46.3989	9.4034
L18	46.2618	10.324
L20	46.2041	10.72
L22	46.3494	11.5569
M09	46.0191	7.0599
M11	46.0533	7.8231
M13	46.0639	8.48
M15	46.1552	9.169
M17	46.0662	9.9155
M19	46.071	10.3937
M21	46.1369	11.0405
M23	46.0936	11.8108
N08	45.9769	6.8992
N12	45.9369	8.21
N16	46.0101	9.489
N18	45.8463	10.249
N20	45.8088	10.8866
N22	45.978	11.3861
O07	45.6202	6.5312
O09	45.7942	7.0989
O11	45.7558	7.7961
P08	45.4845	6.9672
P10	45.4958	7.3697
Q05	45.2094	5.9875
Q07	45.2358	6.5449
Q09	45.3235	7.1792
R06	45.0081	6.025
R10	45.1894	7.3089
S05	44.9873	5.8534
S07	44.8038	6.4411
S09	44.8861	7.0056
T06	44.709	6.1649
