population	latitude	longitude
D28	47.83104	13.61394
D30	47.80295	14.00506
D34	47.95848	15.66612
E21	47.6148	11.2874
E23	47.6481	11.9261
E25	47.7057	12.3352
E27	47.72127	13.00763
E29	47.68803	13.97161
E31	47.61316	14.59664
E33	47.62026	15.14901
E35	47.70075	15.7172
F18	47.4171	10.3285
F20	47.5359	10.7553
F22	47.5114	11.4828
F24	47.5607	12.2417
F26	47.4858	12.9539
F28	47.51617	13.65257
F30	47.52067	14.02815
F32	47.53513	14.81589
G15	47.2302	9.2861
G17	47.2664	9.96
G19	47.2794	10.3611
G21	47.3055	11.2952
G25	47.3346	12.4953
G27	47.20559	13.28481
G31	47.27315	14.351
H14	47.0189	8.8604
H16	47.0873	9.6239
H18	47.1632	10.2858
H22	47.0678	11.3422
H26	47.1195	12.8293
H28	47.09826	13.4264
I11	46.8509	7.982
I13	46.8365	8.5456
I15	46.8705	9.2345
I17	46.9121	9.8523
I19	46.9594	10.3456
I21	46.9826	11.3311
I23	46.8961	11.6705
J10	46.6938	7.538
J12	46.6345	8.0857
J14	46.7728	8.9863
J16	46.7235	9.5854
J18	46.7174	10.1633
J26	46.6241	12.7269
K09	46.5338	7.161
K11	46.593	7.8618
K13	46.4684	8.3788
K15	46.5736	9.2833
K17	46.5828	9.8356
K19	46.5316	10.4768
K23	46.5619	11.8183
K29	46.442	13.742
K31	46.503	14.487
L08	46.3104	6.7676
L10	46.3166	7.3988
L12	46.3764	8.2834
L20	46.2422	10.8827
L24	46.2777	12.1541
L26	46.3694	12.9249
L28	46.213	13.528
L32	46.35	14.668
M07	46.0094	6.4831
M09	46.1985	7.0715
M15	46.0622	9.0745
M23	46.0977	11.8097
M25	46.1283	12.4855
N08	45.8276	6.6936
N16	45.9199	9.3906
N18	45.9687	10.0435
N20	45.8097	10.8869
N22	45.9313	11.415
O07	45.6837	6.6576
O19	45.793	10.3819
O21	45.7022	11.135
Q05	45.3907	5.8197
R04	45.0054	5.5693
V10	44.2417	7.4475
W11	44.1792	7.7175
