population	latitude	longitude
E21	47.6149	11.2956
E23	47.6478	11.9338
E25	47.7138	12.3321
E29	47.69213	13.98525
E33	47.63561	15.16533
E35	47.70935	15.74007
F18	47.4171	10.3285
F20	47.5556	10.8536
F22	47.514	11.479
F24	47.4052	12.2658
F26	47.4836	12.9559
F30	47.41153	14.21725
F32	47.49468	14.70844
G17	47.2703	9.8809
G19	47.2823	10.3633
G21	47.214	11.0385
G23	47.3179	11.7688
G25	47.3334	12.4846
G27	47.21338	13.28255
G29	47.28474	13.76991
G31	47.27106	14.34786
G33	47.224	15.05122
H14	47.0201	8.8529
H16	47.0993	9.4134
H18	47.1087	10.2716
H20	47.1437	10.7791
H22	47.0796	11.3619
H24	47.0542	12.1749
H26	47.0673	12.8384
H28	47.08334	13.40046
H30	47.06433	14.13607
H32	47.05471	14.85659
I11	46.8492	7.9879
I13	46.8229	8.5129
I15	46.8524	9.2362
I17	46.811	9.9031
I19	46.9411	10.3558
I21	46.891	11.1203
I23	46.848	11.6825
I25	46.9875	12.5811
I27	46.98	13.155
I29	46.915	13.876
I31	46.835	14.658
I33	46.842	15.017
J10	46.6878	7.528
J12	46.622	8.0971
J14	46.7688	8.9894
J16	46.7254	9.5973
J18	46.7102	10.1587
J20	46.6667	10.6881
J22	46.6394	11.4794
J24	46.7791	12.2386
J26	46.6233	12.7266
J28	46.762	13.462
J32	46.79	14.963
K09	46.5387	7.168
K11	46.4405	7.8618
K13	46.5954	8.5612
K15	46.5158	9.3301
K17	46.5158	9.8221
K19	46.5353	10.4093
K21	46.5038	11.0597
K23	46.5511	11.8047
K25	46.4763	12.5525
K27	46.553	13.278
K29	46.443	13.737
K33	46.488	15.312
L08	46.3104	6.7676
L10	46.2471	7.608
L12	46.2512	8.0256
L14	46.3807	8.7895
L16	46.3989	9.4034
L18	46.2462	10.2975
L20	46.2219	10.8844
L22	46.3469	11.5522
L24	46.3433	12.085
L26	46.3702	12.9236
M07	46.0094	6.4831
M09	46.0267	7.085
M11	46.0595	7.8141
M13	46.0622	8.4739
M15	46.1577	9.1665
M17	46.0731	9.9207
M19	46.0442	10.3978
M21	46.1497	11.0488
M23	46.0938	11.8113
M25	46.1186	12.5038
N06	45.8404	6.2931
N08	45.9607	6.8882
N10	45.9189	7.5261
N12	45.9367	8.21
N16	46.0099	9.4887
N18	45.8363	10.2425
N20	45.9688	10.7433
N22	45.9805	11.3952
O05	45.6457	5.968
O07	45.6241	6.5148
O09	45.7856	7.0914
O11	45.7447	7.8378
O19	45.7988	10.3938
O21	45.7852	11.1738
P06	45.4201	6.1705
P08	45.485	6.9671
P10	45.4933	7.3717
Q05	45.3906	5.8197
Q07	45.3914	6.4598
Q09	45.3044	7.1958
R04	45.1515	5.6373
R06	45.0184	6.0199
R08	45.1781	6.7039
R10	45.1831	7.3894
S05	44.8672	5.9896
S07	44.976	6.4472
S09	44.9028	7.1383
T04	44.8	5.5399
T06	44.709	6.1669
T08	44.7219	6.9837
U07	44.4212	6.384
U09	44.5528	7.1416
V06	44.2477	6.3109
V08	44.3066	6.9153
V10	44.2075	7.4653
W07	44.1923	6.5241
W09	44.1033	7.1878
W11	44.1642	7.715
X10	43.9993	7.426
