population	latitude	longitude
D28	47.8323	13.61532
D30	47.80295	14.00506
D34	47.81929	15.50661
E23	47.6458	11.942
E27	47.72101	13.00716
E29	47.68947	13.97504
E31	47.61947	14.35963
E33	47.62184	15.1549
F18	47.4231	10.3202
F20	47.5359	10.7553
F24	47.5642	12.3207
F26	47.4858	12.9539
F28	47.51038	13.62685
F30	47.41094	14.21413
F32	47.50109	14.93233
G15	47.249	9.3291
G17	47.2709	9.8732
G19	47.2533	10.5608
G21	47.2132	11.2929
G23	47.2726	11.7446
G25	47.3286	12.4953
G27	47.2138	13.29201
G29	47.28525	13.77082
G31	47.3894	14.52764
G33	47.2204	15.05271
H14	47.0205	8.8585
H16	47.002	9.4112
H20	47.015	10.8946
H22	47.0561	11.6316
H24	47.0542	12.1923
H26	47.0802	12.8496
H28	47.08813	13.40286
H32	47.06005	14.83955
I13	46.8161	8.507
I15	46.8781	9.231
I19	46.9693	10.3524
I21	46.8917	11.1203
I23	46.8516	11.835
I25	46.9	12.5
I27	46.981	13.15
I29	46.91	13.903
I31	46.835	14.663
I33	46.885	15.03
J12	46.6252	8.0966
J14	46.6522	8.6793
J16	46.7261	9.5946
J18	46.7136	10.1574
J20	46.6738	10.6906
J22	46.6383	11.4777
J24	46.6102	12.01
J26	46.6338	12.7397
J28	46.758	13.467
J32	46.787	14.978
K09	46.5311	7.1556
K11	46.4458	7.8628
K13	46.59	8.5605
K15	46.5255	9.3305
K17	46.5159	9.8164
K19	46.5342	10.4105
K21	46.5005	11.0686
K27	46.598	13.111
L08	46.3324	6.7877
L10	46.2452	7.6082
L12	46.2518	8.0191
L14	46.3815	8.7725
L16	46.3989	9.4034
L18	46.2613	10.3243
L20	46.2055	10.7227
L22	46.3455	11.4697
M09	46.0221	7.0652
M11	46.0555	7.9616
M13	46.0608	8.4786
M15	46.164	9.1662
M17	46.0616	9.9144
M19	46.1873	10.4188
M21	46.0458	11.2938
N06	45.8293	6.2913
N08	45.8652	6.7991
N10	45.9072	7.3508
N12	45.9378	8.2139
N16	46.0098	9.494
O07	45.6228	6.5264
O09	45.7928	7.0964
O11	45.7453	7.8378
P06	45.4156	6.1782
P08	45.4875	6.9925
P10	45.4989	7.3664
Q05	45.2118	5.9862
Q09	45.293	7.1454
R06	45.1184	6.1534
R08	45.1984	6.8885
R10	45.1903	7.3367
S05	44.9862	5.8506
S07	44.9651	6.5926
S09	44.9028	7.1383
T06	44.755	6.22
U09	44.5528	7.1416
V08	44.3112	6.9187
W09	44.1125	7.2883
W11	44.1853	7.7133
