population	latitude	longitude
D28	47.83104	13.61394
D30	47.80025	14.01025
D34	47.95848	15.66612
E21	47.6066	11.3159
E23	47.6478	11.9299
E25	47.7041	12.3504
E27	47.72127	13.00763
E29	47.6849	13.94301
E31	47.60517	14.5921
E33	47.62026	15.14901
E35	47.703	15.73213
F18	47.418	10.3318
F20	47.535	10.7553
F22	47.5114	11.4828
F24	47.5607	12.2406
F26	47.485	12.9588
F28	47.52042	13.62618
F30	47.52062	14.01673
F32	47.52536	14.80868
G15	47.2302	9.2861
G17	47.2664	9.9601
G19	47.2803	10.3705
G21	47.3055	11.2952
G23	47.3952	11.6693
G25	47.3346	12.4953
G27	47.20634	13.27955
G29	47.27651	13.76174
G31	47.27315	14.351
H14	47.0189	8.8604
H16	47.1067	9.4156
H18	47.1595	10.2704
H20	47.0659	10.9166
H22	47.0699	11.3458
H24	47.0378	12.1839
H26	47.078	12.8554
H28	47.10019	13.42551
H30	47.0147	14.32953
H32	47.08245	14.92449
I11	46.8482	7.9888
I13	46.8061	8.4998
I15	46.8388	9.25
I17	46.9078	9.8523
I19	46.9416	10.3544
I21	46.9812	11.3314
I23	46.9502	11.8208
I25	46.9875	12.5811
I27	46.983	13.156
J10	46.6905	7.5332
J12	46.6365	8.087
J14	46.7641	8.9935
J16	46.7255	9.5972
J18	46.7054	10.1554
J22	46.7838	11.3522
J24	46.6494	12.1575
J26	46.6241	12.7269
J28	46.748	13.45
J30	46.703	14.302
J32	46.677	14.87
K09	46.5338	7.161
K11	46.4483	7.8635
K13	46.5757	8.3876
K15	46.4296	9.3179
K17	46.5846	9.8314
K19	46.5152	10.41
K21	46.5122	11.0433
K23	46.5533	11.8055
K25	46.4844	12.5547
K27	46.568	13.295
K29	46.437	13.745
K31	46.505	14.502
K33	46.483	15
L08	46.3103	6.7749
L10	46.3166	7.3988
L12	46.3709	8.2351
L16	46.395	9.6493
L18	46.3322	10.0987
L20	46.2136	10.9133
L22	46.3541	11.5591
L24	46.3436	12.083
L26	46.3694	12.9249
L28	46.213	13.528
L30	46.38	14.253
L32	46.392	14.918
M07	46.0062	6.4941
M09	46.0455	7.1418
M11	46.0595	7.8154
M13	46.0775	8.3669
M15	46.0647	9.0783
M17	46.1992	9.8199
M19	46.0481	10.4039
M21	46.1494	11.0486
M23	46.0938	11.8113
M25	46.125	12.4813
M29	46.178	13.56
N06	45.8403	6.2919
N08	45.872	6.7863
N10	45.8875	7.3383
N12	45.6817	8.5317
N16	45.9146	9.3943
N18	45.8347	10.2382
N20	45.8086	10.8858
N22	45.98	11.3972
O05	45.6751	5.833
O07	45.6933	6.6632
O19	45.7991	10.393
O21	45.7755	11.178
P06	45.5948	6.1834
P08	45.4374	6.825
P10	45.5653	7.565
Q05	45.3909	5.8926
Q07	45.3532	6.6158
Q09	45.3026	7.1633
R04	45.134	5.6309
R06	45.026	6.0256
R08	45.1772	6.7045
S03	44.9012	5.3058
S07	44.8109	6.4502
S09	44.8183	7.0231
T04	44.7533	5.4599
T06	44.709	6.1656
T08	44.6946	6.9536
U03	44.4932	5.248
U05	44.5039	5.9575
U07	44.4926	6.6421
U09	44.4388	7.0305
V04	44.2617	5.6232
V06	44.2476	6.3113
V08	44.3335	6.8723
V10	44.2075	7.4653
W03	44.1777	5.2815
W05	44.1247	5.7775
W07	44.1221	6.6359
W09	44.1022	7.1856
W11	44.1753	7.7894
X06	43.8681	6.3158
X08	43.9297	6.8336
X10	43.9978	7.4252
