population	latitude	longitude
H18	47.0705	10.3427
H20	47.1443	10.7887
I13	46.8155	8.505
I17	46.8057	9.8939
I19	46.8	10.4851
I21	46.891	11.1203
I23	46.8952	11.6827
I25	46.9875	12.5811
J12	46.6214	8.095
J14	46.7703	8.9837
J16	46.7271	9.5973
J18	46.7152	10.1585
J20	46.6743	10.6939
J22	46.6486	11.4722
J24	46.7747	12.233
K11	46.4467	7.8628
K13	46.5954	8.5624
K15	46.5255	9.3305
K17	46.5158	9.8221
K19	46.5348	10.4101
K21	46.5122	11.0708
K23	46.5172	11.7552
L10	46.2453	7.6122
L12	46.2512	8.0256
L14	46.3874	8.7566
L16	46.3989	9.4034
L18	46.2462	10.2975
L20	46.2302	10.7269
L22	46.3463	11.5519
M07	46.1597	6.5807
M09	46.0285	7.0711
M11	46.054	7.82
M13	46.0617	8.4742
M15	46.1552	9.169
M17	46.1981	9.8252
M19	46.0459	10.3986
M21	46.0172	11.045
N08	45.9607	6.8882
N10	45.9114	7.4986
N12	45.9339	8.2197
N16	46.0101	9.489
N18	45.8363	10.2425
O07	45.6237	6.5202
O11	45.755	7.7892
P06	45.4196	6.1719
P10	45.4989	7.3664
Q05	45.2094	5.9875
Q07	45.234	6.5388
Q09	45.3202	7.1741
R08	45.1952	6.8955
R10	45.1889	7.3078
S05	44.9949	5.9497
S07	44.9651	6.5926
S09	44.9022	7.0883
T06	44.7985	6.2911
T08	44.6921	6.9701
U07	44.4997	6.6368
U09	44.5489	7.1218
V08	44.3066	6.9153
V10	44.2117	7.4694
W07	44.1917	6.6236
W09	44.1033	7.1878
W11	44.1642	7.7156
X10	43.998	7.4271
