Plot	Year	Ordinal_date_of_snowmelt	Ordinal_date_of_flower	Days_snowmelt_to_flowering	Accumulated_growing_degree_days	Daylength	Species
RM1	1973	138.7225	172	33.2775	75.55135533	14.8963889	Boechera_stricta
RM2	1973	NA	NA	NA	NA	NA	Boechera_stricta
RM3	1973	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1973	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1973	138.7225	174	35.2775	84.01811516	14.8925	Boechera_stricta
RM6	1973	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1973	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1974	127.0375	171	43.9625	109.1164201	14.8969444	Boechera_stricta
RM2	1974	NA	NA	NA	NA	NA	Boechera_stricta
RM3	1974	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1974	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1974	127.0375	165	37.9625	81.75879923	14.8783333	Boechera_stricta
RM6	1974	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1974	127.0375	165	37.9625	81.75879923	14.8783333	Boechera_stricta
RM1	1975	150.4075	183	32.5925	79.65966528	14.8338889	Boechera_stricta
RM2	1975	NA	NA	NA	NA	NA	Boechera_stricta
RM3	1975	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1975	150.4075	183	32.5925	79.65966528	14.8338889	Boechera_stricta
RM5	1975	NA	NA	NA	NA	NA	Boechera_stricta
RM6	1975	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1975	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1976	125.869	157	31.131	57.56586328	14.7947222	Boechera_stricta
RM2	1976	NA	NA	NA	NA	NA	Boechera_stricta
RM3	1976	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1976	125.869	169	43.131	87.68986345	14.8933333	Boechera_stricta
RM5	1976	125.869	161	35.131	71.19988837	14.8422222	Boechera_stricta
RM6	1976	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1976	125.869	163	37.131	76.58114337	14.8608333	Boechera_stricta
RM1	1977	102.499	156	53.501	269.640948	14.7913889	Boechera_stricta
RM2	1977	102.499	156	53.501	269.640948	14.7913889	Boechera_stricta
RM3	1977	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1977	102.499	160	57.501	291.2302502	14.84	Boechera_stricta
RM5	1977	102.499	156	53.501	269.640948	14.7913889	Boechera_stricta
RM6	1977	102.499	156	53.501	269.640948	14.7913889	Boechera_stricta
RM7	1977	102.499	186	83.501	406.4079351	14.7905556	Boechera_stricta
RM1	1978	NA	NA	NA	NA	NA	Boechera_stricta
RM2	1978	NA	NA	NA	NA	NA	Boechera_stricta
RM3	1978	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1978	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1978	NA	NA	NA	NA	NA	Boechera_stricta
RM6	1978	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1978	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1979	NA	NA	NA	NA	NA	Boechera_stricta
RM2	1979	NA	NA	NA	NA	NA	Boechera_stricta
RM3	1979	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1979	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1979	NA	NA	NA	NA	NA	Boechera_stricta
RM6	1979	144.565	175	30.435	77.75314422	14.8905556	Boechera_stricta
RM7	1979	144.565	173	28.435	69.47295387	14.8955556	Boechera_stricta
RM1	1980	152.7445	178	25.2555	88.63548389	14.8777778	Boechera_stricta
RM2	1980	152.7445	172	19.2555	62.24672377	14.8966667	Boechera_stricta
RM3	1980	152.7445	176	23.2555	78.49320781	14.8877778	Boechera_stricta
RM4	1980	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1980	152.7445	176	23.2555	78.49320781	14.8877778	Boechera_stricta
RM6	1980	152.7445	174	21.2555	69.60835904	14.8941667	Boechera_stricta
RM7	1980	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1981	106.0045	157	50.9955	69.45747438	14.8052778	Boechera_stricta
RM2	1981	106.0045	155	48.9955	63.38441325	14.7775	Boechera_stricta
RM3	1981	106.0045	161	54.9955	89.20843367	14.85	Boechera_stricta
RM4	1981	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1981	106.0045	163	56.9955	99.05697894	14.8666667	Boechera_stricta
RM6	1981	106.0045	157	50.9955	69.45747438	14.8052778	Boechera_stricta
RM7	1981	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1982	144.565	173	28.435	67.41889882	14.895	Boechera_stricta
RM2	1982	144.565	160	15.435	33.30026999	14.8375	Boechera_stricta
RM3	1982	144.565	171	26.435	61.30258756	14.8966667	Boechera_stricta
RM4	1982	144.565	177	32.435	85.75484098	14.8805556	Boechera_stricta
RM5	1982	144.565	171	26.435	61.30258756	14.8966667	Boechera_stricta
RM6	1982	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1982	144.565	166	21.435	51.31663136	14.8838889	Boechera_stricta
RM1	1983	153.913	178	24.087	76.23077565	14.8758333	Boechera_stricta
RM2	1983	153.913	171	17.087	49.29175641	14.8966667	Boechera_stricta
RM3	1983	153.913	182	28.087	90.65575721	14.8436111	Boechera_stricta
RM4	1983	153.913	180	26.087	83.3943479	14.8616667	Boechera_stricta
RM5	1983	153.913	180	26.087	83.3943479	14.8616667	Boechera_stricta
RM6	1983	153.913	178	24.087	76.23077565	14.8758333	Boechera_stricta
RM7	1983	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1984	149.239	192	42.761	149.5465259	14.705	Boechera_stricta
RM2	1984	149.239	170	20.761	50.16831931	14.8955556	Boechera_stricta
RM3	1984	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1984	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1984	149.239	181	31.761	98.662675	14.855	Boechera_stricta
RM6	1984	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1984	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1985	136.3855	168	31.6145	94.00777865	14.8927778	Boechera_stricta
RM2	1985	136.3855	160	23.6145	61.954381	14.8405556	Boechera_stricta
RM3	1985	136.3855	168	31.6145	94.00777865	14.8927778	Boechera_stricta
RM4	1985	136.3855	168	31.6145	94.00777865	14.8927778	Boechera_stricta
RM5	1985	136.3855	160	23.6145	61.954381	14.8405556	Boechera_stricta
RM6	1985	136.3855	164	27.6145	75.46753722	14.8741667	Boechera_stricta
RM7	1985	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1986	141.0595	165	23.9405	69.39390231	14.8786111	Boechera_stricta
RM2	1986	141.0595	159	17.9405	52.31143017	14.8269444	Boechera_stricta
RM3	1986	141.0595	169	27.9405	87.87858247	14.8944444	Boechera_stricta
RM4	1986	141.0595	167	25.9405	78.72826555	14.8883333	Boechera_stricta
RM5	1986	141.0595	165	23.9405	69.39390231	14.8786111	Boechera_stricta
RM6	1986	141.0595	163	21.9405	60.98146976	14.865	Boechera_stricta
RM7	1986	141.0595	157	15.9405	44.3482628	14.8025	Boechera_stricta
RM1	1987	121.195	157	35.805	62.11995483	14.7991667	Boechera_stricta
RM2	1987	121.195	153	31.805	46.71430827	14.7388889	Boechera_stricta
RM3	1987	121.195	163	41.805	82.02799284	14.8633333	Boechera_stricta
RM4	1987	121.195	159	37.805	68.08234223	14.8241667	Boechera_stricta
RM5	1987	121.195	157	35.805	62.11995483	14.7991667	Boechera_stricta
RM6	1987	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1987	121.195	163	41.805	82.02799284	14.8633333	Boechera_stricta
RM1	1988	NA	NA	NA	NA	NA	Boechera_stricta
RM2	1988	125.869	152	26.131	48.41225051	14.7172222	Boechera_stricta
RM3	1988	125.869	162	36.131	90.90976217	14.8527778	Boechera_stricta
RM4	1988	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1988	125.869	155	29.131	57.51717557	14.7672222	Boechera_stricta
RM6	1988	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1988	125.869	181	55.131	175.048358	14.855	Boechera_stricta
RM1	1989	121.195	163	41.805	92.55895903	14.8672222	Boechera_stricta
RM2	1989	NA	NA	NA	NA	NA	Boechera_stricta
RM3	1989	121.195	161	39.805	86.97408273	14.8505556	Boechera_stricta
RM4	1989	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1989	NA	NA	NA	NA	NA	Boechera_stricta
RM6	1989	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1989	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1990	NA	NA	NA	NA	NA	Boechera_stricta
RM2	1990	NA	NA	NA	NA	NA	Boechera_stricta
RM3	1990	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1990	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1990	NA	NA	NA	NA	NA	Boechera_stricta
RM6	1990	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1990	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1991	132.88	169	36.12	85.56967633	14.8938889	Boechera_stricta
RM2	1991	132.88	163	30.12	65.77928842	14.8633333	Boechera_stricta
RM3	1991	132.88	175	42.12	108.5413905	14.89	Boechera_stricta
RM4	1991	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1991	132.88	165	32.12	73.3235698	14.8775	Boechera_stricta
RM6	1991	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1991	132.88	167	34.12	78.54463381	14.8877778	Boechera_stricta
RM1	1992	111.847	155	43.153	76.40920081	14.7675	Boechera_stricta
RM2	1992	NA	NA	NA	NA	NA	Boechera_stricta
RM3	1992	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1992	111.847	147	35.153	67.65428643	14.6188889	Boechera_stricta
RM5	1992	NA	NA	NA	NA	NA	Boechera_stricta
RM6	1992	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1992	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1993	149.239	176	26.761	76.70907246	14.8836111	Boechera_stricta
RM2	1993	149.239	170	20.761	56.56834573	14.8961111	Boechera_stricta
RM3	1993	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1993	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1993	149.239	172	22.761	63.73931661	14.8958333	Boechera_stricta
RM6	1993	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1993	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1994	NA	NA	NA	NA	NA	Boechera_stricta
RM2	1994	NA	NA	NA	NA	NA	Boechera_stricta
RM3	1994	130.543	163	32.457	90.19133322	14.8655556	Boechera_stricta
RM4	1994	130.543	161	30.457	82.17806422	14.8483333	Boechera_stricta
RM5	1994	NA	NA	NA	NA	NA	Boechera_stricta
RM6	1994	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1994	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1995	165.598	179	13.402	48.55016488	14.8683333	Boechera_stricta
RM2	1995	NA	NA	NA	NA	NA	Boechera_stricta
RM3	1995	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1995	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1995	NA	NA	NA	NA	NA	Boechera_stricta
RM6	1995	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1995	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1996	NA	NA	NA	NA	NA	Boechera_stricta
RM2	1996	131.7115	160	28.2885	77.00019897	14.8330556	Boechera_stricta
RM3	1996	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1996	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1996	NA	NA	NA	NA	NA	Boechera_stricta
RM6	1996	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1996	131.7115	162	30.2885	86.36893865	14.8530556	Boechera_stricta
RM1	1997	144.565	174	29.435	82.76164467	14.8916667	Boechera_stricta
RM2	1997	NA	NA	NA	NA	NA	Boechera_stricta
RM3	1997	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1997	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1997	NA	NA	NA	NA	NA	Boechera_stricta
RM6	1997	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1997	NA	NA	NA	NA	NA	Boechera_stricta
RM1	1998	NA	NA	NA	NA	NA	Boechera_stricta
RM2	1998	130.543	161	30.457	62.95527451	14.8488889	Boechera_stricta
RM3	1998	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1998	NA	NA	NA	NA	NA	Boechera_stricta
RM5	1998	130.543	154	23.457	52.16085781	14.7605556	Boechera_stricta
RM6	1998	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1998	130.543	161	30.457	62.95527451	14.8488889	Boechera_stricta
RM1	1999	136.3855	174	37.6145	97.73202117	14.8927778	Boechera_stricta
RM2	1999	NA	NA	NA	NA	NA	Boechera_stricta
RM3	1999	NA	NA	NA	NA	NA	Boechera_stricta
RM4	1999	136.3855	188	51.6145	173.3216455	14.7655556	Boechera_stricta
RM5	1999	NA	NA	NA	NA	NA	Boechera_stricta
RM6	1999	NA	NA	NA	NA	NA	Boechera_stricta
RM7	1999	136.3855	164	27.6145	66.71084492	14.8713889	Boechera_stricta
RM1	2000	NA	NA	NA	NA	NA	Boechera_stricta
RM2	2000	NA	NA	NA	NA	NA	Boechera_stricta
RM3	2000	NA	NA	NA	NA	NA	Boechera_stricta
RM4	2000	120.0265	154	33.9735	86.4147945	14.7527778	Boechera_stricta
RM5	2000	120.0265	156	35.9735	94.98712543	14.7833333	Boechera_stricta
RM6	2000	NA	NA	NA	NA	NA	Boechera_stricta
RM7	2000	120.0265	150	29.9735	66.54565074	14.6819444	Boechera_stricta
RM1	2001	123.532	157	33.468	74.71004311	14.8069444	Boechera_stricta
RM2	2001	123.532	151	27.468	56.3207606	14.7147222	Boechera_stricta
