chick_id	brood_id	brood_composition	sex	rank_in_nest	playback_treatment	nest_temperature_above_ambient	max_daily_temp_hatch_day	mean_max_temp_hatch_to_day2	mean_max_temp_hatch_to_day10	mean_max_temp_hatch_to_day13	hatching_mass	day1_mass	day2_mass	day10_mass	day13_mass	day13_tarsus
1	N1.10LF3	N1.10m3	mixed	F	2	treat	4.289583333	17.4	18.83333333	22.7	23.05714286	0.7	1.1000000000000001	1.2	NA	9.8	14.11
2	N1.10noCut3	N1.10m3	mixed	M	4	cont	4.289583333	19	20.53333333	24.53	23.41428571	0.6	0.80000000000000004	1.1000000000000001	NA	9.1	12.9
3	N1.10RB3	N1.10m3	mixed	F	2	cont	4.289583333	17.4	18.83333333	22.7	23.05714286	0.7	0.90000000000000002	1.3999999999999999	NA	9.3	13.6
4	N1.10RF3	N1.10m3	mixed	F	5	cont	4.289583333	19	20.53333333	24.53	23.41428571	0.6	0.5	0.90000000000000002	NA	7.7	13.06
5	N1.12LB3	N1.12m3	mixed	F	3	cont	3.972916667	29	24.63333333	22.85	22.91428571	0.7	1	1.3999999999999999	9.4000000000000004	10.1	14.08
6	N1.12LF3	N1.12m3	mixed	F	1	treat	3.972916667	25.1	24.8	23.35	23.24285714	0.6	0.90000000000000002	1.3999999999999999	8.0999999999999996	9.6	13.46
7	N1.12noCut3	N1.12m3	mixed	M	4	cont	3.972916667	20.3	23.43333333	22.2	22.45714286	0.8	0.69999999999999996	NA	6.9000000000000004	8	13.12
8	N1.12RB3	N1.12m3	mixed	M	2	treat	3.972916667	25.1	24.8	23.35	23.24285714	0.6	0.59999999999999998	1.1000000000000001	7.5	10	13.73
9	N1.13LF3	N1.13m3	same	F	1	treat	4.745833333	34	25.36666667	25.22	23.55	0.7	0.90000000000000002	1.2	NA	11.1	14.22
10	N1.13RB3	N1.13m3	same	M	2	treat	4.745833333	20.2	22.4	23.92	22.72857143	0.6	0.59999999999999998	1.1000000000000001	NA	8.3	14.1
11	N1.1LB2	N1.1m2	same	M	1	treat	4.467361111	23.3	24.76666667	23.39	22.76428571	0.8	1	1.8	NA	10	13.83
12	N1.1RF2	N1.1m2	same	M	2	treat	4.467361111	26.1	23.63333333	23.12	22.72857143	0.7	1	NA	NA	10.8	13.95
13	N1.2LF3	N1.2m3	mixed	M	3	cont	4.372916667	32.8	33	26.55	25.4	0.7	0.69999999999999996	0.90000000000000002	9.1999999999999993	10.2	13.47
14	N1.2noCut3	N1.2m3	mixed	F	1	treat	4.372916667	32.8	33	26.55	25.4	0.4	0.5	0.69999999999999996	7.0999999999999996	8.5	13.07
15	N1.2RB3	N1.2m3	mixed	F	1	treat	4.372916667	32.8	33	26.55	25.4	0.75	0.80000000000000004	1.1000000000000001	10.300000000000001	12.2	14.05
16	N1.2RF3	N1.2m3	mixed	M	4	cont	4.372916667	32.2	28.8	25.4	24.41428571	0.6	1	NA	9.8000000000000007	9.7	14.22
17	N1.3LB3	N1.3m3	mixed	M	3	treat	5.566666667	25.1	24.8	23.35	23.24285714	0.7	0.80000000000000004	NA	6.7000000000000002	7.5	13.03
18	N1.3LF3	N1.3m3	mixed	M	1	treat	5.566666667	20.2	22.4	23.92	22.72857143	0.8	1	1.2	NA	8.9	13.29
19	N1.3RB3	N1.3m3	mixed	M	3	cont	5.566666667	25.1	24.8	23.35	23.24285714	0.7	1.2	NA	8.5	9	14.25
20	N1.3RF3	N1.3m3	mixed	M	1	treat	5.566666667	20.2	22.4	23.92	22.72857143	0.7	1.1000000000000001	1.5	NA	10.2	13.95
21	N1.4LF2	N1.4m2	same	F	2	treat	5.909722222	26.9	26.63333333	23.72	23.88571429	0.5	0.59999999999999998	NA	NA	7.1	13.91
22	N1.4noCut2	N1.4m2	same	M	3	treat	5.909722222	23.7	24.36666667	23.64	22.91428571	0.7	0.69999999999999996	1	6.5	8.4	13.61
23	N1.4RF2	N1.4m2	same	M	1	treat	5.909722222	25.9	27.36666667	24.13	24.26428571	0.6	0.59999999999999998	1.1000000000000001	NA	9.8	14.52
24	N1.5allH3	N1.5m3	mixed	M	1	treat	4.947222222	21.6	26.06666667	26.23	25.60714286	0.6	0.80000000000000004	NA	NA	10	14.58
25	N1.5LF3	N1.5m3	mixed	M	1	cont	4.947222222	21.6	26.06666667	26.23	25.60714286	0.7	1	NA	NA	9.8	14.64
26	N1.5RB3	N1.5m3	mixed	M	3	cont	4.947222222	21.6	26.06666667	26.23	25.60714286	0.6	0.90000000000000002	NA	NA	10.1	14.21
27	N1.6allB2	N1.6m2	mixed	F	4	treat	5.155	26.1	23.63333333	23.12	22.72857143	0.6	0.80000000000000004	NA	NA	10	14.09
28	N1.6LB2	N1.6m2	mixed	M	1	cont	5.155	25.9	27.36666667	24.13	24.26428571	0.8	0.90000000000000002	1.3	NA	10	14.58
29	N1.6noCut2	N1.6m2	mixed	F	3	cont	5.155	23.3	24.76666667	23.39	22.76428571	0.7	NA	1.3	NA	10.2	13.34
30	N1.6RB2	N1.6m2	mixed	M	2	cont	5.155	26.9	26.63333333	23.72	23.88571429	0.7	1.1000000000000001	NA	NA	10.9	14.57
