lifespan	control	vitamin_e	vitamin_c	treatment
1	621	1	NA	NA	control
2	865	1	NA	NA	control
3	298	1	NA	NA	control
4	808	1	NA	NA	control
5	841	1	NA	NA	control
6	343	1	NA	NA	control
7	644	1	NA	NA	control
8	858	1	NA	NA	control
9	316	1	NA	NA	control
10	854	1	NA	NA	control
11	684	1	NA	NA	control
12	279	1	NA	NA	control
13	602	1	NA	NA	control
14	215	1	NA	NA	control
15	378	1	NA	NA	control
16	275	1	NA	NA	control
17	652	1	NA	NA	control
18	462	1	NA	NA	control
19	482	1	NA	NA	control
20	576	1	NA	NA	control
21	584	1	NA	NA	control
22	386	1	NA	NA	control
23	1004	1	NA	NA	control
24	271	1	NA	NA	control
25	237	1	NA	NA	control
26	238	1	NA	NA	control
27	191	1	NA	NA	control
28	169	1	NA	NA	control
29	137	1	NA	NA	control
30	200	1	NA	NA	control
31	859	1	NA	NA	control
32	665	1	NA	NA	control
33	941	1	NA	NA	control
34	506	1	NA	NA	control
35	495	1	NA	NA	control
36	634	1	NA	NA	control
37	305	1	NA	NA	control
38	390	1	NA	NA	control
39	462	1	NA	NA	control
40	306	1	NA	NA	control
41	412	1	NA	NA	control
42	337	1	NA	NA	control
43	981	1	NA	NA	control
44	240	1	NA	NA	control
45	477	1	NA	NA	control
46	222	1	NA	NA	control
47	710	1	NA	NA	control
48	739	1	NA	NA	control
49	608	1	NA	NA	control
50	259	1	NA	NA	control
51	759	1	NA	NA	control
52	596	1	NA	NA	control
53	388	1	NA	NA	control
54	300	1	NA	NA	control
55	623	1	NA	NA	control
56	506	1	NA	NA	control
57	315	NA	NA	1	vitamin_C
58	157	NA	NA	1	vitamin_C
59	634	NA	NA	1	vitamin_C
60	563	NA	NA	1	vitamin_C
61	507	NA	NA	1	vitamin_C
62	529	NA	NA	1	vitamin_C
63	182	NA	NA	1	vitamin_C
64	255	NA	NA	1	vitamin_C
65	501	NA	NA	1	vitamin_C
66	353	NA	NA	1	vitamin_C
67	388	NA	NA	1	vitamin_C
68	155	NA	NA	1	vitamin_C
69	287	NA	NA	1	vitamin_C
70	254	NA	NA	1	vitamin_C
71	523	NA	NA	1	vitamin_C
72	462	NA	NA	1	vitamin_C
73	611	NA	NA	1	vitamin_C
74	351	NA	NA	1	vitamin_C
75	351	NA	NA	1	vitamin_C
76	583	NA	1	NA	vitamin_E
77	561	NA	1	NA	vitamin_E
78	418	NA	1	NA	vitamin_E
79	561	NA	1	NA	vitamin_E
80	487	NA	1	NA	vitamin_E
81	445	NA	1	NA	vitamin_E
82	530	NA	1	NA	vitamin_E
83	578	NA	1	NA	vitamin_E
84	256	NA	1	NA	vitamin_E
85	347	NA	1	NA	vitamin_E
86	194	NA	1	NA	vitamin_E
87	330	NA	1	NA	vitamin_E
88	183	NA	1	NA	vitamin_E
89	185	NA	1	NA	vitamin_E
90	309	NA	1	NA	vitamin_E
91	281	NA	1	NA	vitamin_E
92	424	NA	1	NA	vitamin_E
93	548	NA	1	NA	vitamin_E
94	317	NA	1	NA	vitamin_E
95	535	NA	1	NA	vitamin_E
96	611	NA	1	NA	vitamin_E
